S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.3,11.4,-88%,LD,739.9,1213,-39%,D
2,ASSAM,19.1,12.1,58%,E,834.2,1088.6,-23%,D
3,MEGHALAYA,7.4,20.8,-64%,LD,848.8,2015.8,-58%,D
4,NAGALAND,3.9,11.6,-67%,LD,783.5,752.7,4%,N
5,MANIPUR,3.8,7,-45%,D,451.9,763.4,-41%,D
6,MIZORAM,13.1,13.7,-4%,N,876.2,1135.4,-23%,D
7,TRIPURA,10.2,10.1,1%,N,862.3,1036,-17%,N
8,SIKKIM,10.2,13.2,-23%,D,1189.2,1195.1,0%,N
9,WEST BENGAL,4.5,10.9,-59%,D,993.2,946.1,5%,N
10,JHARKHAND,0.8,9.5,-92%,LD,616.3,721.2,-15%,N
11,BIHAR,0.6,8.2,-93%,LD,409.4,690.9,-41%,D
1,UTTAR PRADESH,4.5,5.6,-20%,D,444.5,525.7,-15%,N
2,UTTARAKHAND,10.7,10.3,4%,N,876.8,881.7,-1%,N
3,HARYANA,2,3.6,-45%,D,261.7,307.9,-15%,N
4,CHANDIGARH (UT),0,5.4,-100%,NR,549,637.9,-14%,N
5,DELHI (UT),0.8,3.8,-80%,LD,422.7,388.4,9%,N
6,PUNJAB,7.4,3.6,105%,LE,222,325.6,-32%,D
7,HIMACHAL PRADESH,0.5,6.8,-92%,LD,508.5,550.4,-8%,N
8,JAMMU & KASHMIR (UT),1.7,5.1,-66%,LD,424.7,404,5%,N
9,LADAKH (UT),1.3,0,12865%,LE,49.2,15.9,210%,LE
10,RAJASTHAN,0.4,5.3,-92%,LD,265.7,332,-20%,D
1,ODISHA,2.2,10.4,-79%,LD,1009.8,811.9,24%,E
2,MADHYA PRADESH,10.9,10.2,6%,N,615.1,685.3,-10%,N
3,GUJARAT,0.4,3.8,-90%,LD,513.7,530.5,-3%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),4.3,12.2,-64%,LD,2676.2,1686.1,59%,E
5,GOA,13.4,15.8,-15%,N,1666.5,2520.1,-34%,D
6,MAHARASHTRA,1.8,9.1,-80%,LD,681.4,733.2,-7%,N
7,CHHATTISGARH,2.9,11.5,-75%,LD,772.6,819.2,-6%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),30.7,12.4,148%,LE,1116.9,1063,5%,N
2,ANDHRA PRADESH,0.9,4.9,-81%,LD,194.3,320.9,-39%,D
3,TELANGANA,0.4,7,-94%,LD,425.1,509.7,-17%,N
4,TAMILNADU,2.9,3.7,-21%,D,151.7,178.4,-15%,N
5,PUDUCHERRY (UT),9.3,5.8,61%,LE,175,243.3,-28%,D
6,KARNATAKA,1.5,6,-75%,LD,475.4,612.4,-22%,D
7,KERALA,3.2,9.1,-65%,LD,1244.9,1635.8,-24%,D
8,LAKSHADWEEP (UT),0.1,9.6,-99%,LD,585.4,776,-25%,D
