S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,2.5,9.3,-73%,LD,838.6,1413.3,-41%,D
2,ASSAM,5.1,9.8,-48%,D,968.8,1276.6,-24%,D
3,MEGHALAYA,4.1,20.6,-80%,LD,978.8,2354.7,-58%,D
4,NAGALAND,5.2,6.9,-25%,D,1014.9,890.4,14%,N
5,MANIPUR,9.3,8.8,6%,N,530.1,898,-41%,D
6,MIZORAM,29.1,13.1,122%,LE,1157.8,1364.2,-15%,N
7,TRIPURA,3.2,7.4,-56%,D,1040.9,1205.8,-14%,N
8,SIKKIM,0.4,9.2,-96%,LD,1362.5,1432.1,-5%,N
9,WEST BENGAL,7.9,7.7,3%,N,1146.2,1127.6,2%,N
10,JHARKHAND,3.2,6.7,-52%,D,815.9,866.2,-6%,N
11,BIHAR,3.4,8.4,-60%,LD,539.4,837.1,-36%,D
1,UTTAR PRADESH,4.4,5.9,-25%,D,651.1,647.3,1%,N
2,UTTARAKHAND,8.3,7.9,6%,N,1107.9,1054.7,5%,N
3,HARYANA,0.7,3.8,-82%,LD,302.6,381.7,-21%,D
4,CHANDIGARH (UT),0,9.1,-100%,NR,656.9,768.9,-15%,N
5,DELHI (UT),0,4.2,-100%,NR,553.5,485.1,14%,N
6,PUNJAB,0,4.3,-99%,LD,243.2,392.7,-38%,D
7,HIMACHAL PRADESH,2.1,5.8,-64%,LD,599.2,657.9,-9%,N
8,JAMMU & KASHMIR (UT),0.1,3.7,-98%,LD,494.4,488.7,1%,N
9,LADAKH (UT),0,0.5,-100%,NR,49.4,18.3,170%,LE
10,RAJASTHAN,1.2,4.1,-71%,LD,304.9,402.5,-24%,D
1,ODISHA,4.3,7.8,-44%,D,1181.9,992.7,19%,N
2,MADHYA PRADESH,2.4,7.5,-69%,LD,792.3,848.1,-7%,N
3,GUJARAT,0.4,5.2,-93%,LD,518,634.6,-18%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),8.9,9.6,-7%,N,2776.7,1987.1,40%,E
5,GOA,10.5,11.7,-10%,N,1867.3,2800.1,-33%,D
6,MAHARASHTRA,1.7,6.6,-74%,LD,736.4,872.6,-16%,N
7,CHHATTISGARH,0.3,8.8,-97%,LD,949.2,999.7,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),59.1,14.1,319%,LE,1384.2,1312.9,5%,N
2,ANDHRA PRADESH,2.8,3.6,-23%,D,225.1,404.5,-44%,D
3,TELANGANA,1.9,5.4,-65%,LD,477.6,618.7,-23%,D
4,TAMILNADU,1,3.3,-70%,LD,182.1,237.1,-23%,D
5,PUDUCHERRY (UT),0,3.6,-100%,NR,199.3,318.7,-37%,D
6,KARNATAKA,1,4.4,-78%,LD,523.8,711.4,-26%,D
7,KERALA,0.2,8.3,-97%,LD,1377,1826.8,-25%,D
8,LAKSHADWEEP (UT),0,7.2,-100%,NR,643.4,906.3,-29%,D
