S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,4.2,11.4,-63,LD,692.6,1127.7,-39,D
2,ASSAM,5,13.6,-64,LD,754.7,1013.8,-26,D
3,MEGHALAYA,1.4,23.4,-94,LD,789.7,1884.7,-58,D
4,NAGALAND,11.9,10.2,16,N,721.4,686.9,5,N
5,MANIPUR,0.3,7.9,-97,LD,435.7,710.8,-39,D
6,MIZORAM,5.3,14.9,-64,LD,809.6,1036,-22,D
7,TRIPURA,1,13.5,-93,LD,828.9,957,-13,N
8,SIKKIM,4.9,12.4,-60,LD,1131.2,1104.3,2,N
9,WEST BENGAL,13.4,13.7,-2,N,899.6,866.6,4,N
10,JHARKHAND,35.9,11.4,215,LE,515.4,650.2,-21,D
11,BIHAR,6.6,12.1,-45,D,381.1,628.1,-39,D
1,UTTAR PRADESH,9.3,10.8,-14,N,359.7,470.1,-23,D
2,UTTARAKHAND,8.1,14.2,-43,D,742.1,786,-6,N
3,HARYANA,0.7,5.1,-86,LD,240.8,275.9,-13,N
4,CHANDIGARH (UT),27.6,19.6,41,E,437.3,585,-25,D
5,DELHI (UT),11.9,10.2,17,N,411,346.4,19,N
6,PUNJAB,1.6,5.6,-71,LD,186.9,298.6,-37,D
7,HIMACHAL PRADESH,4.1,11,-63,LD,448.9,497.2,-10,N
8,JAMMU & KASHMIR (UT),10.6,7,51,E,397.8,366.7,8,N
9,LADAKH (UT),2.9,0.1,2754,LE,44.8,15.2,195,LE
10,RAJASTHAN,3.2,5.8,-44,D,259.5,294.3,-12,N
1,ODISHA,20.1,11.5,75,LE,920,724.8,27,E
2,MADHYA PRADESH,5.7,10.7,-47,D,532.3,607.7,-12,N
3,GUJARAT,5.4,5.6,-3,N,504.3,494.5,2,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),28.3,19.6,44,E,2607.7,1605,62,LE
5,GOA,25.4,22.3,14,N,1564.7,2383.9,-34,D
6,MAHARASHTRA,3.8,8.4,-55,D,658.3,677.8,-3,N
7,CHHATTISGARH,12.7,13,-2,N,680.5,736.7,-8,N
1,ANDAMAN & NICOBAR ISLANDS (UT),3.7,10,-63,LD,1028.8,983.7,5,N
2,ANDHRA PRADESH,1.7,3.9,-57,D,186.1,288.9,-36,D
3,TELANGANA,1.1,6.6,-83,LD,407.4,460.4,-12,N
4,TAMILNADU,3,2.3,29,E,140.2,152.9,-8,N
5,PUDUCHERRY (UT),4,4.2,-4,N,156.4,212.6,-26,D
6,KARNATAKA,4.3,7.2,-41,D,451.8,566.8,-20,D
7,KERALA,13.1,13.8,-5,N,1202.7,1541.9,-22,D
8,LAKSHADWEEP (UT),6.2,7.1,-12,N,544.6,722.5,-25,D
