S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,17.1,11.9,44%,E,738.6,1201.6,-39%,D
2,ASSAM,10.8,10.2,6%,N,815.4,1076.5,-24%,D
3,MEGHALAYA,2.9,18.4,-84%,LD,841.4,1995,-58%,D
4,NAGALAND,8.7,7.7,14%,N,779.6,741.1,5%,N
5,MANIPUR,1.7,5.3,-67%,LD,448.1,756.4,-41%,D
6,MIZORAM,8.8,16.4,-46%,D,863,1121.7,-23%,D
7,TRIPURA,1,12.2,-92%,LD,852,1025.9,-17%,N
8,SIKKIM,4.2,12.5,-67%,LD,1179.1,1181.9,0%,N
9,WEST BENGAL,5.6,11.2,-50%,D,988.7,935.2,6%,N
10,JHARKHAND,3.3,11.2,-71%,LD,615.6,711.7,-14%,N
11,BIHAR,1.2,7.7,-84%,LD,408.9,682.7,-40%,D
1,UTTAR PRADESH,11.8,6.4,85%,LE,440,520.1,-15%,N
2,UTTARAKHAND,12.4,12.1,3%,N,866,871.4,-1%,N
3,HARYANA,1.9,4.4,-58%,D,259.8,304.3,-15%,N
4,CHANDIGARH (UT),16.3,5.7,187%,LE,549,632.5,-13%,N
5,DELHI (UT),7.8,9.4,-17%,N,421.9,384.6,10%,N
6,PUNJAB,2,3.8,-49%,D,214.7,322,-33%,D
7,HIMACHAL PRADESH,4.3,8.2,-47%,D,507.9,543.6,-7%,N
8,JAMMU & KASHMIR (UT),6,4.8,25%,E,423.1,398.9,6%,N
9,LADAKH (UT),0.6,0.2,205%,LE,47.9,15.9,201%,LE
10,RAJASTHAN,0,5.3,-99%,LD,265.2,326.7,-19%,N
1,ODISHA,3.3,15,-78%,LD,1007.7,801.5,26%,E
2,MADHYA PRADESH,16.8,11.4,47%,E,604.2,675.1,-11%,N
3,GUJARAT,0.1,4.4,-98%,LD,513.3,526.7,-3%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),4.4,8.2,-47%,D,2671.8,1673.9,60%,LE
5,GOA,21.2,13.8,53%,E,1653.1,2504.3,-34%,D
6,MAHARASHTRA,1.4,8.1,-82%,LD,679.6,724.1,-6%,N
7,CHHATTISGARH,12.7,12.8,-1%,N,769.8,807.7,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),23.5,11.9,97%,LE,1086.2,1050.6,3%,N
2,ANDHRA PRADESH,1,4.8,-79%,LD,193.4,316,-39%,D
3,TELANGANA,1.8,9.3,-80%,LD,424.5,502.7,-16%,N
4,TAMILNADU,2.9,3,-2%,N,148.8,174.7,-15%,N
5,PUDUCHERRY (UT),4.3,3.1,39%,E,165.6,237.5,-30%,D
6,KARNATAKA,4.9,5.9,-17%,N,474,606.4,-22%,D
7,KERALA,4.8,10.4,-54%,D,1241.7,1626.7,-24%,D
8,LAKSHADWEEP (UT),9.4,9.3,1%,N,585.3,766.4,-24%,D
