S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
30,ASSAM,SOUTH SALMARA,25.918,89.962,,16.9,,ND,,1605,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,13.6,14.7,-7%,N,1316.9,1652.2,-20%,D,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,0,7.7,-100%,NR,960.9,1038.5,-7%,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,17.5,11.4,54%,E,1032.5,1064.4,-3%,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,0.1,8.6,-98%,LD,495,1097,-55%,D,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,0,2.7,-100%,NR,456.4,515,-11%,N,EXACT,1.0
1,MEGHALAYA,EAST GARO HILLS,25.624,90.631,1.1,15.6,-93%,LD,566.9,1422.5,-60%,LD,EXACT,1.0
2,MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469,5.4,31.6,-83%,LD,1252.4,3416,-63%,LD,EXACT,1.0
3,MEGHALAYA,EAST KHASI HILLS,25.381,91.797,1.1,32,-97%,LD,1705.5,3458.8,-51%,D,EXACT,1.0
4,MEGHALAYA,NORTH GARO HILLS,25.856,90.665,0.2,13.3,-99%,LD,459.3,1348.7,-66%,LD,EXACT,1.0
5,MEGHALAYA,RI BHOI,25.871,91.886,5.8,11.9,-51%,D,556.2,1084.2,-49%,D,EXACT,1.0
6,MEGHALAYA,SOUTH GARO HILLS,25.302,90.582,0.8,13.3,-94%,LD,751.2,1348.7,-44%,D,EXACT,1.0
7,MEGHALAYA,SOUTH WEST GARO HILLS,25.446,89.993,0.1,13.3,-99%,LD,498.6,1348.7,-63%,LD,EXACT,1.0
8,MEGHALAYA,SOUTH WEST KHASI HILLS,25.321,91.243,0.4,13.3,-97%,LD,2353.2,1348.7,74%,LE,EXACT,1.0
