S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,3.4,12.9,-74%,LD,750.8,1254.6,-40%,D
2,ASSAM,10.9,12.7,-14%,N,855.7,1123.9,-24%,D
3,MEGHALAYA,7.7,26.8,-71%,LD,869.2,2085,-58%,D
4,NAGALAND,21.5,7.5,187%,LE,814.4,778.1,5%,N
5,MANIPUR,0.2,8.4,-98%,LD,453.3,787.2,-42%,D
6,MIZORAM,9.2,15.4,-40%,D,923.4,1175.5,-21%,D
7,TRIPURA,2.4,10.8,-78%,LD,918,1063.8,-14%,N
8,SIKKIM,2.2,13.4,-83%,LD,1212.5,1237,-2%,N
9,WEST BENGAL,7.2,9.4,-24%,D,1003.6,978.4,3%,N
10,JHARKHAND,18.9,6.2,205%,LE,637.7,744.5,-14%,N
11,BIHAR,4.6,10,-54%,D,417.4,720.9,-42%,D
1,UTTAR PRADESH,6.9,7.7,-10%,N,467.9,548.4,-15%,N
2,UTTARAKHAND,5.4,7.5,-27%,D,896.4,911.7,-2%,N
3,HARYANA,1.7,5,-66%,LD,270.1,322.7,-16%,N
4,CHANDIGARH (UT),0.6,6.9,-92%,LD,555.4,665,-16%,N
5,DELHI (UT),4.9,7.7,-36%,D,436.6,408,7%,N
6,PUNJAB,1.3,3.8,-66%,LD,226.9,338.2,-33%,D
7,HIMACHAL PRADESH,5.2,6.7,-22%,D,530.9,571.4,-7%,N
8,JAMMU & KASHMIR (UT),2.8,6.2,-56%,D,443.9,420.3,6%,N
9,LADAKH (UT),0,0,-100%,NR,49.2,15.9,210%,LE
10,RAJASTHAN,2,4.3,-52%,D,268.3,345.6,-22%,D
1,ODISHA,35.6,7,409%,LE,1078.4,838.8,29%,E
2,MADHYA PRADESH,8.6,11.6,-26%,D,643.6,718.9,-10%,N
3,GUJARAT,0.4,7.7,-95%,LD,515.1,546.7,-6%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0.7,13.8,-95%,LD,2704.2,1723.6,57%,E
5,GOA,17.4,16.3,7%,N,1713.2,2562.2,-33%,D
6,MAHARASHTRA,6.7,7.6,-12%,N,696.4,756.9,-8%,N
7,CHHATTISGARH,37.2,8,365%,LE,830,850.9,-2%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),9.2,12.7,-28%,D,1182.6,1102.4,7%,N
2,ANDHRA PRADESH,5.2,5.2,0%,N,206.7,336.9,-39%,D
3,TELANGANA,13.9,6.7,108%,LE,449.3,530.5,-15%,N
4,TAMILNADU,3.7,3.7,0%,N,156.6,189.3,-17%,N
5,PUDUCHERRY (UT),1.5,4.3,-65%,LD,176.6,258.2,-32%,D
6,KARNATAKA,8.9,6.3,41%,E,491.4,630.8,-22%,D
7,KERALA,23,11.9,94%,LE,1283.3,1671.4,-23%,D
8,LAKSHADWEEP (UT),3.3,6.3,-47%,D,589.3,803,-27%,D
