S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,8.7,13.2,-34,D,713.9,1167.5,-39,D
2,ASSAM,18.6,10.7,74,LE,783.5,1046.6,-25,D
3,MEGHALAYA,9.6,16.8,-43,D,814.5,1943.1,-58,D
4,NAGALAND,13.1,8.4,56,E,744.7,715.7,4,N
5,MANIPUR,2.8,6.6,-57,D,438.8,732.5,-40,D
6,MIZORAM,11.2,12.8,-13,N,843.5,1076.6,-22,D
7,TRIPURA,9.9,12.6,-22,D,840.5,993.3,-15,N
8,SIKKIM,4.1,13.7,-70,LD,1138.7,1143.4,0,N
9,WEST BENGAL,22.9,11.3,102,LE,934.5,902.6,4,N
10,JHARKHAND,8.2,9.7,-15,N,537.1,678.3,-21,D
11,BIHAR,3.1,9.3,-67,LD,386.4,657.6,-41,D
1,UTTAR PRADESH,17.7,7.4,139,LE,398.4,496.3,-20,D
2,UTTARAKHAND,17.7,12.8,38,E,804.5,830.1,-3,N
3,HARYANA,1.5,4,-62,LD,252.2,290.9,-13,N
4,CHANDIGARH (UT),2.7,11.4,-77,LD,444.6,614.9,-28,D
5,DELHI (UT),0,5.1,-100,NR,413.6,364.5,13,N
6,PUNJAB,2,3.3,-41,D,197.1,310.5,-37,D
7,HIMACHAL PRADESH,3.8,6,-37,D,472,519.5,-9,N
8,JAMMU & KASHMIR (UT),3,5.9,-49,D,404.2,385.2,5,N
9,LADAKH (UT),0.6,0,6001,LE,45.6,15.6,192,LE
10,RAJASTHAN,0.5,5.5,-91,LD,264.9,312.7,-15,N
1,ODISHA,21.6,11,97,LE,972.9,760,28,E
2,MADHYA PRADESH,9.5,10.4,-9,N,571.8,640.9,-11,N
3,GUJARAT,2.4,7,-66,LD,511.5,512.7,0,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),8.7,9.2,-5,N,2652.4,1647.1,61,LE
5,GOA,6.1,23.9,-74,LD,1607.8,2451.8,-34,D
6,MAHARASHTRA,3.5,8.6,-60,LD,670.8,703.2,-5,N
7,CHHATTISGARH,11.3,11.4,-1,N,716.2,771.6,-7,N
1,ANDAMAN & NICOBAR ISLANDS (UT),12.1,9.8,23,E,1053.2,1015,4,N
2,ANDHRA PRADESH,0.6,4.1,-86,LD,190.2,302.9,-37,D
3,TELANGANA,1.2,6.2,-80,LD,413.3,480.7,-14,N
4,TAMILNADU,0.2,4.7,-96,LD,144,164.3,-12,N
5,PUDUCHERRY (UT),0.4,6.8,-94,LD,160.2,226.3,-29,D
6,KARNATAKA,2.7,7.7,-64,LD,461.9,587.9,-21,D
7,KERALA,4.3,16.3,-74,LD,1227.5,1588.4,-23,D
8,LAKSHADWEEP (UT),8.5,6.3,35,E,560.6,740.8,-24,D
