S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,11.9,11.9,0%,N,685,1022.2,-33%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,22.2,12.7,75%,LE,2476.4,1796.4,38%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,24.4,15.1,61%,LE,1332.5,1532.2,-13%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,2.8,-100%,NR,173,1514.1,-89%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0,8.5,-100%,NR,1023,1281.9,-20%,D,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,4.3,,ND,,1114.1,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,8.7,-100%,NR,1401.5,1172.5,20%,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,18,-100%,NR,2038,3029.3,-33%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,1.3,4.8,-74%,LD,614.9,1160.2,-47%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0,6.4,-100%,NR,904.7,1496.3,-40%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,26.1,,ND,,2231.3,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,1.6,2.1,-24%,D,408.9,713.2,-43%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,0,11.9,-100%,NR,1719.6,2088.8,-18%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0,8.9,-100%,NR,333.7,950.8,-65%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,0,10.6,-100%,NR,1863.5,1870.6,0%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,2.4,15.9,-85%,LD,1198.3,1674.3,-28%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0.5,9.5,-95%,LD,347.8,917,-62%,LD,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,1.8,11.3,-85%,LD,522.8,1623.6,-68%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,1,16.6,-94%,LD,614.3,1924.1,-68%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,0,13.7,-100%,NR,1053,2034.7,-48%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,0,7.5,-100%,NR,1135.7,1469.2,-23%,D,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,0,13.7,-100%,NR,1233.5,2034.7,-39%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,6.2,,ND,,1429.8,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,11.2,-100%,NR,922.1,2273.6,-59%,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,5.2,11.5,-55%,D,1608.6,1750.3,-8%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,11,-100%,NR,1191,1001.7,19%,N,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,0,13.3,-100%,NR,1358.2,2309.3,-41%,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,0,11.1,-100%,NR,691.7,1242.7,-44%,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,0,12.3,-100%,NR,2039.2,2022.3,1%,N,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0,13.9,-100%,NR,1273.3,1982.6,-36%,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,0,9.9,-100%,NR,1103.5,1434,-23%,D,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,0,4.6,-100%,NR,555,975.1,-43%,D,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,0,14.1,-100%,NR,999.6,1952.8,-49%,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,0,7.7,-100%,NR,897.8,1013.4,-11%,N,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,0,7.4,-100%,NR,1300.9,1443.1,-10%,N,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,0,6.5,-100%,NR,443.6,728.7,-39%,D,EXACT,1.0
