S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,8,14.3,-44%,D,854.7,1462,-42%,D
2,ASSAM,12.5,10.1,23%,E,995.2,1317.8,-24%,D
3,MEGHALAYA,11,17.1,-36%,D,1002.4,2418.5,-59%,D
4,NAGALAND,8,8,0%,N,1030.2,922.6,12%,N
5,MANIPUR,3.3,7.1,-53%,D,543.4,928,-41%,D
6,MIZORAM,11.5,11.4,1%,N,1215,1414.2,-14%,N
7,TRIPURA,15,9,67%,LE,1086.5,1243,-13%,N
8,SIKKIM,2.9,13,-78%,LD,1388,1479.2,-6%,N
9,WEST BENGAL,8.3,9.2,-10%,N,1191.3,1169.5,2%,N
10,JHARKHAND,6.9,9,-24%,D,849.8,899.6,-6%,N
11,BIHAR,4.2,8.8,-52%,D,567.2,867.7,-35%,D
1,UTTAR PRADESH,3.1,7.1,-56%,D,667.1,672.3,-1%,N
2,UTTARAKHAND,9.6,8.5,13%,N,1132.1,1081.7,5%,N
3,HARYANA,3.9,3.8,2%,N,306.5,395.4,-22%,D
4,CHANDIGARH (UT),0.6,3.4,-84%,LD,657.4,807.9,-19%,N
5,DELHI (UT),6.9,4.4,57%,E,560.4,503.8,11%,N
6,PUNJAB,1,2.6,-62%,LD,244.5,405.5,-40%,D
7,HIMACHAL PRADESH,8.1,4.2,92%,LE,608.9,678.4,-10%,N
8,JAMMU & KASHMIR (UT),3.3,2.2,51%,E,500.2,505.5,-1%,N
9,LADAKH (UT),0,0,-100%,NR,49.4,18.8,163%,LE
10,RAJASTHAN,1.3,2.7,-50%,D,306.3,412.8,-26%,D
1,ODISHA,26,9.8,165%,LE,1253.2,1028.2,22%,E
2,MADHYA PRADESH,13.1,5.8,127%,LE,813.5,874.4,-7%,N
3,GUJARAT,0.4,4.5,-91%,LD,519.9,651.5,-20%,D
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,6.8,-100%,NR,2788.4,2026.7,38%,E
5,GOA,0,7.6,-100%,NR,1873.7,2835,-34%,D
6,MAHARASHTRA,5.3,5.4,-2%,N,744.5,894.6,-17%,N
7,CHHATTISGARH,25.9,9.3,179%,LE,997.7,1032,-3%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),9.3,12.8,-28%,D,1476.4,1365.6,8%,N
2,ANDHRA PRADESH,4.2,4.5,-8%,N,237.4,422.8,-44%,D
3,TELANGANA,5.3,6,-12%,N,485.6,639,-24%,D
4,TAMILNADU,0.2,3.8,-94%,LD,184.4,252.2,-27%,D
5,PUDUCHERRY (UT),1.1,4.7,-76%,LD,207.5,336.2,-38%,D
6,KARNATAKA,0,5,-99%,LD,525.6,730.6,-28%,D
7,KERALA,0.2,9.6,-98%,LD,1378.6,1864.1,-26%,D
8,LAKSHADWEEP (UT),0.5,5.5,-92%,LD,652.6,933.2,-30%,D
