S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,49.9,13.4,273%,LE,603.5,967.9,-38%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,26.1,18,45%,E,2396.4,1726.8,39%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,35,18.9,85%,LE,1218.6,1468,-17%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,3.8,-100%,NR,173,1489.2,-88%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0.9,6.7,-87%,LD,1020.5,1249.9,-18%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,5,,ND,,1084.8,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,56.6,10.5,439%,LE,1399,1144.6,22%,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,21.2,14.4,47%,E,2030.3,2956.2,-31%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,17,29.9,-43%,D,611.7,1126.2,-46%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0.9,7.2,-88%,LD,890,1461.1,-39%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,9.4,,ND,,2156.6,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,3.7,3.3,12%,N,407.3,694.6,-41%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,17.8,10.5,70%,LE,1718.2,2027.9,-15%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,2.9,8,-64%,LD,329.3,922.1,-64%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,11.5,8.5,35%,E,1841,1832.6,0%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,32,13.5,137%,LE,1189.7,1624.4,-27%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,15.6,10.4,50%,E,347,880.9,-61%,LD,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,5.5,11.9,-53%,D,520.3,1584.6,-67%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,3.9,12,-68%,LD,613.3,1861.3,-67%,LD,EXACT,1.0
26,ASSAM,NAGAON,26.362,92.754,10.7,5.6,91%,LE,568.7,961.7,-41%,D,EXACT,1.0
27,ASSAM,NALBARI,26.371,91.382,0,10.2,-100%,NR,612.4,1514.5,-60%,LD,EXACT,1.0
28,ASSAM,SIBSAGAR,26.97,94.66,9.9,5.4,83%,LE,842.3,1104.9,-24%,D,EXACT,1.0
29,ASSAM,SONITPUR,26.757,92.699,3,9,-67%,LD,1055.7,1111.2,-5%,N,EXACT,1.0
30,ASSAM,SOUTH SALMARA,25.918,89.962,,9.5,,ND,,1929.4,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,26.5,10,165%,LE,1563.8,2008.2,-22%,D,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,6.4,11.5,-44%,D,1128.9,1266.8,-11%,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,10,8.3,20%,E,1263.4,1361.5,-7%,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,0,12.6,-100%,NR,536.1,1327.9,-60%,LD,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,2.2,3.2,-31%,D,583,656.8,-11%,N,EXACT,1.0
1,MEGHALAYA,EAST GARO HILLS,25.624,90.631,1.6,8.9,-82%,LD,616.2,1747.7,-65%,LD,EXACT,1.0
2,MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469,0,24.3,-99%,LD,1485.2,4208.4,-65%,LD,EXACT,1.0
3,MEGHALAYA,EAST KHASI HILLS,25.381,91.797,1,12.8,-92%,LD,1948.3,4143.6,-53%,D,EXACT,1.0
4,MEGHALAYA,NORTH GARO HILLS,25.856,90.665,6.7,3.5,90%,LE,609,1680.6,-64%,LD,EXACT,1.0
5,MEGHALAYA,RI BHOI,25.871,91.886,4.1,7.9,-48%,D,775,1459.7,-47%,D,EXACT,1.0
6,MEGHALAYA,SOUTH GARO HILLS,25.302,90.582,3.4,3.5,-2%,N,869.8,1680.6,-48%,D,EXACT,1.0
7,MEGHALAYA,SOUTH WEST GARO HILLS,25.446,89.993,14.4,3.5,311%,LE,531.3,1680.6,-68%,LD,EXACT,1.0
8,MEGHALAYA,SOUTH WEST KHASI HILLS,25.321,91.243,2.6,3.5,-27%,D,2636.3,1680.6,57%,E,EXACT,1.0
9,MEGHALAYA,WEST GARO HILLS,25.653,90.196,8.3,8.2,1%,N,506,1738,-71%,LD,EXACT,1.0
10,MEGHALAYA,WEST JAINTIA HILLS,25.483,92.285,0.1,24.3,-99%,LD,874.3,4208.4,-79%,LD,EXACT,1.0
11,MEGHALAYA,WEST KHASI HILLS,25.605,91.263,0.9,9.9,-91%,LD,818.4,2471.2,-67%,LD,EXACT,1.0
1,MIZORAM,AIZAWL,23.836,92.824,0.5,10.4,-95%,LD,1303.5,1479.3,-12%,N,EXACT,1.0
2,MIZORAM,CHAMPHAI,23.425,93.304,5.8,14.2,-59%,D,944,1226.5,-23%,D,EXACT,1.0
3,MIZORAM,KOLASIB,24.158,92.727,5.1,11.3,-55%,D,1630.6,1607.6,1%,N,EXACT,1.0
4,MIZORAM,LAWNGTLAI,22.434,92.769,0,11.9,-100%,NR,1349.5,1559.8,-13%,N,EXACT,1.0
5,MIZORAM,LUNGLEI,22.968,92.643,0.9,13.7,-94%,LD,1264.6,1622.6,-22%,D,EXACT,1.0
6,MIZORAM,MAMIT,23.753,92.463,9.8,17.5,-44%,D,1026.7,1469.5,-30%,D,EXACT,1.0
7,MIZORAM,SAIHA,22.291,93.001,0.1,10.8,-99%,LD,1454.9,1593.1,-9%,N,EXACT,1.0
8,MIZORAM,SERCHHIP,23.299,92.934,0.3,11.1,-98%,LD,1406.2,1377.2,2%,N,EXACT,1.0
1,MANIPUR,BISHNUPUR,24.538,93.799,0,6.3,-100%,NR,421.9,1075.6,-61%,LD,EXACT,1.0
