S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,8.7,9,-3%,N,773.3,1296.9,-40%,D
2,ASSAM,4.6,9.9,-54%,D,872,1167.2,-25%,D
3,MEGHALAYA,6.5,13.9,-54%,D,902.4,2160.8,-58%,D
4,NAGALAND,3,7.7,-61%,LD,856.1,808.7,6%,N
5,MANIPUR,0.2,5.4,-96%,LD,466.6,814.9,-43%,D
6,MIZORAM,28.6,12.9,122%,LE,977.9,1232.1,-21%,D
7,TRIPURA,36.7,9.9,271%,LE,962.4,1107.8,-13%,N
8,SIKKIM,9.1,12.3,-26%,D,1247.6,1291.9,-3%,N
9,WEST BENGAL,9.2,10.5,-12%,N,1044,1019.2,2%,N
10,JHARKHAND,14.6,9.8,49%,E,677.2,778.3,-13%,N
11,BIHAR,4.3,7.3,-42%,D,437.3,756.5,-42%,D
1,UTTAR PRADESH,13.2,6.3,110%,LE,530.9,577.3,-8%,N
2,UTTARAKHAND,5.9,9.8,-40%,D,922.9,954.6,-3%,N
3,HARYANA,0.7,5.7,-87%,LD,281.3,341,-18%,N
4,CHANDIGARH (UT),0.1,9.7,-99%,LD,596.3,699.2,-15%,N
5,DELHI (UT),1.5,5.6,-73%,LD,501,426.2,18%,N
6,PUNJAB,0.1,4.8,-97%,LD,229.4,353.8,-35%,D
7,HIMACHAL PRADESH,2.7,6.6,-59%,D,543.4,598.4,-9%,N
8,JAMMU & KASHMIR (UT),1.5,7.4,-79%,LD,447.9,441.6,1%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.2,16.2,204%,LE
10,RAJASTHAN,0.4,3.8,-90%,LD,282.6,361.3,-22%,D
1,ODISHA,6.3,13.6,-54%,D,1109.2,884.1,25%,E
2,MADHYA PRADESH,9.3,8.6,9%,N,689.1,750.9,-8%,N
3,GUJARAT,0.1,6,-99%,LD,515.6,569.2,-9%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),4.2,25.6,-84%,LD,2728.5,1806,51%,E
5,GOA,5.5,17.8,-69%,LD,1739.2,2631.7,-34%,D
6,MAHARASHTRA,2.3,7.9,-71%,LD,708.1,788.6,-10%,N
7,CHHATTISGARH,8.1,13.7,-41%,D,875.8,888.8,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),15,15,0%,N,1244.9,1162.3,7%,N
2,ANDHRA PRADESH,0.3,3.9,-92%,LD,212.9,356,-40%,D
3,TELANGANA,0.6,6.1,-91%,LD,461.4,555.9,-17%,N
4,TAMILNADU,0.2,2.7,-92%,LD,163.3,201.6,-19%,N
5,PUDUCHERRY (UT),0,2.8,-99%,LD,177.5,276,-36%,D
6,KARNATAKA,2.4,5.6,-57%,D,506.6,654.3,-23%,D
7,KERALA,3.2,10,-68%,LD,1359.2,1712.3,-21%,D
8,LAKSHADWEEP (UT),1,5.3,-82%,LD,627.9,831,-24%,D
