S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,4.1,12.4,-67%,LD,822.8,1371.3,-40%,D
2,ASSAM,10,10.7,-6%,N,950.8,1236.5,-23%,D
3,MEGHALAYA,10,19.1,-48%,D,959.7,2279.2,-58%,D
4,NAGALAND,20,7.2,178%,LE,947.3,860.6,10%,N
5,MANIPUR,2.3,6.2,-62%,LD,508,867.8,-41%,D
6,MIZORAM,8.5,13.6,-38%,D,1088.2,1310.1,-17%,N
7,TRIPURA,3.2,9.2,-65%,LD,1024.9,1170.9,-12%,N
8,SIKKIM,8.3,13.3,-38%,D,1343.3,1384.5,-3%,N
9,WEST BENGAL,3.5,9.9,-65%,LD,1125.3,1086.9,4%,N
10,JHARKHAND,0.8,8.1,-90%,LD,803.4,831.8,-3%,N
11,BIHAR,4.4,7.8,-43%,D,516.5,803.7,-36%,D
1,UTTAR PRADESH,6.7,5.7,18%,N,613.5,619.7,-1%,N
2,UTTARAKHAND,11.4,8.9,28%,E,1048.3,1018.4,3%,N
3,HARYANA,1.6,4.7,-67%,LD,289.1,365.4,-21%,D
4,CHANDIGARH (UT),40.6,8.4,383%,LE,638.6,733,-13%,N
5,DELHI (UT),0.5,6.8,-92%,LD,510.3,464.3,10%,N
6,PUNJAB,2.7,4.5,-40%,D,237.9,378.6,-37%,D
7,HIMACHAL PRADESH,4.6,6.7,-31%,D,589.1,636.9,-8%,N
8,JAMMU & KASHMIR (UT),5.5,5.1,7%,N,487.9,471,4%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.4,17.2,187%,LE
10,RAJASTHAN,4.5,4.1,10%,N,286.8,388.2,-26%,D
1,ODISHA,0.4,11.4,-96%,LD,1171.1,952.5,23%,E
2,MADHYA PRADESH,21.4,7.8,174%,LE,761.9,816,-7%,N
3,GUJARAT,0.1,5.1,-97%,LD,516.9,615.1,-16%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),1.3,21.3,-94%,LD,2751.9,1952.2,41%,E
5,GOA,7.4,14.7,-50%,D,1847.7,2750.3,-33%,D
6,MAHARASHTRA,1.9,6.6,-71%,LD,727,845.1,-14%,N
7,CHHATTISGARH,4.9,9.6,-49%,D,946.6,960.6,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.5,14.2,-89%,LD,1267.3,1256.7,1%,N
2,ANDHRA PRADESH,1.6,4.9,-68%,LD,218.1,388.1,-44%,D
3,TELANGANA,1.5,5.2,-72%,LD,470.5,598.1,-21%,D
4,TAMILNADU,3.3,2.9,15%,N,170.6,223.2,-24%,D
5,PUDUCHERRY (UT),8.7,2.7,221%,LE,197,301.5,-35%,D
6,KARNATAKA,1.5,5.5,-73%,LD,521.1,691.7,-25%,D
7,KERALA,0.5,8.2,-94%,LD,1375.1,1785.8,-23%,D
8,LAKSHADWEEP (UT),0.9,4.5,-79%,LD,642.8,881.1,-27%,D
