S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.5,11,-87,LD,688.3,1116.3,-38,D
2,ASSAM,0.9,11.9,-92,LD,749.8,1000.2,-25,D
3,MEGHALAYA,3.4,23.2,-85,LD,788.3,1861.3,-58,D
4,NAGALAND,3,9.6,-69,LD,709.5,676.7,5,N
5,MANIPUR,0.3,9.3,-97,LD,435.5,702.9,-38,D
6,MIZORAM,7.3,16.2,-55,D,804.3,1021.1,-21,D
7,TRIPURA,5.8,11.6,-50,D,827.9,943.5,-12,N
8,SIKKIM,11,13.6,-19,N,1126.2,1091.9,3,N
9,WEST BENGAL,30.3,15.3,98,LE,886.2,852.9,4,N
10,JHARKHAND,9.6,11.2,-14,N,480.2,638.8,-25,D
11,BIHAR,0.7,13.4,-95,LD,374.5,616,-39,D
1,UTTAR PRADESH,1.3,10.2,-87,LD,350.4,459.3,-24,D
2,UTTARAKHAND,1.3,16,-92,LD,734.1,771.8,-5,N
3,HARYANA,0.1,4.4,-98,LD,240.1,270.8,-11,N
4,CHANDIGARH (UT),0,13.1,-100,NR,409.7,565.4,-28,D
5,DELHI (UT),0,9.8,-99,LD,399.4,336.2,19,N
6,PUNJAB,0,6.1,-99,LD,185.2,293,-37,D
7,HIMACHAL PRADESH,0.5,13.2,-96,LD,444.8,486.2,-9,N
8,JAMMU & KASHMIR (UT),1.2,7.6,-84,LD,387.2,359.7,8,N
9,LADAKH (UT),2.7,0,27355,LE,42,15.1,178,LE
10,RAJASTHAN,15.6,4.7,231,LE,256.3,288.5,-11,N
1,ODISHA,22.3,14.9,50,E,899.9,713.3,26,E
2,MADHYA PRADESH,7,8.8,-21,D,526.6,597,-12,N
3,GUJARAT,6.3,8.1,-23,D,498.9,488.9,2,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),14.5,26.6,-45,D,2579.5,1585.4,63,LE
5,GOA,19.5,27.6,-29,D,1539.3,2361.6,-35,D
6,MAHARASHTRA,4.4,8.9,-51,D,654.5,669.4,-2,N
7,CHHATTISGARH,3.4,13.9,-76,LD,667.8,723.7,-8,N
1,ANDAMAN & NICOBAR ISLANDS (UT),3.8,12.3,-69,LD,1025.1,973.7,5,N
2,ANDHRA PRADESH,1.8,5.2,-65,LD,184.4,285,-35,D
3,TELANGANA,2,8.5,-77,LD,406.3,453.8,-10,N
4,TAMILNADU,1.3,2.7,-51,D,137.3,150.6,-9,N
5,PUDUCHERRY (UT),2.5,4.9,-48,D,152.4,208.4,-27,D
6,KARNATAKA,5.1,7.6,-33,D,447.6,559.6,-20,D
7,KERALA,9.9,14.3,-31,D,1189.6,1528.1,-22,D
8,LAKSHADWEEP (UT),5.5,6.2,-12,N,538.4,715.4,-25,D
