S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.8,13.2,-86,LD,559.4,942.2,-41,D
2,ASSAM,3.6,12.5,-71,LD,577.4,826.7,-30,D
3,MEGHALAYA,1.3,30.8,-96,LD,666.4,1555.4,-57,D
4,NAGALAND,10.2,10.1,1,N,492.9,534.3,-8,N
5,MANIPUR,1.4,10.8,-87,LD,325.7,556.9,-42,D
6,MIZORAM,7.7,14.8,-48,D,618.8,804.1,-23,D
7,TRIPURA,0.5,15,-97,LD,684,767.3,-11,N
8,SIKKIM,1.9,14.6,-87,LD,892.6,870.6,3,N
9,WEST BENGAL,17.8,12.8,39,E,684.5,665.4,3,N
10,JHARKHAND,22.6,10.9,107,LE,329.1,478.3,-31,D
11,BIHAR,3,11.3,-74,LD,281.6,474.2,-41,D
1,UTTAR PRADESH,6.6,10.6,-38,D,251.4,333.5,-25,D
2,UTTARAKHAND,38.8,16,143,LE,526.1,552.1,-5,N
3,HARYANA,2.7,6.4,-58,D,137.4,191.3,-28,D
4,CHANDIGARH (UT),1.9,20.2,-91,LD,274,399.9,-31,D
5,DELHI (UT),11.8,7.9,49,E,195.9,235.6,-17,N
6,PUNJAB,2.8,5.7,-51,D,132,199.4,-34,D
7,HIMACHAL PRADESH,16.2,9.7,67,LE,312.2,330.9,-6,N
8,JAMMU & KASHMIR (UT),3,9.8,-69,LD,296.4,243.9,22,E
9,LADAKH (UT),0.2,0.1,53,E,31.6,10.7,195,LE
10,RAJASTHAN,3.1,6.1,-49,D,167.3,200.4,-17,N
1,ODISHA,49.8,14,256,LE,648.8,515.6,26,E
2,MADHYA PRADESH,9.2,11.4,-20,D,345.4,418.4,-17,N
3,GUJARAT,4.5,11,-59,D,375.2,342.8,9,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),14.1,25.2,-44,D,2358,1153.8,104,LE
5,GOA,32.5,31.1,4,N,1229.1,1867.4,-34,D
6,MAHARASHTRA,13.1,11.1,18,N,484.1,501.7,-4,N
7,CHHATTISGARH,25.4,11.3,125,LE,437.1,524,-17,N
1,ANDAMAN & NICOBAR ISLANDS (UT),5.7,13.3,-57,D,805.4,763.8,5,N
2,ANDHRA PRADESH,4.4,4.9,-10,N,135.2,212.6,-36,D
3,TELANGANA,10.3,6.2,67,LE,240.3,327.3,-27,D
4,TAMILNADU,1.3,2.6,-51,D,93,113.4,-18,N
5,PUDUCHERRY (UT),1.5,5.8,-74,LD,66.7,150.5,-56,D
6,KARNATAKA,6.4,8.3,-23,D,322,430.1,-25,D
7,KERALA,14.4,20.5,-30,D,786.6,1244.7,-37,D
8,LAKSHADWEEP (UT),4.5,5.4,-16,N,387.6,605.2,-36,D
