S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,10.9,9.3,17,N,651.6,1025.1,-36,D
2,ASSAM,11.2,10.1,11,N,671.3,901.8,-26,D
3,MEGHALAYA,17.9,19.4,-7,N,731.1,1702.2,-57,D
4,NAGALAND,13.3,8,66,LE,620.4,601.3,3,N
5,MANIPUR,14.5,8.3,74,LE,368.6,620.3,-41,D
6,MIZORAM,5.4,13.5,-60,LD,675.9,901.2,-25,D
7,TRIPURA,1.9,11,-82,LD,715.2,851.4,-16,N
8,SIKKIM,32.9,10.9,202,LE,1011.4,970.7,4,N
9,WEST BENGAL,10.7,10.7,0,N,750.1,748.1,0,N
10,JHARKHAND,6.3,10.6,-41,D,375.9,549.3,-32,D
11,BIHAR,17.1,6.9,148,LE,320.4,538.2,-40,D
1,UTTAR PRADESH,10.2,7.3,40,E,283,387.7,-27,D
2,UTTARAKHAND,12.1,14,-13,N,613.5,651.2,-6,N
3,HARYANA,9.2,6.5,41,E,158.9,227.5,-30,D
4,CHANDIGARH (UT),10,15.3,-35,D,357.1,473.2,-25,D
5,DELHI (UT),9.4,5.3,78,LE,253,277,-9,N
6,PUNJAB,15.6,6.1,156,LE,160.9,242.9,-34,D
7,HIMACHAL PRADESH,8,10.1,-21,D,364.2,396.9,-8,N
8,JAMMU & KASHMIR (UT),5.4,7.3,-26,D,341,298.5,14,N
9,LADAKH (UT),1.5,0.3,387,LE,38.1,13.2,189,LE
10,RAJASTHAN,6.3,5.7,11,N,197.7,237,-17,N
1,ODISHA,12,14.4,-17,N,757.4,600.7,26,E
2,MADHYA PRADESH,3,13.2,-77,LD,406.8,495.2,-18,N
3,GUJARAT,2.3,8.4,-73,LD,482.6,406.1,19,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),35.9,27.9,29,E,2489.1,1373.8,81,LE
5,GOA,41.5,36.5,14,N,1332.1,2094.1,-36,D
6,MAHARASHTRA,9,10.9,-17,N,617.5,577,7,N
7,CHHATTISGARH,9.7,15.8,-39,D,577.4,610.5,-5,N
1,ANDAMAN & NICOBAR ISLANDS (UT),25.4,9.7,162,LE,885.6,853.7,4,N
2,ANDHRA PRADESH,6.4,4.9,31,E,159.4,243.5,-35,D
3,TELANGANA,19.3,10.5,83,LE,368.1,383,-4,N
4,TAMILNADU,2.6,2,30,E,112.4,128.7,-13,N
5,PUDUCHERRY (UT),23.8,4.5,428,LE,100,173.4,-42,D
6,KARNATAKA,10.4,8.8,18,N,395.6,487.4,-19,N
7,KERALA,21.7,17.7,23,E,1063.5,1374.9,-23,D
8,LAKSHADWEEP (UT),0.1,7.6,-99,LD,446.4,654.9,-32,D
