S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,0,11,-100%,NR,702,1041.3,-33%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,97.9,11.6,744%,LE,2654.6,1819.8,46%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,7.8,7.7,2%,N,1371.6,1548,-11%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,2.1,5.1,-59%,D,175.1,1528.2,-89%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,9.7,13.8,-30%,D,1032.7,1306.5,-21%,D,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,11.4,,ND,,1135,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,6.7,9.4,-29%,D,1437,1194.5,20%,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0.6,22.2,-97%,LD,2043.9,3074.8,-34%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,1.3,9.2,-86%,LD,627.4,1182.2,-47%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0.3,10.6,-97%,LD,904.9,1514.5,-40%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,29,,ND,,2279.8,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,5.6,5.9,-5%,N,417.8,727.8,-43%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,1.7,26.1,-93%,LD,1729.2,2134.5,-19%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,13.7,2,585%,LE,347.4,960.8,-64%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,0,16.5,-100%,NR,1863.5,1894.8,-2%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,16.7,30.5,-45%,D,1221.8,1724.1,-29%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,8,6,33%,E,358.8,929.6,-61%,LD,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,0.3,12.2,-98%,LD,527.9,1645.6,-68%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,4.1,14.3,-71%,LD,625.3,1956.8,-68%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,1.5,,14.6,-90%,LD,1062.5,2063.8,-49%,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,6.8,,9.4,-28%,D,1154,1493.7,-23%,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,0.3,,14.6,-98%,LD,1278.2,2063.8,-38%,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,,15.3,-100%,NR,974.6,2303.9,-58%,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,0,,12.2,-100%,NR,1610,1775.4,-9%,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,,10.5,-100%,NR,1191,1020.2,17%,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,0,,10.5,-100%,NR,1358.2,2342.6,-42%,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,0,,6.2,-100%,NR,709.8,1263.9,-44%,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,0,,5.3,-100%,NR,2039.2,2034.5,0%,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,5.6,,8.4,-33%,D,1278.9,2011.8,-36%,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,0.2,,10.4,-98%,LD,1105.4,1453.9,-24%,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,0,,3.4,-100%,NR,557.9,985.5,-43%,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,1.1,,8.5,-87%,LD,1016,1973.6,-49%,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,1.5,,6.7,-78%,LD,903.2,1027.4,-12%,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,1.7,,9.2,-81%,LD,1304.9,1462.3,-11%,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,2.2,,3.5,-39%,D,450.4,739.8,-39%,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,0.8,,9.4,-91%,LD,811.1,1238.9,-35%,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,0.2,,4.4,-95%,LD,791.2,1019.5,-22%,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,0.3,,7.4,-97%,LD,650.5,1245.4,-48%,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,0.7,,7.4,-90%,LD,652.4,803.3,-19%,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,0.6,,10.6,-94%,LD,2270.1,2586.3,-12%,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,3.2,,13.1,-75%,LD,2176.3,1977.1,10%,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,0,,9.4,-100%,NR,966,1238.9,-22%,EXACT,1.0
25,ASSAM,MORIGAON,26.282,92.284,0.7,,7.2,-90%,LD,663.7,1089.7,-39%,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,1.5,14.6,-90%,LD,1062.5,2063.8,-49%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,6.8,9.4,-28%,D,1154,1493.7,-23%,D,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,0.3,14.6,-98%,LD,1278.2,2063.8,-38%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,0.2,,ND,,1432.8,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,15.3,-100%,NR,974.6,2303.9,-58%,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,0,12.2,-100%,NR,1610,1775.4,-9%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,10.5,-100%,NR,1191,1020.2,17%,N,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,0,10.5,-100%,NR,1358.2,2342.6,-42%,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,0,6.2,-100%,NR,709.8,1263.9,-44%,D,EXACT,1.0
