S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.5,11.6,-95%,LD,846.3,1434.8,-41%,D
2,ASSAM,1.4,10.9,-87%,LD,982.6,1297,-24%,D
3,MEGHALAYA,3.3,13.6,-76%,LD,987,2385.5,-59%,D
4,NAGALAND,1.7,8.9,-81%,LD,1022,906,13%,N
5,MANIPUR,0.4,7.3,-94%,LD,532.8,913.2,-42%,D
6,MIZORAM,3.6,12.8,-72%,LD,1199.4,1391.2,-14%,N
7,TRIPURA,3,10,-70%,LD,1063,1224.3,-13%,N
8,SIKKIM,5.6,11.4,-51%,D,1379.2,1453.7,-5%,N
9,WEST BENGAL,8.8,10.4,-16%,N,1166.9,1149.9,1%,N
10,JHARKHAND,11.5,8.4,37%,E,835.7,882.2,-5%,N
11,BIHAR,6.4,7.4,-13%,N,549.5,851.2,-35%,D
1,UTTAR PRADESH,4.7,5.5,-14%,N,658.1,658.8,0%,N
2,UTTARAKHAND,1.3,6.4,-79%,LD,1110.4,1067.1,4%,N
3,HARYANA,0,3.3,-99%,LD,302.6,388.4,-22%,D
4,CHANDIGARH (UT),0,8.7,-100%,NR,656.9,798.2,-18%,N
5,DELHI (UT),0,4.8,-100%,NR,553.5,496.4,11%,N
6,PUNJAB,0.1,4.5,-97%,LD,243.4,401.1,-39%,D
7,HIMACHAL PRADESH,0.5,6.3,-91%,LD,600.6,670.2,-10%,N
8,JAMMU & KASHMIR (UT),1.8,5.9,-70%,LD,496.9,499.7,-1%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.4,18.7,164%,LE
10,RAJASTHAN,0,2.1,-100%,NR,304.9,407.8,-25%,D
1,ODISHA,12.2,8.6,42%,E,1196.5,1009.7,19%,N
2,MADHYA PRADESH,1,6.5,-84%,LD,794.3,862.5,-8%,N
3,GUJARAT,1.2,4.6,-75%,LD,519.2,643.7,-19%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0.5,10.7,-95%,LD,2781.1,2011.8,38%,E
5,GOA,0.7,8.4,-92%,LD,1873.6,2819.2,-34%,D
6,MAHARASHTRA,0.5,5,-89%,LD,738.5,883.3,-16%,N
7,CHHATTISGARH,3.1,7.8,-60%,LD,953.4,1014.4,-6%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),21.8,12.7,72%,LE,1447,1341.5,8%,N
2,ANDHRA PRADESH,0.9,4.1,-79%,LD,228.4,412.6,-45%,D
3,TELANGANA,0.9,4.6,-80%,LD,478.7,627.3,-24%,D
4,TAMILNADU,0.4,3.6,-88%,LD,182.5,244.2,-25%,D
5,PUDUCHERRY (UT),7.1,4.8,49%,E,206.4,326.8,-37%,D
6,KARNATAKA,0.5,5.1,-90%,LD,525.3,721,-27%,D
7,KERALA,0.1,9.7,-99%,LD,1377.5,1846.8,-25%,D
8,LAKSHADWEEP (UT),0,6.4,-100%,NR,643.4,921.7,-30%,D
