S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,4.7,12.2,-61%,LD,833.7,1395.2,-40%,D
2,ASSAM,2.1,10.2,-79%,LD,960.3,1257,-24%,D
3,MEGHALAYA,6.1,16.2,-62%,LD,972.5,2315.3,-58%,D
4,NAGALAND,9.8,7.3,34%,E,1001.2,876.1,14%,N
5,MANIPUR,2.6,6.6,-61%,LD,511.5,883.2,-42%,D
6,MIZORAM,21,13.5,56%,E,1112.1,1338.5,-17%,N
7,TRIPURA,2.8,9.2,-70%,LD,1030.2,1191,-13%,N
8,SIKKIM,7.3,14.4,-50%,D,1355.8,1412.9,-4%,N
9,WEST BENGAL,5.1,12.7,-60%,LD,1134.5,1110.5,2%,N
10,JHARKHAND,1,10.3,-90%,LD,804.7,850.5,-5%,N
11,BIHAR,7.1,8.7,-19%,N,529.7,820.9,-35%,D
1,UTTAR PRADESH,9,7.6,18%,N,630.4,634,-1%,N
2,UTTARAKHAND,18.5,8.9,108%,LE,1078.9,1038.1,4%,N
3,HARYANA,4.9,3.6,35%,E,299.6,373.9,-20%,D
4,CHANDIGARH (UT),16.6,3.8,338%,LE,656.9,754.2,-13%,N
5,DELHI (UT),14.7,5.7,159%,LE,548.7,475.3,15%,N
6,PUNJAB,0.7,3,-78%,LD,242.9,385.8,-37%,D
7,HIMACHAL PRADESH,4.2,4.8,-12%,N,596.1,648.1,-8%,N
8,JAMMU & KASHMIR (UT),2.3,3.5,-35%,D,493.6,481,3%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.4,17.7,179%,LE
10,RAJASTHAN,6.5,3.3,98%,LE,301.3,394.9,-24%,D
1,ODISHA,1.2,10.9,-89%,LD,1173.4,973.9,20%,E
2,MADHYA PRADESH,7.3,8.9,-18%,N,785.3,832.8,-6%,N
3,GUJARAT,0.2,3.9,-96%,LD,517.3,623.2,-17%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),6.8,7.6,-11%,N,2761.7,1966.9,40%,E
5,GOA,2.7,13.4,-80%,LD,1856.7,2775.7,-33%,D
6,MAHARASHTRA,3.1,7.5,-59%,D,732.5,859.5,-15%,N
7,CHHATTISGARH,0.3,9.5,-97%,LD,947.7,979.5,-3%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),21.7,12.5,74%,LE,1297.1,1282.3,1%,N
2,ANDHRA PRADESH,1.1,3.9,-71%,LD,220,396.4,-45%,D
3,TELANGANA,1,5.2,-82%,LD,471.5,608,-22%,D
4,TAMILNADU,4.8,3.3,45%,E,177.8,229.8,-23%,D
5,PUDUCHERRY (UT),2.4,3.7,-35%,D,199.3,309.5,-36%,D
6,KARNATAKA,0.8,5.1,-84%,LD,522.5,701.9,-26%,D
7,KERALA,0.7,10.3,-93%,LD,1376.6,1806.4,-24%,D
8,LAKSHADWEEP (UT),0,6.7,-100%,NR,643,893.8,-28%,D
