S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,0.5,9.4,-94%,LD,432.3,696.3,-38%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,49.7,14.4,245%,LE,1631.7,1243.8,31%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,9,10.9,-17%,N,894.9,1058.8,-15%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,9.2,-100%,NR,124.2,1188.8,-90%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,95,11.1,755%,LE,852.1,973.8,-13%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,6.2,,ND,,873.8,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,10.7,-100%,NR,1048.9,861.7,22%,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,66.8,17.9,273%,LE,1815.3,2306.5,-21%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,3.7,6.6,-44%,D,433.6,827.6,-48%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,15.1,6.5,132%,LE,738.1,1153,-36%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,13.4,,ND,,1695.9,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0.2,9.1,-98%,LD,339,550.9,-38%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,0.6,12.2,-95%,LD,1338.6,1593.3,-16%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0,13.4,-100%,NR,270.2,712.2,-62%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,5.3,13.8,-62%,LD,1574.8,1432.7,10%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,17,14.2,20%,E,895.8,1177.7,-24%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,4.6,6,-23%,D,273.7,671.1,-59%,D,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,5.3,16.6,-68%,LD,372.8,1239.4,-70%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0,16.6,-100%,NR,521.3,1448.9,-64%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,0,14.3,-100%,NR,891,1571.4,-43%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,3.3,8.9,-63%,LD,937,1148.5,-18%,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,0,14.3,-100%,NR,1076.1,1571.4,-32%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,9.8,,ND,,1092.6,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,28.8,-100%,NR,774.7,1780.3,-56%,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,25.3,12.3,106%,LE,1270.5,1310.6,-3%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,3.9,-100%,NR,1015.5,729.2,39%,E,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,0,22,-100%,NR,1047.3,1741.8,-40%,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,16.7,10.3,62%,LE,554.3,960.3,-42%,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,96.4,13.1,636%,LE,1796.1,1483.1,21%,E,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0.9,12.5,-93%,LD,1053.5,1575.1,-33%,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,12.2,10.7,14%,N,887.6,1071.2,-17%,N,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,0.3,5.3,-95%,LD,335,763.3,-56%,D,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,10.6,16.9,-37%,D,676.7,1492.8,-55%,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,0.2,9.1,-98%,LD,667.6,747.3,-11%,N,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,37.2,10.8,245%,LE,910.3,1120.3,-19%,N,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,0,4.5,-100%,NR,340.8,531.4,-36%,D,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,0.2,8.8,-98%,LD,665.3,889.6,-25%,D,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,2.4,10.4,-77%,LD,617.4,781.3,-21%,D,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,0,8.5,-100%,NR,387.4,958,-60%,LD,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,0,7.1,-100%,NR,410.7,577.1,-29%,D,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,0,16.8,-100%,NR,1955.8,2030.1,-4%,N,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,42.9,17.4,147%,LE,1766.8,1460,21%,E,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,0,8.8,-100%,NR,949,889.6,7%,N,EXACT,1.0
25,ASSAM,MORIGAON,26.282,92.284,0.5,11.2,-96%,LD,500.4,813.2,-38%,D,EXACT,1.0
26,ASSAM,NAGAON,26.362,92.754,0,6.8,-100%,NR,336.3,736.1,-54%,D,EXACT,1.0
27,ASSAM,NALBARI,26.371,91.382,0,7.9,-100%,NR,427.6,1172.6,-64%,LD,EXACT,1.0
28,ASSAM,SIBSAGAR,26.97,94.66,0,6,-100%,NR,618.2,867.6,-29%,D,EXACT,1.0
29,ASSAM,SONITPUR,26.757,92.699,2.5,5.6,-55%,D,829.1,861.8,-4%,N,EXACT,1.0
30,ASSAM,SOUTH SALMARA,25.918,89.962,,12.5,,ND,,1575.1,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,37.5,18.3,105%,LE,1294.3,1625.3,-20%,D,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,0,11.9,-100%,NR,901.7,1025.6,-12%,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,8.7,7.9,9%,N,1015,1041.3,-3%,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,5.7,8.4,-33%,D,494.2,1077.3,-54%,D,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,13.8,4,245%,LE,456.4,504.5,-10%,N,EXACT,1.0
1,MEGHALAYA,EAST GARO HILLS,25.624,90.631,0.8,16.3,-95%,LD,565.1,1396.3,-60%,LD,EXACT,1.0
2,MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469,16.7,23.4,-29%,D,1241.2,3360,-63%,LD,EXACT,1.0
3,MEGHALAYA,EAST KHASI HILLS,25.381,91.797,0.7,29,-98%,LD,1697.1,3389.9,-50%,D,EXACT,1.0
4,MEGHALAYA,NORTH GARO HILLS,25.856,90.665,0.2,13.6,-99%,LD,422.6,1322.1,-68%,LD,EXACT,1.0
5,MEGHALAYA,RI BHOI,25.871,91.886,6.8,15.1,-55%,D,545.3,1062.1,-49%,D,EXACT,1.0
6,MEGHALAYA,SOUTH GARO HILLS,25.302,90.582,1,13.6,-93%,LD,749.7,1322.1,-43%,D,EXACT,1.0
7,MEGHALAYA,SOUTH WEST GARO HILLS,25.446,89.993,0.1,13.6,-99%,LD,498.4,1322.1,-62%,LD,EXACT,1.0
8,MEGHALAYA,SOUTH WEST KHASI HILLS,25.321,91.243,3.2,13.6,-77%,LD,2350.8,1322.1,78%,LE,EXACT,1.0
9,MEGHALAYA,WEST GARO HILLS,25.653,90.196,0.1,11.8,-99%,LD,398.1,1353.8,-71%,LD,EXACT,1.0
10,MEGHALAYA,WEST JAINTIA HILLS,25.483,92.285,0.1,23.4,-99%,LD,729.7,3360,-78%,LD,EXACT,1.0
11,MEGHALAYA,WEST KHASI HILLS,25.605,91.263,1.7,20.8,-92%,LD,584.4,1984.7,-71%,LD,EXACT,1.0
1,MIZORAM,AIZAWL,23.836,92.824,6.5,19.1,-66%,LD,878.6,1093.3,-20%,D,EXACT,1.0
2,MIZORAM,CHAMPHAI,23.425,93.304,6.2,11.8,-48%,D,770.3,909.6,-15%,N,EXACT,1.0
3,MIZORAM,KOLASIB,24.158,92.727,30.5,18.4,66%,LE,999.6,1198,-17%,N,EXACT,1.0
4,MIZORAM,LAWNGTLAI,22.434,92.769,13.7,13.7,0%,N,984,1209.6,-19%,N,EXACT,1.0
5,MIZORAM,LUNGLEI,22.968,92.643,6,14.5,-59%,D,935.1,1221.4,-23%,D,EXACT,1.0
6,MIZORAM,MAMIT,23.753,92.463,0.4,22.7,-98%,LD,592.6,1078.6,-45%,D,EXACT,1.0
7,MIZORAM,SAIHA,22.291,93.001,18.3,17.1,7%,N,901.5,1223.3,-26%,D,EXACT,1.0
8,MIZORAM,SERCHHIP,23.299,92.934,7.6,13.8,-45%,D,977.4,1066.9,-8%,N,EXACT,1.0
1,MANIPUR,BISHNUPUR,24.538,93.799,0,5.4,-100%,NR,359.9,821.7,-56%,D,EXACT,1.0
2,MANIPUR,CHANDEL,24.14,94.014,0,5.4,-100%,NR,405.7,821.7,-51%,D,EXACT,1.0
3,MANIPUR,CHURACHANDPUR,24.28,93.603,0,5.4,-100%,NR,192,821.7,-77%,LD,EXACT,1.0
4,MANIPUR,IMPHAL EAST,24.826,94.009,0,4.9,-100%,NR,396.6,541.3,-27%,D,EXACT,1.0
5,MANIPUR,IMPHAL WEST,24.772,93.868,0.5,11.1,-96%,LD,561.8,1239.5,-55%,D,EXACT,1.0
6,MANIPUR,SENAPATI,25.398,94.127,8.2,4,105%,LE,493.2,567.5,-13%,N,EXACT,1.0
7,MANIPUR,TAMENGLONG,25.047,93.556,20.5,12.8,60%,LE,1425.3,3058.1,-53%,D,EXACT,1.0
8,MANIPUR,THOUBAL,24.621,94.012,0,4.9,-100%,NR,255.9,541.3,-53%,D,EXACT,1.0
9,MANIPUR,UKHRUL,25.23,94.427,0.9,6,-85%,LD,730.7,790.4,-8%,N,EXACT,1.0
1,TRIPURA,DHALAI,23.839,91.92,1.5,9.9,-85%,LD,855.6,972.4,-12%,N,EXACT,1.0
2,TRIPURA,GOMATI,23.53,91.619,1.6,16,-90%,LD,781.9,1047.4,-25%,D,EXACT,1.0
3,TRIPURA,KHOWAI,23.947,91.655,0.3,10.1,-97%,LD,878.9,960.1,-8%,N,EXACT,1.0
4,TRIPURA,NORTH TRIPURA,24.095,92.209,1.2,12.4,-91%,LD,774,992.2,-22%,D,EXACT,1.0
5,TRIPURA,SIPAHIJALA,23.587,91.33,1,9.8,-90%,LD,874,979.1,-11%,N,EXACT,1.0
6,TRIPURA,SOUTH TRIPURA,23.192,91.588,0,15.4,-100%,NR,882.3,1278.9,-31%,D,EXACT,1.0
7,TRIPURA,UNAKOTI,24.193,92.04,1.3,14.1,-90%,LD,936.9,1032.8,-9%,N,EXACT,1.0
8,TRIPURA,WEST TRIPURA,23.888,91.397,0.4,9.7,-96%,LD,920.1,885.1,4%,N,EXACT,1.0
1,NAGALAND,DIMAPUR,25.776,93.795,1.7,4.9,-65%,LD,539.7,585.1,-8%,N,EXACT,1.0
2,NAGALAND,KIPHIRE,25.847,94.824,25.1,2.2,1039%,LE,577.9,429.6,35%,E,EXACT,1.0
3,NAGALAND,KOHIMA,25.77,94.11,8.9,8.8,1%,N,801.5,837.6,-4%,N,EXACT,1.0
4,NAGALAND,LONGLENG,26.559,94.798,,4.4,,ND,,776.8,,ND,EXACT,1.0
5,NAGALAND,MOKOKCHUNG,26.472,94.529,3.6,15.8,-77%,LD,1134.5,1001.6,13%,N,EXACT,1.0
6,NAGALAND,MON,26.684,95.018,6.3,6.2,1%,N,545.1,800.7,-32%,D,EXACT,1.0
7,NAGALAND,PEREN,25.493,93.615,10.8,9.8,11%,N,622.9,627,-1%,N,EXACT,1.0
8,NAGALAND,PHEK,25.649,94.532,12.8,4.2,205%,LE,535.7,599.1,-11%,N,EXACT,1.0
9,NAGALAND,TUENSANG,26.177,94.887,,4.4,,ND,,776.8,,ND,EXACT,1.0
10,NAGALAND,WOKHA,26.196,94.198,2,12.8,-85%,LD,894,879,2%,N,EXACT,1.0
11,NAGALAND,ZUNHEBOTO,26.003,94.486,9.7,8.4,15%,N,1226.2,774.3,58%,E,EXACT,1.0
1,WEST BENGAL,ALIPURDUAR,26.631,89.457,3.8,22.1,-83%,LD,2095.8,2190.7,-4%,N,EXACT,1.0
2,WEST BENGAL,COOCH BEHAR,26.292,89.346,0.2,11.8,-99%,LD,1618.1,1675.6,-3%,N,EXACT,1.0
3,WEST BENGAL,DARJEELING,26.853,88.263,8,25,-68%,LD,1665.8,1961.7,-15%,N,FUZZY,0.842
4,WEST BENGAL,JALPAIGURI,26.681,88.761,7.3,20.5,-64%,LD,1696.8,2107.1,-19%,N,EXACT,1.0
5,WEST BENGAL,KALIMPONG,27.033,88.629,8.7,22.4,-61%,LD,1431.4,1743.9,-18%,N,EXACT,1.0
6,WEST BENGAL,MALDA,25.142,88.089,30.9,8,286%,LE,612.1,772,-21%,D,FUZZY,0.909
7,WEST BENGAL,NORTH DINAJPUR,25.889,87.998,8.5,5,70%,LE,749.7,991.1,-24%,D,EXACT,1.0
8,WEST BENGAL,SOUTH DINAJPUR,25.367,88.575,3.6,11,-67%,LD,638.8,726,-12%,N,EXACT,1.0
1,SIKKIM,GANGTOK,27.292,88.671,1.2,16,-93%,LD,1407.6,1574.5,-11%,N,EXACT,1.0
2,SIKKIM,GYALSHING,27.349,88.175,0,18.1,-100%,NR,1640.9,1256.8,31%,E,EXACT,1.0
3,SIKKIM,MANGAN,27.744,88.528,6.7,10.4,-36%,D,966.9,1092.6,-12%,N,EXACT,1.0
4,SIKKIM,NAMCHI,27.287,88.383,0,15.2,-100%,NR,1428,1161.3,23%,E,EXACT,1.0
5,SIKKIM,Pakyong,27.23,88.6,0.3,13.9,-98%,LD,1193.8,1159.8,3%,N,EXACT,1.0
6,SIKKIM,Soreng,27.17,88.25,1.5,18.1,-92%,LD,1698,1256.8,35%,E,EXACT,1.0
1,WEST BENGAL,BANKURA,23.139,87.136,3.8,11.8,-68%,LD,848.5,814.9,4%,N,EXACT,1.0
2,WEST BENGAL,BIRBHUM,23.955,87.663,4.7,8.7,-46%,D,627.6,780.4,-20%,D,EXACT,1.0
3,WEST BENGAL,EAST MIDNAPORE,22.032,87.772,0.8,14.2,-94%,LD,1422.9,858.9,66%,LE,EXACT,1.0
4,WEST BENGAL,HOOGHLY,22.884,88.072,0,10.2,-100%,NR,769.8,732.9,5%,N,EXACT,1.0
5,WEST BENGAL,HOWRAH,22.524,88.064,0,12.5,-100%,NR,905.9,810.8,12%,N,EXACT,1.0
6,WEST BENGAL,JHARGRAM,22.363,86.956,30.7,11,179%,LE,811.6,813,0%,N,EXACT,1.0
7,WEST BENGAL,KOLKATA,22.559,88.344,0,15.3,-100%,NR,1069.5,921.5,16%,N,EXACT,1.0
8,WEST BENGAL,MURSHIDABAD,24.171,88.229,7.4,7.3,1%,N,536.5,685.5,-22%,D,EXACT,1.0
9,WEST BENGAL,NADIA,23.479,88.517,2.4,6.4,-63%,LD,529.4,658.4,-20%,D,EXACT,1.0
10,WEST BENGAL,NORTH 24 PARGANAS,22.727,88.731,0,11.9,-100%,NR,1040.3,808.1,29%,E,EXACT,1.0
11,WEST BENGAL,PASCHIM BARDHAMAN,23.661,87.16,0.9,6.5,-86%,LD,771.4,759.5,2%,N,EXACT,1.0
12,WEST BENGAL,PURBA BARDHAMAN,23.36,87.947,0.5,8.6,-94%,LD,694.6,722,-4%,N,EXACT,1.0
13,WEST BENGAL,PURULIA,23.277,86.421,0,10.7,-100%,NR,607.6,764.5,-21%,D,EXACT,1.0
14,WEST BENGAL,SOUTH 24 PARGANAS,22.063,88.535,0,13,-100%,NR,1237.1,1004.6,23%,E,EXACT,1.0
15,WEST BENGAL,WEST MIDNAPORE,22.439,87.417,12.9,11,17%,N,1197.1,813,47%,E,EXACT,1.0
1,ODISHA,ANGUL,20.987,84.906,3.8,16,-76%,LD,1101.8,790.8,39%,E,EXACT,1.0
2,ODISHA,BALANGIR,20.589,83.172,1.3,14.5,-91%,LD,1101.1,768.9,43%,E,EXACT,1.0
3,ODISHA,BALASORE,21.492,86.914,6.4,14.2,-55%,D,1310.9,809,62%,LE,EXACT,1.0
4,ODISHA,BARGARH,21.219,83.349,1.4,15.7,-91%,LD,1440.1,851.2,69%,LE,EXACT,1.0
5,ODISHA,BHADRAK,20.983,86.625,15.4,14.2,8%,N,1040.5,733.6,42%,E,EXACT,1.0
6,ODISHA,BOUDH,20.644,84.173,0.3,9.9,-97%,LD,1466.2,722.8,103%,LE,EXACT,1.0
7,ODISHA,CUTTACK,20.453,85.697,1.6,17.6,-91%,LD,1147.1,785.5,46%,E,EXACT,1.0
8,ODISHA,DEOGARH,21.537,84.733,1.9,18.5,-90%,LD,1194.9,823.2,45%,E,EXACT,1.0
9,ODISHA,DHENKANAL,20.827,85.524,5,17.9,-72%,LD,1270,771.8,65%,LE,EXACT,1.0
10,ODISHA,GAJAPATI,19.186,84.161,0.7,6.4,-90%,LD,413.9,592.5,-30%,D,EXACT,1.0
11,ODISHA,GANJAM,19.625,84.673,1.5,8.7,-83%,LD,514.8,574.1,-10%,N,EXACT,1.0
12,ODISHA,JAGATSINGHPUR,20.219,86.336,1,13.6,-93%,LD,982.3,702.9,40%,E,EXACT,1.0
13,ODISHA,JAJPUR,20.856,86.149,5.8,19.4,-70%,LD,1054.7,854.4,23%,E,EXACT,1.0
