S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,5.5,10.2,-46%,D,815.3,1347.2,-39%,D
2,ASSAM,16,8.2,95%,LE,938.5,1216.2,-23%,D
3,MEGHALAYA,7.8,18.6,-58%,D,942,2243.5,-58%,D
4,NAGALAND,19.9,6.4,211%,LE,918,845.5,9%,N
5,MANIPUR,11.8,6.7,76%,LE,505.9,853.5,-41%,D
6,MIZORAM,13,10.7,22%,E,1060.4,1284.7,-17%,N
7,TRIPURA,5.4,8,-33%,D,1014.5,1154.1,-12%,N
8,SIKKIM,27.7,12.1,129%,LE,1327.5,1357.9,-2%,N
9,WEST BENGAL,21.6,10,116%,LE,1109.9,1066.8,4%,N
10,JHARKHAND,31.6,8.5,271%,LE,797.3,815.6,-2%,N
11,BIHAR,15.7,7,124%,LE,501.9,789.6,-36%,D
1,UTTAR PRADESH,20.7,7.3,183%,LE,593.8,607.5,-2%,N
2,UTTARAKHAND,28.4,10.2,178%,LE,1020.9,999.8,2%,N
3,HARYANA,1.4,3.7,-63%,LD,284.9,357.3,-20%,D
4,CHANDIGARH (UT),0,2,-100%,NR,596.3,719.5,-17%,N
5,DELHI (UT),6.6,5.5,20%,E,507.6,452.1,12%,N
6,PUNJAB,2.7,4,-33%,D,233.8,369.5,-37%,D
7,HIMACHAL PRADESH,15.4,5,208%,LE,577.9,623.9,-7%,N
8,JAMMU & KASHMIR (UT),12.6,4.6,174%,LE,480.5,461.1,4%,N
9,LADAKH (UT),0.1,0.1,2%,N,49.3,16.8,194%,LE
10,RAJASTHAN,0,4,-99%,LD,282.6,380,-26%,D
1,ODISHA,1.1,9.6,-89%,LD,1169.3,931.9,25%,E
2,MADHYA PRADESH,7.1,8.2,-13%,N,719.5,799.9,-10%,N
3,GUJARAT,0.2,4.2,-95%,LD,516.6,605.1,-15%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),4.6,16.9,-73%,LD,2749.6,1912.1,44%,E
5,GOA,16.9,15.3,10%,N,1826.3,2721.9,-33%,D
6,MAHARASHTRA,1.6,8.7,-81%,LD,720.1,830.9,-13%,N
7,CHHATTISGARH,6.7,10.2,-35%,D,929.9,940.4,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),2.7,13,-80%,LD,1264.6,1229.5,3%,N
2,ANDHRA PRADESH,0.4,5,-92%,LD,215.4,378.6,-43%,D
3,TELANGANA,0.8,6,-87%,LD,466.6,587.2,-21%,D
4,TAMILNADU,0.6,3.5,-83%,LD,165.6,216.7,-24%,D
5,PUDUCHERRY (UT),1,3.6,-73%,LD,188.3,295.2,-36%,D
6,KARNATAKA,1.9,5.3,-64%,LD,517.8,680.9,-24%,D
7,KERALA,0.7,8.9,-92%,LD,1374.2,1767.9,-22%,D
8,LAKSHADWEEP (UT),2.3,6.8,-66%,LD,638,870.2,-27%,D
