S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,3.2,12.3,-74%,LD,918.5,1577.3,-42%,D
2,ASSAM,2.8,8.7,-68%,LD,1038.7,1403.5,-26%,D
3,MEGHALAYA,7.4,15.7,-53%,D,1039.6,2552.5,-59%,D
4,NAGALAND,2,8.6,-77%,LD,1069.6,982.7,9%,N
5,MANIPUR,1.9,3.7,-49%,D,558.3,981.4,-43%,D
6,MIZORAM,0.1,11.1,-99%,LD,1254.1,1529.8,-18%,N
7,TRIPURA,0.1,8.5,-99%,LD,1115.6,1317.8,-15%,N
8,SIKKIM,2.5,10.2,-75%,LD,1693.9,1582,7%,N
9,WEST BENGAL,4.1,10.9,-62%,LD,1244.7,1253.2,-1%,N
10,JHARKHAND,3.3,6.6,-49%,D,875.4,962.4,-9%,N
11,BIHAR,2.9,6.4,-55%,D,587.5,931.9,-37%,D
1,UTTAR PRADESH,0.1,3.5,-98%,LD,681.1,719.3,-5%,N
2,UTTARAKHAND,0.7,4.5,-85%,LD,1158.5,1132.7,2%,N
3,HARYANA,0,1.3,-100%,NR,317.5,413,-23%,D
4,CHANDIGARH (UT),0,0.8,-100%,NR,715.4,821.7,-13%,N
5,DELHI (UT),0,1.4,-100%,NR,562.7,528.2,7%,N
6,PUNJAB,0,1.1,-100%,NR,254.2,419.2,-39%,D
7,HIMACHAL PRADESH,0,2.5,-100%,NR,636.4,708,-10%,N
8,JAMMU & KASHMIR (UT),0,1.6,-100%,NR,525.8,525.1,0%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.4,20.3,143%,LE
10,RAJASTHAN,0.3,1.1,-73%,LD,335.5,425.4,-21%,D
1,ODISHA,6.7,8.8,-24%,D,1293.4,1099.9,18%,N
2,MADHYA PRADESH,4.7,4.7,0%,N,864.9,922.6,-6%,N
3,GUJARAT,5.8,2.9,99%,LE,635.1,682.9,-7%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),5.6,7.9,-29%,D,2955.7,2112.6,40%,E
5,GOA,0.1,9,-99%,LD,1895.5,2922.7,-35%,D
6,MAHARASHTRA,3.6,6.4,-43%,D,782.2,946,-17%,N
7,CHHATTISGARH,4.3,7,-38%,D,1032.9,1092.9,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),18,14.9,21%,E,1625,1509,8%,N
2,ANDHRA PRADESH,5.7,6.5,-12%,N,288.1,474.6,-39%,D
3,TELANGANA,4,7.7,-47%,D,548.3,691.1,-21%,D
4,TAMILNADU,18.6,3.4,448%,LE,247.9,288.6,-14%,N
5,PUDUCHERRY (UT),0.8,4,-79%,LD,228.4,376.1,-39%,D
6,KARNATAKA,5.8,5.7,3%,N,542.1,779.7,-30%,D
7,KERALA,23.4,8.1,189%,LE,1417.9,1943.1,-27%,D
8,LAKSHADWEEP (UT),20.9,3.2,554%,LE,712.8,983.7,-28%,D
