S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.4,12.7,-97,LD,680.9,1093.7,-38,D
2,ASSAM,0.7,12.6,-94,LD,739.2,975.6,-24,D
3,MEGHALAYA,3.4,27,-87,LD,780.8,1812.5,-57,D
4,NAGALAND,3.5,7.1,-50,D,702.9,658.3,7,N
5,MANIPUR,0.5,8.4,-94,LD,434.7,686.5,-37,D
6,MIZORAM,8.4,12.8,-34,D,792,992,-20,D
7,TRIPURA,28.9,11.3,155,LE,796.3,919.1,-13,N
8,SIKKIM,2.4,13.4,-82,LD,1114.5,1065.1,5,N
9,WEST BENGAL,8.1,12.6,-36,D,850.8,824.5,3,N
10,JHARKHAND,6.3,9.1,-31,D,461.6,616.5,-25,D
11,BIHAR,1.7,9.2,-82,LD,372.2,590.4,-37,D
1,UTTAR PRADESH,4.9,8.2,-40,D,347.3,439.1,-21,D
2,UTTARAKHAND,20.6,12.2,69,LE,727.7,742.3,-2,N
3,HARYANA,5.4,4.2,30,E,237.7,261.4,-9,N
4,CHANDIGARH (UT),0,6.2,-100,NR,406.6,540,-25,D
5,DELHI (UT),4.4,4.8,-8,N,397.7,320.2,24,E
6,PUNJAB,3.3,3.9,-16,N,184.5,283,-35,D
7,HIMACHAL PRADESH,15.3,8.2,87,LE,433.3,463.7,-7,N
8,JAMMU & KASHMIR (UT),11.6,4.1,183,LE,380.8,346.7,10,N
9,LADAKH (UT),0,0,-100,NR,39.2,14.8,165,LE
10,RAJASTHAN,8.5,5.3,59,E,232,278.2,-17,N
1,ODISHA,10.6,9.8,8,N,872.8,686.8,27,E
2,MADHYA PRADESH,15.4,8.3,85,LE,499.8,579.7,-14,N
3,GUJARAT,2.8,10.3,-73,LD,488,471.9,3,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),6,30.6,-80,LD,2522.5,1541.1,64,LE
5,GOA,11.3,35.1,-68,LD,1506.2,2304.7,-35,D
6,MAHARASHTRA,3,9.7,-69,LD,637,651.6,-2,N
7,CHHATTISGARH,4.4,11,-60,LD,660.3,698.8,-6,N
1,ANDAMAN & NICOBAR ISLANDS (UT),4.7,15,-69,LD,1010.5,946.8,7,N
2,ANDHRA PRADESH,2.1,4,-49,D,180.5,274.7,-34,D
3,TELANGANA,0.9,7.6,-88,LD,401,436.3,-8,N
4,TAMILNADU,5.9,2.6,127,LE,132.1,145.4,-9,N
5,PUDUCHERRY (UT),6.7,3.8,76,LE,149.1,199.8,-25,D
6,KARNATAKA,5,8.2,-40,D,438.3,543.7,-19,N
7,KERALA,4,17.4,-77,LD,1172.5,1498.2,-22,D
8,LAKSHADWEEP (UT),3.4,7.2,-53,D,528.4,702.4,-25,D
