S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,2.4,8.8,-73%,LD,836.1,1404,-40%,D
2,ASSAM,3.4,9.8,-65%,LD,963.7,1266.8,-24%,D
3,MEGHALAYA,2.2,18.8,-88%,LD,974.7,2334.1,-58%,D
4,NAGALAND,8.5,7.4,15%,N,1009.7,883.5,14%,N
5,MANIPUR,9.3,6,55%,E,520.8,889.2,-41%,D
6,MIZORAM,16.6,12.6,32%,E,1128.7,1351.1,-16%,N
7,TRIPURA,7.4,7.4,0%,N,1037.6,1198.4,-13%,N
8,SIKKIM,6.3,10,-37%,D,1362.1,1422.9,-4%,N
9,WEST BENGAL,3.7,9.4,-60%,LD,1138.2,1119.9,2%,N
10,JHARKHAND,6.4,9,-29%,D,812.8,859.5,-5%,N
11,BIHAR,6.3,7.8,-19%,N,536.1,828.7,-35%,D
1,UTTAR PRADESH,16.2,7.4,119%,LE,646.6,641.4,1%,N
2,UTTARAKHAND,20.7,8.7,137%,LE,1099.6,1046.8,5%,N
3,HARYANA,2.2,4,-44%,D,301.9,377.9,-20%,D
4,CHANDIGARH (UT),0,5.6,-100%,NR,656.9,759.8,-14%,N
5,DELHI (UT),5.6,5.6,0%,N,553.5,480.9,15%,N
6,PUNJAB,0.3,2.6,-90%,LD,243.2,388.4,-37%,D
7,HIMACHAL PRADESH,1.1,4,-74%,LD,597.2,652.1,-8%,N
8,JAMMU & KASHMIR (UT),0.8,4,-80%,LD,494.4,485,2%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.4,17.8,177%,LE
10,RAJASTHAN,2.4,3.5,-31%,D,303.7,398.4,-24%,D
1,ODISHA,4.2,11,-61%,LD,1177.6,984.9,20%,E
2,MADHYA PRADESH,4.7,7.8,-40%,D,790,840.6,-6%,N
3,GUJARAT,0.3,6.2,-95%,LD,517.6,629.4,-18%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),6.2,10.6,-42%,D,2767.8,1977.5,40%,E
5,GOA,0.1,12.7,-99%,LD,1856.8,2788.4,-33%,D
6,MAHARASHTRA,2.2,6.5,-66%,LD,734.7,866,-15%,N
7,CHHATTISGARH,1.2,11.4,-89%,LD,948.9,990.9,-4%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),28,16.5,69%,LE,1325.1,1298.8,2%,N
2,ANDHRA PRADESH,2.4,4.5,-47%,D,222.4,400.9,-45%,D
3,TELANGANA,3.4,5.3,-36%,D,475.7,613.3,-22%,D
4,TAMILNADU,3.3,4,-18%,N,181.1,233.8,-23%,D
5,PUDUCHERRY (UT),0,5.6,-100%,NR,199.3,315.1,-37%,D
6,KARNATAKA,0.4,5.1,-93%,LD,522.9,707,-26%,D
7,KERALA,0.2,12.1,-98%,LD,1376.8,1818.5,-24%,D
8,LAKSHADWEEP (UT),0.5,5.3,-91%,LD,643.4,899.1,-28%,D
