S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,25.9,11.1,133,LE,625.9,1005.5,-38,D
2,ASSAM,7.9,10.9,-28,D,648.4,881.9,-26,D
3,MEGHALAYA,9.7,18.4,-47,D,704.8,1664.6,-58,D
4,NAGALAND,16.9,9.7,74,LE,586.1,585,0,N
5,MANIPUR,0.3,9.6,-97,LD,353.5,602.2,-41,D
6,MIZORAM,3.2,14.7,-78,LD,665.6,873.1,-24,D
7,TRIPURA,2.2,11.9,-82,LD,709.5,827.9,-14,N
8,SIKKIM,22.7,14.8,53,E,959.6,945,2,N
9,WEST BENGAL,2.4,10.9,-78,LD,725.3,725,0,N
10,JHARKHAND,2.4,9.3,-74,LD,363.8,526.3,-31,D
11,BIHAR,4.6,9.3,-51,D,297.8,522.2,-43,D
1,UTTAR PRADESH,2.9,7.2,-60,LD,267.2,373.1,-28,D
2,UTTARAKHAND,15.7,14.2,11,N,589.3,624.2,-6,N
3,HARYANA,0.7,6,-89,LD,148.7,214.8,-31,D
4,CHANDIGARH (UT),0,9.8,-99,LD,347.1,443.8,-22,D
5,DELHI (UT),4.1,9.2,-55,D,240.2,268,-10,N
6,PUNJAB,0.4,6.8,-94,LD,144.1,230.7,-38,D
7,HIMACHAL PRADESH,3.7,10.3,-64,LD,352.3,376.6,-6,N
8,JAMMU & KASHMIR (UT),3.5,8.4,-58,D,329.1,284.8,16,N
9,LADAKH (UT),2.4,0.1,2331,LE,35,12.8,174,LE
10,RAJASTHAN,4.5,5.7,-21,D,186.3,227.1,-18,N
1,ODISHA,5,12,-59,D,742.7,572.6,30,E
2,MADHYA PRADESH,2.1,10,-79,LD,401.5,470.5,-15,N
3,GUJARAT,32.1,8.5,278,LE,474.7,389.4,22,E
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),17.4,26.5,-34,D,2440.8,1319.4,85,LE
5,GOA,10.3,28.6,-64,LD,1252.6,2021.3,-38,D
6,MAHARASHTRA,6.7,10.3,-35,D,601.2,554.8,8,N
7,CHHATTISGARH,2.4,12.4,-81,LD,565.6,580.7,-3,N
1,ANDAMAN & NICOBAR ISLANDS (UT),12.3,11.7,5,N,849,829.9,2,N
2,ANDHRA PRADESH,2,4.5,-56,D,151.8,233.9,-35,D
3,TELANGANA,1.8,7.8,-76,LD,342,364.3,-6,N
4,TAMILNADU,4.8,2.4,102,LE,107,125,-14,N
5,PUDUCHERRY (UT),3.6,3.5,4,N,75.6,166.9,-55,D
6,KARNATAKA,20.4,8.9,129,LE,378.1,470.5,-20,D
7,KERALA,63.9,18.8,240,LE,996.6,1342,-26,D
8,LAKSHADWEEP (UT),15.4,8.1,91,LE,445.8,641.3,-30,D
