S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,1.6,10.7,-85%,LD,483.6,862.8,-44%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,106.8,17.2,521%,LE,2176.8,1568.3,39%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,42.7,12.9,231%,LE,1075.7,1312.3,-18%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,4.9,-100%,NR,165.8,1383.2,-88%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,13.3,11.9,11%,N,1009.1,1167.7,-14%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,7.3,,ND,,950.7,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,8.6,-100%,NR,1213.9,1038,17%,N,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,13.7,-100%,NR,1963.2,2733.2,-28%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,0,7.2,-100%,NR,529.4,976.7,-46%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,12.5,8.3,50%,E,870.1,1331.9,-35%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,11.4,,ND,,1979.4,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0,7.4,-100%,NR,393.3,651,-40%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,3.6,13.8,-74%,LD,1528.1,1868.9,-18%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,5.3,5.8,-9%,N,317.3,853.9,-63%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,6,10,-41%,D,1682,1699.3,-1%,N,EXACT,1.0
