S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.6,9,-82,LD,665.2,1043.8,-36,D
2,ASSAM,6,9.3,-35,D,708.8,921.8,-23,D
3,MEGHALAYA,4.3,14.9,-71,LD,753.8,1732,-56,D
4,NAGALAND,2.8,6.5,-56,D,658.4,616.1,7,N
5,MANIPUR,12.4,10.5,18,N,408.7,637.2,-36,D
6,MIZORAM,45.4,13.8,229,LE,733.1,929.5,-21,D
7,TRIPURA,25.9,10.6,145,LE,742.7,872.6,-15,N
8,SIKKIM,15.7,13.6,15,N,1069.8,997.2,7,N
9,WEST BENGAL,31.3,12.1,158,LE,806.8,770.3,5,N
10,JHARKHAND,22.7,11.3,101,LE,415.1,571.1,-27,D
11,BIHAR,22.3,7.5,197,LE,357.6,552.6,-35,D
1,UTTAR PRADESH,19.4,7.8,148,LE,317.2,401.9,-21,D
2,UTTARAKHAND,28.3,13.5,110,LE,657.6,677.8,-3,N
3,HARYANA,10.6,5.2,104,LE,181.9,238.2,-24,D
4,CHANDIGARH (UT),0,12.3,-100,NR,375,492.7,-24,D
5,DELHI (UT),18.6,7.5,148,LE,277.8,291.7,-5,N
6,PUNJAB,3.7,7.3,-49,D,169.4,256.1,-34,D
7,HIMACHAL PRADESH,7,9.8,-29,D,386.1,415.3,-7,N
8,JAMMU & KASHMIR (UT),6.2,6.9,-10,N,359.1,312.4,15,N
9,LADAKH (UT),0.2,0,1425,LE,38.2,13.3,188,LE
10,RAJASTHAN,3.6,6.7,-46,D,204.7,249.6,-18,N
1,ODISHA,15.8,13.7,16,N,780.9,629.3,24,E
2,MADHYA PRADESH,6.6,12.6,-48,D,419.7,519.8,-19,N
3,GUJARAT,0.6,9.3,-94,LD,484.4,425.3,14,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),8.5,20.6,-59,D,2512.7,1416.4,77,LE
5,GOA,18.7,26.9,-30,D,1385.2,2154.3,-36,D
6,MAHARASHTRA,4.8,11.9,-60,LD,629.2,601.1,5,N
7,CHHATTISGARH,9.9,13.9,-28,D,598.4,636.5,-6,N
1,ANDAMAN & NICOBAR ISLANDS (UT),22.7,13.7,66,LE,919.4,878.5,5,N
2,ANDHRA PRADESH,2,4,-49,D,164.9,252.2,-35,D
3,TELANGANA,1.7,6.2,-73,LD,373.8,397.6,-6,N
4,TAMILNADU,0.3,2.3,-86,LD,117.3,133.1,-12,N
5,PUDUCHERRY (UT),0.6,4,-86,LD,111.3,180.5,-38,D
6,KARNATAKA,4.5,8.2,-46,D,409,503.9,-19,N
7,KERALA,10,15.5,-35,D,1093.9,1407.8,-22,D
8,LAKSHADWEEP (UT),44,7.6,479,LE,490.6,669.5,-27,D
