S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,12,9.7,24,E,663.6,1034.8,-36,D
2,ASSAM,32,10.7,199,LE,702.8,912.5,-23,D
3,MEGHALAYA,18.2,14.9,22,E,749.5,1717.1,-56,D
4,NAGALAND,34.9,8.3,320,LE,655.3,609.6,7,N
5,MANIPUR,27.7,6.4,333,LE,396.3,626.7,-37,D
6,MIZORAM,11.7,14.5,-19,N,687.7,915.7,-25,D
7,TRIPURA,1.6,10.6,-85,LD,716.8,862,-17,N
8,SIKKIM,42.9,12.9,233,LE,1056.8,983.6,7,N
9,WEST BENGAL,25.4,10.1,151,LE,775.5,758.2,2,N
10,JHARKHAND,16.1,10.5,53,E,391.6,559.8,-30,D
11,BIHAR,14.8,6.9,115,LE,335.3,545.1,-38,D
1,UTTAR PRADESH,14.9,6.4,133,LE,297.9,394.1,-24,D
2,UTTARAKHAND,15.9,13.1,21,E,629.3,664.3,-5,N
3,HARYANA,12.4,5.5,126,LE,171.3,233,-26,D
4,CHANDIGARH (UT),17.9,7.2,149,LE,375,480.4,-22,D
5,DELHI (UT),6.3,7.2,-13,N,259.2,284.2,-9,N
6,PUNJAB,4.9,5.9,-18,N,165.7,248.8,-33,D
7,HIMACHAL PRADESH,14.9,8.6,74,LE,379.1,405.5,-7,N
8,JAMMU & KASHMIR (UT),11.8,7,69,LE,352.8,305.5,15,N
9,LADAKH (UT),0,0.1,-100,NR,38.1,13.3,186,LE
10,RAJASTHAN,3.4,5.9,-43,D,201.1,242.9,-17,N
1,ODISHA,7.6,14.9,-49,D,765,615.6,24,E
2,MADHYA PRADESH,6.3,12,-47,D,413.1,507.2,-19,N
3,GUJARAT,1.1,9.9,-89,LD,483.7,416,16,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),15,22,-32,D,2504.1,1395.8,79,LE
5,GOA,34.4,33.3,3,N,1366.5,2127.4,-36,D
6,MAHARASHTRA,7,12.2,-43,D,624.4,589.2,6,N
7,CHHATTISGARH,11,12.1,-9,N,588.4,622.6,-5,N
1,ANDAMAN & NICOBAR ISLANDS (UT),11.2,11.1,0,N,896.7,864.8,4,N
2,ANDHRA PRADESH,3.5,4.7,-26,D,162.9,248.2,-34,D
3,TELANGANA,3.4,8.4,-59,D,371.8,391.4,-5,N
4,TAMILNADU,4.5,2.1,114,LE,116.9,130.8,-11,N
5,PUDUCHERRY (UT),10.7,3.1,244,LE,110.7,176.5,-37,D
6,KARNATAKA,9.2,8.3,11,N,404.6,495.7,-18,N
7,KERALA,20.4,17.4,17,N,1083.9,1392.3,-22,D
8,LAKSHADWEEP (UT),0.3,7,-96,LD,446.6,661.9,-33,D
