S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,7.6,9.8,-22%,D,497.7,896.7,-44%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,18.7,15,25%,E,2357.5,1628.3,45%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,0,12.3,-100%,NR,1119.5,1368.6,-18%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,6.2,17.1,-64%,LD,171.9,1426.5,-88%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0,10.1,-100%,NR,1010.3,1202.7,-16%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,18.3,,ND,,991.7,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,18.8,16.4,15%,N,1237.7,1081.2,14%,N,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,22.8,-100%,NR,1963.2,2819.8,-30%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,2.8,11.9,-77%,LD,533.2,1021.3,-48%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,5.1,16.1,-68%,LD,875.3,1375.4,-36%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,17.8,,ND,,2033.7,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0.8,7.7,-90%,LD,400.1,669.5,-40%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,81.8,14.8,453%,LE,1615.4,1941.7,-17%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0.2,8.3,-98%,LD,323.2,880.5,-63%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,0,19.8,-100%,NR,1729,1755.7,-2%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,10.5,14.5,-28%,D,1036.2,1531.2,-32%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0.6,7.2,-92%,LD,321.7,834.3,-61%,LD,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,3,11.6,-74%,LD,488.8,1506.9,-68%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0,10.7,-100%,NR,572.5,1749.8,-67%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,0,16.1,-100%,NR,1030.5,1887.1,-45%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,11,11.4,-4%,N,1115.9,1372.4,-19%,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,14,16.1,-13%,N,1169.6,1887.1,-38%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,11.5,,ND,,1348.5,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,,14.1,,ND,846.2,2131.7,-60%,LD,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,32.4,10.8,200%,LE,1562.1,1649.7,-5%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,7.9,-100%,NR,1156,930.3,24%,E,EXACT,1.0
