S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,2.6,10.5,-75,LD,721.5,1189.7,-39,D
2,ASSAM,5.8,10.3,-43,D,804.6,1066.3,-25,D
3,MEGHALAYA,9.4,16.1,-42,D,838.6,1976.6,-58,D
4,NAGALAND,12.5,9.1,37,E,770.8,733.4,5,N
5,MANIPUR,2.7,9.3,-70,LD,446.4,751.1,-41,D
6,MIZORAM,7.8,14.3,-45,D,854.3,1105.3,-23,D
7,TRIPURA,0.7,11,-94,LD,851.1,1013.7,-16,N
8,SIKKIM,14.5,12.2,19,N,1174.9,1169.4,0,N
9,WEST BENGAL,10.2,9.5,7,N,983.2,924,6,N
10,JHARKHAND,27,10.7,152,LE,612.6,700.5,-13,N
11,BIHAR,5.7,8.1,-30,D,407.6,675,-40,D
1,UTTAR PRADESH,10.2,9.2,11,N,428.2,513.7,-17,N
2,UTTARAKHAND,15.2,16.8,-10,N,853.6,859.3,-1,N
3,HARYANA,3.9,4.8,-19,N,257.9,299.9,-14,N
4,CHANDIGARH (UT),59,8.1,628,LE,532.6,626.8,-15,N
5,DELHI (UT),0.7,5.5,-88,LD,414.3,375.2,10,N
6,PUNJAB,12.3,3.6,243,LE,212.7,318.2,-33,D
7,HIMACHAL PRADESH,24.7,7.8,216,LE,503.6,535.4,-6,N
8,JAMMU & KASHMIR (UT),11.8,4.4,167,LE,417.1,394.1,6,N
9,LADAKH (UT),0,0.1,-100,NR,47.3,15.7,201,LE
10,RAJASTHAN,0,4.3,-99,LD,265.2,321.4,-17,N
1,ODISHA,8.3,13.7,-40,D,1004.4,786.5,28,E
2,MADHYA PRADESH,10.9,12.3,-12,N,587.4,663.7,-11,N
3,GUJARAT,0.2,4.3,-96,LD,513.2,522.3,-2,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),1.9,7.2,-73,LD,2667.5,1665.7,60,LE
5,GOA,15.7,18.1,-13,N,1631.9,2490.5,-34,D
6,MAHARASHTRA,2.9,6.6,-56,D,678.1,716,-5,N
7,CHHATTISGARH,18.5,12.8,45,E,757.1,794.9,-5,N
1,ANDAMAN & NICOBAR ISLANDS (UT),4.1,12.9,-68,LD,1062.7,1038.7,2,N
2,ANDHRA PRADESH,1.7,3.9,-56,D,192.3,311.2,-38,D
3,TELANGANA,5.7,6.4,-11,N,422.8,493.4,-14,N
4,TAMILNADU,1.1,3.4,-68,LD,145.9,171.7,-15,N
5,PUDUCHERRY (UT),0.8,3.5,-76,LD,161.3,234.4,-31,D
6,KARNATAKA,5,6.1,-18,N,469.2,600.5,-22,D
7,KERALA,5.4,12.6,-57,D,1236.9,1616.3,-23,D
8,LAKSHADWEEP (UT),12.5,9.8,28,E,575.8,757.1,-24,D
