S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.3,11.8,-97%,LD,931,1627.8,-43%,D
2,ASSAM,0.4,8.9,-96%,LD,1053.4,1440.8,-27%,D
3,MEGHALAYA,1.9,14.3,-87%,LD,1067.4,2626.2,-59%,D
4,NAGALAND,3.4,6.7,-49%,D,1086.9,1011.5,7%,N
5,MANIPUR,0,5.7,-100%,NR,565,1009.8,-44%,D
6,MIZORAM,11.4,10.3,11%,N,1288.7,1576.8,-18%,N
7,TRIPURA,1.8,7.7,-76%,LD,1157.5,1356.7,-15%,N
8,SIKKIM,59.9,12.6,375%,LE,1805.1,1629.3,11%,N
9,WEST BENGAL,33.6,12.5,169%,LE,1336.1,1299.8,3%,N
10,JHARKHAND,27.6,7.3,278%,LE,947.3,992,-5%,N
11,BIHAR,34.2,10,242%,LE,644.4,959.4,-33%,D
1,UTTAR PRADESH,14.2,4.9,190%,LE,701.9,735.3,-5%,N
2,UTTARAKHAND,0.5,4.6,-89%,LD,1160.5,1152,1%,N
3,HARYANA,0,1.4,-99%,LD,317.5,423.3,-25%,D
4,CHANDIGARH (UT),0,5.3,-100%,NR,715.4,842.6,-15%,N
5,DELHI (UT),0,1.1,-100%,NR,562.7,540.1,4%,N
6,PUNJAB,0.6,3.2,-82%,LD,254.8,433.5,-41%,D
7,HIMACHAL PRADESH,0.1,4.3,-99%,LD,636.4,727.4,-13%,N
8,JAMMU & KASHMIR (UT),0.6,4.8,-87%,LD,526.9,541.5,-3%,N
9,LADAKH (UT),0,0,-100%,NR,49.4,22,125%,LE
10,RAJASTHAN,0,1.3,-100%,NR,335.5,431.9,-22%,D
1,ODISHA,68.2,5.4,1162%,LE,1453.1,1125.7,29%,E
2,MADHYA PRADESH,7.1,2.8,152%,LE,879.5,937.9,-6%,N
3,GUJARAT,0,3.9,-100%,NR,638.5,697.7,-8%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,16.5,-100%,NR,2991.5,2168.7,38%,E
5,GOA,14.5,8.1,79%,LE,1975.3,2961.4,-33%,D
6,MAHARASHTRA,3.1,5.9,-48%,D,798.2,970.9,-18%,N
7,CHHATTISGARH,59.6,4.7,1168%,LE,1119.5,1112.8,1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),5.2,14.3,-63%,LD,1741,1556.2,12%,N
2,ANDHRA PRADESH,25.7,5.4,376%,LE,386.9,495.7,-22%,D
3,TELANGANA,7.5,5,51%,E,602.6,712.7,-15%,N
4,TAMILNADU,0.2,4.7,-95%,LD,255.5,304.8,-16%,N
5,PUDUCHERRY (UT),4.4,5.3,-17%,N,251.3,390.3,-36%,D
6,KARNATAKA,6.5,5.2,25%,E,567.9,801.5,-29%,D
7,KERALA,13.3,9.9,34%,E,1443.5,1976.9,-27%,D
8,LAKSHADWEEP (UT),0,5.9,-100%,NR,718.7,1004.4,-28%,D
