S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,0.1,8.7,-98%,LD,465.9,791.3,-41%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,3.3,15.9,-79%,LD,1940.5,1430.8,36%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,3.4,16.3,-79%,LD,1009.2,1206.5,-16%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,15.1,6.3,140%,LE,154.7,1317.9,-88%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0,11.5,-100%,NR,939.6,1088.9,-14%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,3.6,,ND,,914.6,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,26.2,7.5,249%,LE,1125.4,960.8,17%,N,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,20.3,-100%,NR,1860.7,2565.8,-27%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,15.3,8.3,84%,LE,472,910.2,-48%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,2.1,9.1,-77%,LD,794.6,1266.8,-37%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,13.1,,ND,,1865.4,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,1.5,5.2,-71%,LD,358,606.9,-41%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,55.1,11.4,383%,LE,1433.5,1753.4,-18%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0,9.1,-100%,NR,305.1,788.2,-61%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,5.5,10.5,-48%,D,1629.5,1600.6,2%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,5.1,12.4,-59%,D,948.8,1328.4,-29%,D,EXACT,1.0
