S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.3,12.9,-97%,LD,846.7,1447.7,-42%,D
2,ASSAM,0.7,10.7,-93%,LD,983.3,1307.7,-25%,D
3,MEGHALAYA,4.4,15.9,-73%,LD,991.4,2401.4,-59%,D
4,NAGALAND,0.2,8.6,-97%,LD,1022.2,914.6,12%,N
5,MANIPUR,7.3,7.7,-5%,N,540,920.9,-41%,D
6,MIZORAM,4.1,11.6,-65%,LD,1203.4,1402.8,-14%,N
7,TRIPURA,8.5,9.7,-13%,N,1071.5,1234,-13%,N
8,SIKKIM,5.9,12.5,-52%,D,1385.2,1466.2,-6%,N
9,WEST BENGAL,16.2,10.4,56%,E,1183,1160.3,2%,N
10,JHARKHAND,7.9,8.4,-6%,N,843.4,890.6,-5%,N
11,BIHAR,13.4,7.7,75%,LE,563,858.9,-34%,D
1,UTTAR PRADESH,5.9,6.4,-8%,N,664,665.2,0%,N
2,UTTARAKHAND,12.1,6.1,98%,LE,1122.5,1073.2,5%,N
3,HARYANA,0,3.2,-100%,NR,302.6,391.6,-23%,D
4,CHANDIGARH (UT),0,6.3,-100%,NR,656.9,804.5,-18%,N
5,DELHI (UT),0,3,-100%,NR,553.5,499.4,11%,N
6,PUNJAB,0.1,1.8,-93%,LD,243.5,402.9,-40%,D
7,HIMACHAL PRADESH,0.3,4,-93%,LD,600.8,674.2,-11%,N
8,JAMMU & KASHMIR (UT),0,3.6,-100%,NR,496.9,503.3,-1%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.4,18.8,163%,LE
10,RAJASTHAN,0,2.3,-100%,NR,304.9,410.1,-26%,D
1,ODISHA,30.8,8.7,254%,LE,1227.3,1018.4,21%,E
2,MADHYA PRADESH,6.1,6.1,-1%,N,800.3,868.6,-8%,N
3,GUJARAT,0.2,3.3,-93%,LD,519.5,647,-20%,D
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),7.2,8.1,-11%,N,2788.4,2019.9,38%,E
5,GOA,0.1,8.2,-99%,LD,1873.7,2827.4,-34%,D
6,MAHARASHTRA,0.7,5.9,-89%,LD,739.2,889.2,-17%,N
7,CHHATTISGARH,18.4,8.3,121%,LE,971.8,1022.7,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),20.1,11.3,78%,LE,1467.1,1352.8,8%,N
2,ANDHRA PRADESH,4.9,5.7,-15%,N,233.3,418.3,-44%,D
3,TELANGANA,0.8,5.7,-85%,LD,479.5,633,-24%,D
4,TAMILNADU,1.6,4.2,-61%,LD,184.1,248.4,-26%,D
5,PUDUCHERRY (UT),0,4.7,-100%,NR,206.4,331.5,-38%,D
6,KARNATAKA,0.3,4.6,-92%,LD,525.6,725.6,-28%,D
7,KERALA,0.9,7.7,-89%,LD,1378.4,1854.5,-26%,D
8,LAKSHADWEEP (UT),8.7,6,45%,E,652.1,927.7,-30%,D
