S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,20.8,9.9,111%,LE,809.8,1337,-39%,D
2,ASSAM,20.5,9.2,123%,LE,922.8,1208,-24%,D
3,MEGHALAYA,10.3,17.1,-39%,D,934.2,2224.9,-58%,D
4,NAGALAND,17.3,8.2,111%,LE,898.1,839.1,7%,N
5,MANIPUR,12.3,12,2%,N,494.1,846.8,-42%,D
6,MIZORAM,20.2,9.8,106%,LE,1047.4,1274,-18%,N
7,TRIPURA,10.9,10.2,6%,N,1009.1,1146.1,-12%,N
8,SIKKIM,24.8,14.5,71%,LE,1299.8,1345.8,-3%,N
9,WEST BENGAL,14.8,9.2,61%,LE,1088.3,1056.8,3%,N
10,JHARKHAND,38.3,8.2,367%,LE,766.3,807.1,-5%,N
11,BIHAR,18.4,6.9,166%,LE,486.2,782.6,-38%,D
1,UTTAR PRADESH,19.2,7.1,171%,LE,573.1,600.2,-5%,N
2,UTTARAKHAND,27.1,9.3,191%,LE,992.5,989.6,0%,N
3,HARYANA,0.1,3.7,-98%,LD,283.5,353.6,-20%,D
4,CHANDIGARH (UT),0,4,-100%,NR,596.3,717.5,-17%,N
5,DELHI (UT),0,7.4,-100%,NR,501,446.6,12%,N
6,PUNJAB,0.6,3.4,-82%,LD,231.1,365.5,-37%,D
7,HIMACHAL PRADESH,5.3,5.1,5%,N,562.5,618.9,-9%,N
8,JAMMU & KASHMIR (UT),9.2,3.1,197%,LE,467.9,456.5,2%,N
9,LADAKH (UT),0,0,-100%,NR,49.2,16.7,195%,LE
10,RAJASTHAN,0,3.9,-100%,NR,282.6,376,-25%,D
1,ODISHA,13.9,7.8,79%,LE,1168.2,922.3,27%,E
2,MADHYA PRADESH,4.3,9.1,-52%,D,712.4,791.7,-10%,N
3,GUJARAT,0.4,6.1,-94%,LD,516.4,600.9,-14%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),9.7,14.6,-34%,D,2745,1895.2,45%,E
5,GOA,17.4,17.3,0%,N,1809.4,2706.6,-33%,D
6,MAHARASHTRA,1.1,8,-87%,LD,718.5,822.2,-13%,N
7,CHHATTISGARH,8.7,9,-3%,N,923.3,930.2,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.5,14.3,-90%,LD,1261.9,1216.5,4%,N
2,ANDHRA PRADESH,0.2,4.1,-96%,LD,215,373.6,-42%,D
3,TELANGANA,0.1,5.2,-98%,LD,465.9,581.2,-20%,D
4,TAMILNADU,0,3.5,-99%,LD,165,213.2,-23%,D
5,PUDUCHERRY (UT),0,3.9,-100%,NR,187.3,291.6,-36%,D
6,KARNATAKA,1.6,5.4,-70%,LD,515.9,675.6,-24%,D
7,KERALA,1.4,12.1,-88%,LD,1373.5,1759,-22%,D
8,LAKSHADWEEP (UT),0.5,6.5,-92%,LD,635.7,863.4,-26%,D
