S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,6.2,11.7,-47%,D,829,1383,-40%,D
2,ASSAM,7.6,10.3,-27%,D,958.2,1246.8,-23%,D
3,MEGHALAYA,6.7,19.9,-67%,LD,966.4,2299.1,-58%,D
4,NAGALAND,44.1,8.2,438%,LE,991.4,868.8,14%,N
5,MANIPUR,0.9,8.8,-89%,LD,508.9,876.6,-42%,D
6,MIZORAM,2.8,14.9,-81%,LD,1091,1325,-18%,N
7,TRIPURA,2.5,10.9,-77%,LD,1027.5,1181.8,-13%,N
8,SIKKIM,5.2,14,-63%,LD,1348.5,1398.5,-4%,N
9,WEST BENGAL,4.1,10.9,-63%,LD,1129.4,1097.8,3%,N
10,JHARKHAND,0.3,8.4,-96%,LD,803.8,840.2,-4%,N
11,BIHAR,6.2,8.5,-27%,D,522.7,812.2,-36%,D
1,UTTAR PRADESH,7.9,6.7,18%,N,621.4,626.4,-1%,N
2,UTTARAKHAND,12.1,10.8,12%,N,1060.4,1029.2,3%,N
3,HARYANA,5.6,4.9,15%,N,294.8,370.3,-20%,D
4,CHANDIGARH (UT),1.7,17.4,-90%,LD,640.2,750.4,-15%,N
5,DELHI (UT),23.7,5.3,347%,LE,534,469.6,14%,N
6,PUNJAB,4.5,4.2,8%,N,242.3,382.8,-37%,D
7,HIMACHAL PRADESH,2.8,6.4,-56%,D,591.9,643.3,-8%,N
8,JAMMU & KASHMIR (UT),3.8,6.5,-42%,D,491.3,477.5,3%,N
9,LADAKH (UT),0,0.3,-100%,NR,49.4,17.5,182%,LE
10,RAJASTHAN,8,3.4,134%,LE,294.7,391.6,-25%,D
1,ODISHA,1,10.5,-90%,LD,1172.1,963,22%,E
2,MADHYA PRADESH,16,7.9,103%,LE,778,823.9,-6%,N
3,GUJARAT,0.3,4.2,-93%,LD,517.2,619.3,-16%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),3,7.1,-57%,D,2754.9,1959.3,41%,E
5,GOA,6.3,12,-48%,D,1854,2762.3,-33%,D
6,MAHARASHTRA,2.4,6.9,-65%,LD,729.4,852,-14%,N
7,CHHATTISGARH,0.8,9.4,-92%,LD,947.4,970,-2%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),8.1,13.1,-38%,D,1275.4,1269.8,0%,N
2,ANDHRA PRADESH,0.7,4.4,-84%,LD,218.8,392.5,-44%,D
3,TELANGANA,0.3,4.7,-94%,LD,470.7,602.8,-22%,D
4,TAMILNADU,2.4,3.3,-28%,D,173,226.5,-24%,D
5,PUDUCHERRY (UT),0,4.3,-100%,NR,197,305.8,-36%,D
6,KARNATAKA,0.7,5.1,-87%,LD,521.7,696.8,-25%,D
7,KERALA,0.7,10.3,-93%,LD,1375.8,1796.1,-23%,D
8,LAKSHADWEEP (UT),0.2,6,-97%,LD,643,887.1,-28%,D
