S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,2.3,8.1,-71,LD,674.1,1070.2,-37,D
2,ASSAM,11.1,10.6,4,N,734.1,951.6,-23,D
3,MEGHALAYA,7,10.6,-34,D,769.3,1767.5,-56,D
4,NAGALAND,6.7,6.9,-3,N,691.6,642.7,8,N
5,MANIPUR,14.3,9.4,53,E,426.3,665.8,-36,D
6,MIZORAM,16.7,13.7,22,E,767.9,967.3,-21,D
7,TRIPURA,7.2,8.1,-12,N,762.3,900.5,-15,N
8,SIKKIM,11.7,11.5,1,N,1089.5,1037.6,5,N
9,WEST BENGAL,9.6,9.2,4,N,838.4,801.9,5,N
10,JHARKHAND,6.9,8.5,-19,N,451.4,599.4,-25,D
11,BIHAR,4,6.8,-41,D,368.4,573.4,-36,D
1,UTTAR PRADESH,0.8,7.1,-89,LD,338.9,423.5,-20,D
2,UTTARAKHAND,6.7,13.1,-49,D,691.4,717,-4,N
3,HARYANA,10.5,5.6,87,LE,230.4,253.1,-9,N
4,CHANDIGARH (UT),0,14.2,-99,LD,406.6,520.7,-22,D
5,DELHI (UT),10.7,8.7,23,E,393.4,309.5,27,E
6,PUNJAB,2.9,6.7,-56,D,178.7,273.6,-35,D
7,HIMACHAL PRADESH,1.5,10.2,-85,LD,411.9,445.7,-8,N
8,JAMMU & KASHMIR (UT),4.1,7.7,-47,D,369.2,336.5,10,N
9,LADAKH (UT),1,0.2,392,LE,39.2,14.2,176,LE
10,RAJASTHAN,3.5,5.6,-37,D,219.6,267,-18,N
1,ODISHA,20.1,10,101,LE,854.6,666.8,28,E
2,MADHYA PRADESH,16,12.8,25,E,454,560,-19,N
3,GUJARAT,0.1,8.7,-99,LD,484.7,450.5,8,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0.2,23.1,-99,LD,2515.3,1486.9,69,LE
5,GOA,26.1,32.8,-21,D,1455,2241.3,-35,D
6,MAHARASHTRA,4.2,10,-58,D,641.3,632.7,1,N
7,CHHATTISGARH,26.7,12.1,121,LE,650.1,676.8,-4,N
1,ANDAMAN & NICOBAR ISLANDS (UT),11.4,13.1,-13,N,990,919.5,8,N
2,ANDHRA PRADESH,4,4.8,-17,N,177.2,265.3,-33,D
3,TELANGANA,5.1,7.4,-31,D,398.6,418.3,-5,N
4,TAMILNADU,3.2,2.9,10,N,123.8,140.4,-12,N
5,PUDUCHERRY (UT),8.9,5.6,59,E,130.6,192.9,-32,D
6,KARNATAKA,7.3,7.9,-7,N,430.8,527.5,-18,N
7,KERALA,14,19.1,-27,D,1161.1,1462.5,-21,D
8,LAKSHADWEEP (UT),0.5,7.1,-92,LD,520.6,687.2,-24,D
