S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,4.3,16,-73%,LD,864,1494,-42%,D
2,ASSAM,1.7,10.1,-83%,LD,1002.6,1336.9,-25%,D
3,MEGHALAYA,4.1,15.6,-74%,LD,1008.1,2453.7,-59%,D
4,NAGALAND,1.7,6.5,-73%,LD,1036,936.1,11%,N
5,MANIPUR,0.1,4.4,-97%,LD,544,940.6,-42%,D
6,MIZORAM,2.4,14.3,-83%,LD,1223.1,1439.9,-15%,N
7,TRIPURA,0,10.3,-99%,LD,1089.3,1261.8,-14%,N
8,SIKKIM,34.8,13.9,150%,LE,1440.2,1506.4,-4%,N
9,WEST BENGAL,5,11.1,-55%,D,1205.2,1189.6,1%,N
10,JHARKHAND,1.6,6.5,-75%,LD,854.3,913.4,-6%,N
11,BIHAR,1,7.6,-87%,LD,570.3,883,-35%,D
1,UTTAR PRADESH,0.6,6.4,-91%,LD,668,685.7,-3%,N
2,UTTARAKHAND,9.1,6.2,46%,E,1145,1096.5,4%,N
3,HARYANA,3.4,2.3,47%,E,310.5,401.1,-23%,D
4,CHANDIGARH (UT),58,2.4,2317%,LE,715.4,812.7,-12%,N
5,DELHI (UT),0,2.8,-100%,NR,562.6,512.8,10%,N
6,PUNJAB,2.1,1.7,24%,E,247,409.7,-40%,D
7,HIMACHAL PRADESH,6.2,4.1,51%,E,617.1,686.5,-10%,N
8,JAMMU & KASHMIR (UT),1.2,3.1,-62%,LD,501.8,510.7,-2%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.4,19.1,158%,LE
10,RAJASTHAN,2.9,1.5,97%,LE,311.9,416,-25%,D
1,ODISHA,5.2,7.6,-31%,D,1265.8,1044.9,21%,E
2,MADHYA PRADESH,10,6.4,56%,E,833.4,886.6,-6%,N
3,GUJARAT,17.9,4.2,325%,LE,552.2,660.5,-16%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),93.3,7.8,1096%,LE,2895.7,2041.2,42%,E
5,GOA,0,9.5,-100%,NR,1873.7,2853.8,-34%,D
6,MAHARASHTRA,7.1,5.7,24%,E,764.9,905.7,-16%,N
7,CHHATTISGARH,2.8,6.7,-59%,D,1013,1046.2,-3%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.2,13.7,-91%,LD,1484.3,1394.4,6%,N
2,ANDHRA PRADESH,0.9,4.9,-81%,LD,246.6,431.9,-43%,D
3,TELANGANA,8.5,4.3,97%,LE,519.2,647.7,-20%,D
4,TAMILNADU,3.2,4.7,-33%,D,191.9,260.1,-26%,D
5,PUDUCHERRY (UT),0,3.6,-100%,NR,210.6,343.7,-39%,D
6,KARNATAKA,0.1,5,-98%,LD,525.9,740,-29%,D
7,KERALA,0.1,8.1,-98%,LD,1379,1880,-27%,D
8,LAKSHADWEEP (UT),1.6,6,-73%,LD,654.2,946.1,-31%,D
