S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,6,8.3,-28%,D,462.7,774,-40%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,6.3,13.5,-53%,D,1931.5,1399.1,38%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,7.8,13.8,-44%,D,997.2,1177.4,-15%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,6.1,-100%,NR,139.6,1299.1,-89%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0.5,8.4,-94%,LD,939.6,1065.6,-12%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,3.8,,ND,,907.6,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,17,8.8,93%,LE,1094.3,944.5,16%,N,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,24,-100%,NR,1860.7,2522.3,-26%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,1.5,8.9,-83%,LD,456.8,887.1,-49%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0,8.8,-100%,NR,792.5,1249,-37%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,9.1,,ND,,1835.4,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0.9,5.9,-85%,LD,355.8,597,-40%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,0.5,10.9,-95%,LD,1374.6,1726.4,-20%,D,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,3.1,4,-22%,D,305.1,773.5,-61%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,0,13.7,-100%,NR,1624,1573.1,3%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,1.1,11.3,-90%,LD,937.9,1308.6,-28%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0,8.1,-100%,NR,277.3,741.1,-63%,LD,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,15.4,10.1,52%,E,418.7,1352.6,-69%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0,10.1,-100%,NR,548.3,1569.4,-65%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,0,6.6,-100%,NR,973.5,1696.1,-43%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,0,6.2,-100%,NR,999,1237.6,-19%,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,0,6.6,-100%,NR,1102,1696.1,-35%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,3.4,,ND,,1190.9,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,16.1,-100%,NR,789.6,1914.4,-59%,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,22.9,11.2,104%,LE,1414.7,1443.9,-2%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,10.3,-100%,NR,1085.5,816.6,33%,E,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,0,8.9,-100%,NR,1087.9,1921.2,-43%,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,3.5,6.7,-48%,D,603.4,1043.3,-42%,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,0,9,-100%,NR,1857.4,1622.6,14%,N,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0.5,10.3,-95%,LD,1066.7,1709.4,-38%,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,0,10.8,-100%,NR,953.4,1178.5,-19%,N,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,39.2,5,683%,LE,422.6,818.9,-48%,D,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,0.4,12,-97%,LD,693,1627.3,-57%,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,11.8,6.8,74%,LE,741.9,824.5,-10%,N,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,36.5,8.7,319%,LE,1029.4,1218.4,-16%,N,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,2.1,5,-58%,D,356.3,595.7,-40%,D,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,16.3,8,104%,LE,713.8,982,-27%,D,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,0.9,4.8,-82%,LD,672.9,847.2,-21%,D,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,4.5,7.3,-38%,D,482,1048,-54%,D,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,16.9,6.6,156%,LE,500.5,638.5,-22%,D,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,12.4,15.8,-22%,D,2005.4,2190.6,-8%,N,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,3.1,11.8,-74%,LD,1883.7,1615.7,17%,N,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,,8,,ND,966,982,-2%,N,EXACT,1.0
25,ASSAM,MORIGAON,26.282,92.284,5.9,6.6,-11%,N,557.5,891.7,-37%,D,EXACT,1.0
26,ASSAM,NAGAON,26.362,92.754,1.8,10,-82%,LD,360.8,822.4,-56%,D,EXACT,1.0
27,ASSAM,NALBARI,26.371,91.382,0.7,7.4,-91%,LD,506.3,1294.6,-61%,LD,EXACT,1.0
28,ASSAM,SIBSAGAR,26.97,94.66,0,9.5,-100%,NR,666.8,946.9,-30%,D,EXACT,1.0
29,ASSAM,SONITPUR,26.757,92.699,10.2,8.4,21%,E,885.8,943.1,-6%,N,EXACT,1.0
30,ASSAM,SOUTH SALMARA,25.918,89.962,,10.3,,ND,,1709.4,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,26,12.6,106%,LE,1368.8,1745.1,-22%,D,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,0,5.9,-100%,NR,972.3,1087.8,-11%,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,0,13.7,-100%,NR,1124.2,1140.5,-1%,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,0.3,7,-95%,LD,497.2,1174.7,-58%,D,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,8.6,5.6,54%,E,479.2,550.8,-13%,N,EXACT,1.0
1,MEGHALAYA,EAST GARO HILLS,25.624,90.631,1.2,8.5,-86%,LD,584.4,1505.7,-61%,LD,EXACT,1.0
2,MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469,11.4,17.2,-34%,D,1329.6,3663.5,-64%,LD,EXACT,1.0
3,MEGHALAYA,EAST KHASI HILLS,25.381,91.797,13.8,29.9,-54%,D,1801.4,3663.8,-51%,D,EXACT,1.0
4,MEGHALAYA,NORTH GARO HILLS,25.856,90.665,0.3,16.2,-98%,LD,480.7,1454.5,-67%,LD,EXACT,1.0
5,MEGHALAYA,RI BHOI,25.871,91.886,7,13.7,-49%,D,633.1,1187.8,-47%,D,EXACT,1.0
6,MEGHALAYA,SOUTH GARO HILLS,25.302,90.582,0.5,16.2,-97%,LD,766.4,1454.5,-47%,D,EXACT,1.0
7,MEGHALAYA,SOUTH WEST GARO HILLS,25.446,89.993,0.1,16.2,-99%,LD,499.1,1454.5,-66%,LD,EXACT,1.0
8,MEGHALAYA,SOUTH WEST KHASI HILLS,25.321,91.243,3.2,16.2,-80%,LD,2458.7,1454.5,69%,LE,EXACT,1.0
9,MEGHALAYA,WEST GARO HILLS,25.653,90.196,2.7,12.1,-77%,LD,412.5,1470,-72%,LD,EXACT,1.0
10,MEGHALAYA,WEST JAINTIA HILLS,25.483,92.285,10.3,17.2,-40%,D,781.9,3663.5,-79%,LD,EXACT,1.0
11,MEGHALAYA,WEST KHASI HILLS,25.605,91.263,19.2,14.1,36%,E,702,2171.9,-68%,LD,EXACT,1.0
1,MIZORAM,AIZAWL,23.836,92.824,18,10.8,67%,LE,1025.2,1223,-16%,N,EXACT,1.0
2,MIZORAM,CHAMPHAI,23.425,93.304,0.7,8.7,-92%,LD,814.3,1011.9,-20%,D,EXACT,1.0
3,MIZORAM,KOLASIB,24.158,92.727,49.4,16.1,207%,LE,1238,1338.5,-8%,N,EXACT,1.0
4,MIZORAM,LAWNGTLAI,22.434,92.769,24.3,10.7,127%,LE,1219.1,1324.2,-8%,N,EXACT,1.0
5,MIZORAM,LUNGLEI,22.968,92.643,20.2,14.3,41%,E,1086.8,1350.1,-20%,D,EXACT,1.0
6,MIZORAM,MAMIT,23.753,92.463,31.2,15.4,102%,LE,707.7,1208.5,-41%,D,EXACT,1.0
7,MIZORAM,SAIHA,22.291,93.001,11.8,13.5,-12%,N,990.2,1356.2,-27%,D,EXACT,1.0
8,MIZORAM,SERCHHIP,23.299,92.934,17.4,7.7,126%,LE,1042.1,1164.5,-11%,N,EXACT,1.0
1,MANIPUR,BISHNUPUR,24.538,93.799,0,10.8,-100%,NR,362.5,899.6,-60%,LD,EXACT,1.0
2,MANIPUR,CHANDEL,24.14,94.014,0.2,10.8,-99%,LD,418.9,899.6,-53%,D,EXACT,1.0
3,MANIPUR,CHURACHANDPUR,24.28,93.603,0,10.8,-100%,NR,197.5,899.6,-78%,LD,EXACT,1.0
