S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,4.1,16.7,-75,LD,416.8,864.8,-52,D
2,ASSAM,10.2,14.6,-30,D,558.1,762,-27,D
3,MEGHALAYA,8.6,28,-69,LD,653.4,1415.4,-54,D
4,NAGALAND,33.5,9.4,256,LE,304.6,485.9,-37,D
5,MANIPUR,13.9,6.2,125,LE,211.5,507,-58,D
6,MIZORAM,4,13.9,-71,LD,584.1,736.4,-21,D
7,TRIPURA,14.2,11.5,23,E,667.7,712.5,-6,N
8,SIKKIM,12.3,14.9,-18,N,871.2,793.1,10,N
9,WEST BENGAL,14.2,14.5,-2,N,622.6,602.8,3,N
10,JHARKHAND,10.3,11.1,-8,N,289.8,426,-32,D
11,BIHAR,6.1,8.2,-26,D,266.8,422.6,-37,D
1,UTTAR PRADESH,2.1,6.3,-66,LD,234.8,289.5,-19,N
2,UTTARAKHAND,5.6,13.4,-58,D,454.6,479.5,-5,N
3,HARYANA,1.6,5,-67,LD,128.9,166.3,-23,D
4,CHANDIGARH (UT),3.6,7.9,-55,D,247.5,351.9,-30,D
5,DELHI (UT),2,6.5,-70,LD,180.5,204.3,-12,N
6,PUNJAB,9.8,6.5,50,E,115.2,174.8,-34,D
7,HIMACHAL PRADESH,8.3,9.8,-16,N,258.6,285.2,-9,N
8,JAMMU & KASHMIR (UT),28.3,6.9,310,LE,249.2,205.3,21,E
9,LADAKH (UT),2,0,19526,LE,26.3,9.9,166,LE
10,RAJASTHAN,16.2,6,170,LE,135.7,167.4,-19,N
1,ODISHA,11.1,9.8,13,N,535.8,458.7,17,N
2,MADHYA PRADESH,17.2,11.9,44,E,324.6,359.6,-10,N
3,GUJARAT,31.3,8.6,264,LE,236.7,294.4,-20,D
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),641.3,35.4,1712,LE,1967.9,1039.4,89,LE
5,GOA,48.4,30.4,59,E,1084.9,1699,-36,D
6,MAHARASHTRA,24.8,11.6,114,LE,427.5,446.4,-4,N
7,CHHATTISGARH,14.8,13.3,11,N,395.4,464.7,-15,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.5,13,-89,LD,770.7,700.4,10,N
2,ANDHRA PRADESH,0.8,5.2,-84,LD,126.4,189.4,-33,D
3,TELANGANA,4,9.6,-58,D,216.2,286.5,-25,D
4,TAMILNADU,0.4,2.3,-81,LD,90.8,99.9,-9,N
5,PUDUCHERRY (UT),1.9,4.6,-59,D,63.3,130.2,-51,D
6,KARNATAKA,8.9,8.7,2,N,291.8,388.3,-25,D
7,KERALA,7.7,17.8,-57,D,738.8,1142,-35,D
8,LAKSHADWEEP (UT),0,8.8,-100,NR,381.4,560.5,-32,D
