S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.8,14.3,-94,LD,556.2,913.3,-39,D
2,ASSAM,7.6,13.3,-43,D,572.1,801.7,-29,D
3,MEGHALAYA,2.1,27.5,-92,LD,663.1,1493.7,-56,D
4,NAGALAND,2.8,9.7,-71,LD,479.1,515.2,-7,N
5,MANIPUR,1.1,11.9,-91,LD,322.3,537.7,-40,D
6,MIZORAM,6,14.4,-59,D,603.3,775.5,-22,D
7,TRIPURA,2.1,9.8,-79,LD,679.6,741.2,-8,N
8,SIKKIM,0.8,15.5,-95,LD,888,840,6,N
9,WEST BENGAL,3,13,-77,LD,656.6,640.6,2,N
10,JHARKHAND,1.6,11.6,-86,LD,302.1,455.9,-34,D
11,BIHAR,0,9.4,-99,LD,276.5,451.7,-39,D
1,UTTAR PRADESH,1.7,9.1,-82,LD,243.6,313.2,-22,D
2,UTTARAKHAND,5.4,15,-64,LD,484.6,522.1,-7,N
3,HARYANA,1.8,4.5,-60,LD,134.6,179.9,-25,D
4,CHANDIGARH (UT),0,9.9,-100,NR,247.8,375.2,-34,D
5,DELHI (UT),0.3,4.9,-94,LD,184.7,220,-16,N
6,PUNJAB,4.2,4.2,-1,N,128.5,189,-32,D
7,HIMACHAL PRADESH,8.1,9.6,-15,N,291.4,312,-7,N
8,JAMMU & KASHMIR (UT),14.8,6.6,125,LE,292.9,226.2,29,E
9,LADAKH (UT),0.4,0.3,33,E,31.4,10.5,199,LE
10,RAJASTHAN,6.3,6.8,-7,N,161,187.6,-14,N
1,ODISHA,30.6,12.2,151,LE,578.2,489,18,N
2,MADHYA PRADESH,2.4,12.4,-81,LD,334.5,395.2,-15,N
3,GUJARAT,9.3,8,16,N,365.1,321.8,13,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),51.6,20.9,147,LE,2271.2,1110.9,104,LE
5,GOA,13.4,32.7,-59,D,1143.3,1805.6,-37,D
6,MAHARASHTRA,7.5,10.6,-29,D,462,479.6,-4,N
7,CHHATTISGARH,5.1,11.7,-56,D,404.5,499.8,-19,N
1,ANDAMAN & NICOBAR ISLANDS (UT),8.5,10.3,-17,N,783.3,739.5,6,N
2,ANDHRA PRADESH,0.4,4.4,-91,LD,127.4,203.7,-37,D
3,TELANGANA,1.9,8.7,-79,LD,218.7,313.9,-30,D
4,TAMILNADU,0.1,2.7,-97,LD,91.4,108.6,-16,N
5,PUDUCHERRY (UT),0.1,3.1,-97,LD,64.7,141.7,-54,D
6,KARNATAKA,5.5,8.3,-34,D,311.5,413.8,-25,D
7,KERALA,5.4,21.4,-75,LD,764.5,1203.9,-37,D
8,LAKSHADWEEP (UT),0,10.4,-100,NR,382,592.5,-36,D
