S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,5.2,8,-35,D,251.2,563.3,-55,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,24.2,14.5,67,LE,1346.4,969.4,39,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,3.6,10.8,-67,LD,675.6,842.3,-20,D,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,12.1,-100,NR,114.8,974.9,-88,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,35.5,7.3,386,LE,676,797.4,-15,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,6.3,,ND,,759.9,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,38,7.9,380,LE,913.5,725.2,26,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,82.1,12.2,573,LE,1592.8,1937.2,-18,N,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,37.2,10.1,268,LE,337.4,689,-51,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,30.9,8.8,252,LE,629.9,947.1,-33,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,13.7,,ND,,1440,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0.3,4.6,-93,LD,232.4,415.2,-44,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,14.6,24,-39,D,1112.6,1353.4,-18,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0,10.2,-100,NR,176.4,561.3,-69,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,11,14.2,-23,D,1311.5,1197.5,10,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,30.9,6.6,368,LE,798.1,1020.8,-22,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,34.6,9.4,268,LE,262.9,563.1,-53,D,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,0.7,20.3,-96,LD,273.7,995.9,-73,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,22.5,8.7,159,LE,434.8,1205.7,-64,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,4,11.8,-66,LD,804,1360.1,-41,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,2.3,8.5,-73,LD,829.3,995.9,-17,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,6.3,11.8,-47,D,971.2,1360.1,-29,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,25.2,,ND,,876.2,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,,15,,ND,675.6,1520.1,-56,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,7,16.4,-57,D,1002.4,1054.6,-5,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,16.5,16.7,-1,N,813.5,548.1,48,E,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,,13.4,,ND,837.8,1477.8,-43,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,0,8.7,-100,NR,398.9,799.8,-50,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,26.6,9.6,177,LE,1407.3,1213.8,16,N,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0,14.8,-100,NR,850.1,1329.3,-36,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,14.8,7.2,106,LE,763.8,859.5,-11,N,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,7.5,7,7,N,267.7,646.3,-59,D,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,2.8,13.5,-79,LD,536.3,1253.5,-57,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,0.5,8.3,-94,LD,480.9,588.5,-18,N,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,3.1,13.3,-77,LD,703.7,888,-21,D,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,0,8.4,-100,NR,237.6,411.6,-42,D,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,1.8,11.4,-84,LD,508.9,700,-27,D,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,2,9.4,-79,LD,483.5,641.5,-25,D,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,0.8,13.6,-94,LD,278.2,787.8,-65,LD,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,0,8.6,-100,NR,284.5,456.8,-38,D,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,28,23.1,21,E,1533.7,1685.6,-9,N,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,36.8,14.1,161,LE,1439.8,1182.8,22,E,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,,11.4,,ND,949,700,36,E,EXACT,1.0
25,ASSAM,MORIGAON,26.282,92.284,4.1,10.7,-61,LD,330.1,636.7,-48,D,EXACT,1.0
26,ASSAM,NAGAON,26.362,92.754,9.8,11.4,-14,N,257.9,583.4,-56,D,EXACT,1.0
27,ASSAM,NALBARI,26.371,91.382,0.7,12.5,-94,LD,389.2,995.6,-61,LD,EXACT,1.0
28,ASSAM,SIBSAGAR,26.97,94.66,3.1,11.3,-72,LD,461.6,680.3,-32,D,EXACT,1.0
29,ASSAM,SONITPUR,26.757,92.699,6.8,6.2,9,N,602.5,686.8,-12,N,EXACT,1.0
30,ASSAM,SOUTH SALMARA,25.918,89.962,,14.8,,ND,,1329.3,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,9.1,20.3,-55,D,1062.8,1284.6,-17,N,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,0.5,8.5,-94,LD,858.3,884.9,-3,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,22.7,8.6,164,LE,844,838.3,1,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,0,7.8,-100,NR,339.6,897.3,-62,LD,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,0,10.8,-100,NR,362.2,406.3,-11,N,EXACT,1.0
1,MEGHALAYA,EAST GARO HILLS,25.624,90.631,2.6,10.9,-76,LD,486.5,1136.9,-57,D,EXACT,1.0
2,MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469,21,41,-49,D,1003.8,2856.6,-65,LD,EXACT,1.0
3,MEGHALAYA,EAST KHASI HILLS,25.381,91.797,21.3,31,-31,D,1440.5,2854.9,-50,D,EXACT,1.0
4,MEGHALAYA,NORTH GARO HILLS,25.856,90.665,4.6,8.7,-47,D,388,1072.7,-64,LD,EXACT,1.0
5,MEGHALAYA,RI BHOI,25.871,91.886,1.8,14.6,-88,LD,444.9,853.8,-48,D,EXACT,1.0
6,MEGHALAYA,SOUTH GARO HILLS,25.302,90.582,16,8.7,84,LE,547,1072.7,-49,D,EXACT,1.0
7,MEGHALAYA,SOUTH WEST GARO HILLS,25.446,89.993,0,8.7,-100,NR,486.6,1072.7,-55,D,EXACT,1.0
8,MEGHALAYA,SOUTH WEST KHASI HILLS,25.321,91.243,28.8,8.7,231,LE,1968.2,1072.7,83,LE,EXACT,1.0
9,MEGHALAYA,WEST GARO HILLS,25.653,90.196,2.6,10.9,-76,LD,342.4,1116.6,-69,LD,EXACT,1.0
10,MEGHALAYA,WEST JAINTIA HILLS,25.483,92.285,14.5,41,-65,LD,633.1,2856.6,-78,LD,EXACT,1.0
11,MEGHALAYA,WEST KHASI HILLS,25.605,91.263,3.6,14,-74,LD,494,1665.7,-70,LD,EXACT,1.0
1,MIZORAM,AIZAWL,23.836,92.824,7,13.3,-47,D,690.9,839.6,-18,N,EXACT,1.0
2,MIZORAM,CHAMPHAI,23.425,93.304,0.5,13.5,-96,LD,601.1,700.8,-14,N,EXACT,1.0
3,MIZORAM,KOLASIB,24.158,92.727,2.2,15.9,-86,LD,691.7,904.1,-23,D,EXACT,1.0
4,MIZORAM,LAWNGTLAI,22.434,92.769,6,16.4,-63,LD,782.4,970.5,-19,N,EXACT,1.0
5,MIZORAM,LUNGLEI,22.968,92.643,4.1,14.9,-72,LD,728.8,950.7,-23,D,EXACT,1.0
6,MIZORAM,MAMIT,23.753,92.463,0,17.1,-100,NR,433.2,818.5,-47,D,EXACT,1.0
7,MIZORAM,SAIHA,22.291,93.001,0,11.5,-100,NR,630.1,981.9,-36,D,EXACT,1.0
8,MIZORAM,SERCHHIP,23.299,92.934,2.1,14.3,-85,LD,830.4,857.8,-3,N,EXACT,1.0
1,MANIPUR,BISHNUPUR,24.538,93.799,0,10.5,-100,NR,299.1,654.1,-54,D,EXACT,1.0
2,MANIPUR,CHANDEL,24.14,94.014,0,10.5,-100,NR,361.3,654.1,-45,D,EXACT,1.0
3,MANIPUR,CHURACHANDPUR,24.28,93.603,0,10.5,-100,NR,142,654.1,-78,LD,EXACT,1.0
4,MANIPUR,IMPHAL EAST,24.826,94.009,0,3.9,-100,NR,350,431.5,-19,N,EXACT,1.0
5,MANIPUR,IMPHAL WEST,24.772,93.868,11.2,13.4,-16,N,490.1,966.1,-49,D,EXACT,1.0
6,MANIPUR,SENAPATI,25.398,94.127,0,7.2,-100,NR,438.9,442.9,-1,N,EXACT,1.0
7,MANIPUR,TAMENGLONG,25.047,93.556,20.7,24,-14,N,1175.7,2593.6,-55,D,EXACT,1.0
8,MANIPUR,THOUBAL,24.621,94.012,0,3.9,-100,NR,167.1,431.5,-61,LD,EXACT,1.0
9,MANIPUR,UKHRUL,25.23,94.427,0,11.5,-100,NR,511.1,647.6,-21,D,EXACT,1.0
1,TRIPURA,DHALAI,23.839,91.92,0,13.2,-100,NR,735.9,775,-5,N,EXACT,1.0
2,TRIPURA,GOMATI,23.53,91.619,0.2,13.3,-98,LD,619.6,854.1,-27,D,EXACT,1.0
3,TRIPURA,KHOWAI,23.947,91.655,2.5,14,-82,LD,772.2,780.7,-1,N,EXACT,1.0
4,TRIPURA,NORTH TRIPURA,24.095,92.209,2.8,12.2,-77,LD,668.8,767.8,-13,N,EXACT,1.0
