S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,4.2,9.8,-57%,D,482,830.7,-42%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,11.3,15.5,-27%,D,1952.8,1516.3,29%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,7,12.5,-44%,D,1026.1,1272.1,-19%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,9.5,-100%,NR,165.8,1365.5,-88%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,26.5,13.2,100%,LE,993.6,1138.8,-13%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,4.6,,ND,,934.1,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,9.7,-100%,NR,1201.6,1011.9,19%,N,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,10.9,26.7,-59%,D,1927.7,2687.6,-28%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,0.3,8.6,-97%,LD,523.9,944.3,-45%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,41.8,8.9,370%,LE,850.1,1310.9,-35%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,11.5,,ND,,1939.7,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0,4.2,-100%,NR,393.2,634.9,-38%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,11.4,15.4,-26%,D,1514.2,1823.8,-17%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0.6,5.6,-89%,LD,308.1,828.4,-63%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,0,18.2,-100%,NR,1663.5,1666.7,0%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,5.5,20.1,-72%,LD,977.2,1412.5,-31%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0,6,-100%,NR,321.1,787.2,-59%,D,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,0.3,12.2,-97%,LD,474.1,1434.9,-67%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0.2,11.3,-99%,LD,572.5,1658,-65%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,0,16.2,-100%,NR,1023.5,1777.8,-42%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,5.8,10.1,-42%,D,1099.2,1299.8,-15%,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,1.1,16.2,-93%,LD,1155.2,1777.8,-35%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,10.8,,ND,,1277.5,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,14.2,-100%,NR,846.2,2001.3,-58%,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,4,17,-77%,LD,1470.7,1550.5,-5%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,1.2,-100%,NR,1121,876.3,28%,E,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,1.9,19.7,-90%,LD,1168.1,2028.7,-42%,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,0,8.2,-100%,NR,645.3,1099.1,-41%,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,11.2,8.5,32%,E,1986.2,1720.8,15%,N,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0.1,8.6,-99%,LD,1158,1793.8,-35%,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,0.1,12.4,-99%,LD,1027.1,1258,-18%,N,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,4,9.1,-56%,D,523.3,866.1,-40%,D,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,2.5,9.4,-74%,LD,924.9,1710,-46%,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,29.3,9.6,205%,LE,815.9,883.8,-8%,N,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,0.5,8.9,-95%,LD,1141.1,1286.3,-11%,N,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,0.3,8,-97%,LD,370.8,638.4,-42%,D,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,23.4,13.7,71%,LE,756.2,1061.8,-29%,D,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,3.1,7.7,-60%,LD,752,901.1,-17%,N,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,24.6,6.8,261%,LE,590.1,1101.1,-46%,D,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,7.1,7.1,0%,N,578.5,684.5,-15%,N,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,16.4,12.1,35%,E,2089.3,2297.9,-9%,N,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,28.9,15.5,86%,LE,2046.7,1719.4,19%,N,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,,13.7,,ND,966,1061.8,-9%,N,EXACT,1.0
25,ASSAM,MORIGAON,26.282,92.284,0,9.3,-100%,NR,604,955.1,-37%,D,EXACT,1.0
26,ASSAM,NAGAON,26.362,92.754,6.3,8.3,-25%,D,467.3,875.5,-47%,D,EXACT,1.0
27,ASSAM,NALBARI,26.371,91.382,1,10.2,-90%,LD,546.1,1358.2,-60%,LD,EXACT,1.0
28,ASSAM,SIBSAGAR,26.97,94.66,10.5,5.9,77%,LE,715.6,1004.6,-29%,D,EXACT,1.0
29,ASSAM,SONITPUR,26.757,92.699,0.1,7.5,-99%,LD,994,1001.8,-1%,N,EXACT,1.0
30,ASSAM,SOUTH SALMARA,25.918,89.962,,8.6,,ND,,1793.8,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,16.7,19.4,-14%,N,1438.7,1847.3,-22%,D,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,12.8,11.5,11%,N,1079.2,1142.4,-6%,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,9.8,10.7,-9%,N,1147.8,1228.5,-7%,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,0.1,7.7,-99%,LD,524.1,1232.7,-57%,D,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,0,6.2,-100%,NR,526.2,586.4,-10%,N,EXACT,1.0
