S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,2.6,14.9,-82,LD,554.8,899,-38,D
2,ASSAM,0.6,12.9,-95,LD,565.2,788.4,-28,D
3,MEGHALAYA,1.7,27.2,-94,LD,661,1466.2,-55,D
4,NAGALAND,3.5,9.3,-62,LD,476.5,505.5,-6,N
5,MANIPUR,1.3,9.4,-86,LD,321.5,525.8,-39,D
6,MIZORAM,5.2,12.8,-59,D,597.3,761.1,-22,D
7,TRIPURA,2.2,10.3,-79,LD,677.5,731.4,-7,N
8,SIKKIM,7.9,16.2,-51,D,888,824.5,8,N
9,WEST BENGAL,9.6,12.3,-22,D,653.5,627.6,4,N
10,JHARKHAND,7.2,9.6,-24,D,300.6,444.3,-32,D
11,BIHAR,3.8,10.1,-63,LD,276.5,442.3,-37,D
1,UTTAR PRADESH,2.2,8.1,-72,LD,242.2,304.1,-20,D
2,UTTARAKHAND,10.2,15.4,-34,D,479.2,507.1,-6,N
3,HARYANA,2.4,5.1,-53,D,132.7,175.4,-24,D
4,CHANDIGARH (UT),0.3,5.7,-95,LD,247.8,365.3,-32,D
5,DELHI (UT),2.7,5.8,-53,D,184.4,215.1,-14,N
6,PUNJAB,3.3,4.5,-27,D,124.4,184.8,-33,D
7,HIMACHAL PRADESH,11.8,8.5,39,E,283.3,302.4,-6,N
8,JAMMU & KASHMIR (UT),6.3,6.9,-9,N,278.4,219.6,27,E
9,LADAKH (UT),2,0.2,895,LE,31.1,10.2,205,LE
10,RAJASTHAN,8.3,6.8,22,E,154.8,180.8,-14,N
1,ODISHA,6.8,10.2,-34,D,547.4,476.8,15,N
2,MADHYA PRADESH,2.1,11.9,-82,LD,332.1,382.8,-13,N
3,GUJARAT,48.1,9.9,386,LE,355.8,313.8,13,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),54.2,14.3,279,LE,2219.6,1090,104,LE
5,GOA,33.9,37.5,-10,N,1129.9,1772.9,-36,D
6,MAHARASHTRA,10.4,10.6,-2,N,454.4,469,-3,N
7,CHHATTISGARH,1.7,11.1,-85,LD,399.4,488.1,-18,N
1,ANDAMAN & NICOBAR ISLANDS (UT),2.7,15.3,-83,LD,774.7,729.2,6,N
2,ANDHRA PRADESH,0.1,4.7,-98,LD,127,199.3,-36,D
3,TELANGANA,0.1,7.8,-98,LD,216.5,305.2,-29,D
4,TAMILNADU,0.3,2.9,-89,LD,91.4,105.9,-14,N
5,PUDUCHERRY (UT),0.2,3.6,-94,LD,64.6,138.6,-53,D
6,KARNATAKA,5.8,8.7,-34,D,306.2,405.5,-24,D
7,KERALA,5.6,21,-73,LD,759,1182.5,-36,D
8,LAKSHADWEEP (UT),0.5,9,-94,LD,382,582.1,-34,D
