S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,2.4,9.9,-76%,LD,434.7,706.2,-38%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,68.1,12.8,432%,LE,1699.8,1256.6,35%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,7.4,13.4,-45%,D,902.3,1072.2,-16%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,13.7,-100%,NR,124.2,1202.5,-90%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0.3,9.7,-97%,LD,852.4,983.5,-13%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,2.7,,ND,,876.5,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,8.6,-100%,NR,1048.9,870.3,21%,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,25.4,-100%,NR,1815.3,2331.9,-22%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,5.3,5.9,-10%,N,438.9,833.5,-47%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0.1,11.4,-99%,LD,738.2,1164.4,-37%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,13.1,,ND,,1709,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,9.2,3.5,162%,LE,348.1,554.4,-37%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,0,13,-100%,NR,1338.6,1606.3,-17%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,4.9,11.3,-57%,D,275.1,723.5,-62%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,0.5,15.9,-97%,LD,1575.3,1448.6,9%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,0.1,14.9,-99%,LD,895.9,1192.6,-25%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,1.2,5.9,-80%,LD,274.9,677,-59%,D,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,6.9,16.4,-58%,D,379.6,1255.8,-70%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0,10.4,-100%,NR,521.3,1459.3,-64%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,34.5,15.3,125%,LE,925.5,1586.7,-42%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,48.7,11.8,313%,LE,985.7,1160.3,-15%,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,10.8,15.3,-29%,D,1086.9,1586.7,-32%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,4.9,,ND,,1097.5,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,12.6,17.2,-27%,D,787.3,1797.5,-56%,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,35.4,15.3,131%,LE,1305.8,1325.9,-2%,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0.5,7.9,-94%,LD,1016,737.1,38%,E,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,35.4,20.4,74%,LE,1082.7,1762.2,-39%,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,33.6,15.8,112%,LE,587.9,976.1,-40%,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,5.8,14.1,-59%,D,1801.9,1497.2,20%,E,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0,13,-100%,NR,1053.5,1588.1,-34%,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,17.5,14.1,24%,E,905,1085.3,-17%,N,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,18.1,10.1,80%,LE,353.1,773.4,-54%,D,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,8.9,13.7,-35%,D,685.6,1506.5,-54%,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,15.8,8.4,88%,LE,683.4,755.7,-10%,N,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,64.6,15,331%,LE,974.9,1135.3,-14%,N,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,9.9,5.7,74%,LE,350.7,537.1,-35%,D,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,0.2,11.2,-99%,LD,665.5,900.8,-26%,D,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,15.4,6.2,148%,LE,632.8,787.5,-20%,D,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,54.3,17.3,214%,LE,441.7,975.3,-55%,D,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,33.1,8.8,276%,LE,443.8,585.9,-24%,D,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,16.4,14.6,13%,N,1972.3,2044.7,-4%,N,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,1.4,17.4,-92%,LD,1768.2,1477.4,20%,E,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,,11.2,,ND,949,900.8,5%,N,EXACT,1.0
25,ASSAM,MORIGAON,26.282,92.284,7.8,11.7,-33%,D,508.2,824.9,-38%,D,EXACT,1.0
26,ASSAM,NAGAON,26.362,92.754,16.8,9.2,83%,LE,353.1,745.3,-53%,D,EXACT,1.0
27,ASSAM,NALBARI,26.371,91.382,59.8,18.2,228%,LE,487.4,1190.8,-59%,D,EXACT,1.0
28,ASSAM,SIBSAGAR,26.97,94.66,0,7.6,-100%,NR,618.2,875.2,-29%,D,EXACT,1.0
29,ASSAM,SONITPUR,26.757,92.699,4.3,7.3,-42%,D,833.4,869.1,-4%,N,EXACT,1.0
30,ASSAM,SOUTH SALMARA,25.918,89.962,,13,,ND,,1588.1,,ND,EXACT,1.0
31,ASSAM,SRIBHUMI,24.868637,92.360548,9,12.2,-26%,D,1303.3,1637.5,-20%,D,EXACT,1.0
32,ASSAM,TAMULPUR,26.69,91.1,59.2,5.2,1038%,LE,960.9,1030.8,-7%,N,EXACT,1.0
33,ASSAM,TINSUKIA,27.58,95.62,0,11.7,-100%,NR,1015,1053,-4%,N,EXACT,1.0
34,ASSAM,UDALGURI,26.73,92.032,0.7,11.1,-94%,LD,494.9,1088.4,-55%,D,EXACT,1.0
35,ASSAM,WEST KARBI ANGLONG,25.85,92.533,0,7.8,-100%,NR,456.4,512.3,-11%,N,EXACT,1.0
1,MEGHALAYA,EAST GARO HILLS,25.624,90.631,0.7,10.6,-94%,LD,565.8,1406.9,-60%,LD,EXACT,1.0
2,MEGHALAYA,EAST JAINTIA HILLS,25.258,92.469,5.8,24.4,-76%,LD,1247,3384.4,-63%,LD,EXACT,1.0
3,MEGHALAYA,EAST KHASI HILLS,25.381,91.797,7.2,36.9,-80%,LD,1704.4,3426.8,-50%,D,EXACT,1.0
