S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,7.2,9.9,-27%,D,845.8,1423.2,-41%,D
2,ASSAM,13.2,9.5,39%,E,981.3,1286.1,-24%,D
3,MEGHALAYA,4.9,17.2,-72%,LD,983.7,2371.9,-59%,D
4,NAGALAND,8.7,6.7,29%,E,1020.3,897.1,14%,N
5,MANIPUR,2.2,7.9,-72%,LD,532.3,905.9,-41%,D
6,MIZORAM,37.9,14.2,167%,LE,1195.7,1378.4,-13%,N
7,TRIPURA,19.1,8.5,125%,LE,1060,1214.3,-13%,N
8,SIKKIM,11.1,10.2,9%,N,1373.6,1442.3,-5%,N
9,WEST BENGAL,11.9,11.9,0%,N,1158.1,1139.5,2%,N
10,JHARKHAND,8.6,7.6,14%,N,824.4,873.8,-6%,N
11,BIHAR,3.7,6.7,-45%,D,543.1,843.8,-36%,D
1,UTTAR PRADESH,2.3,6,-61%,LD,653.4,653.3,0%,N
2,UTTARAKHAND,1.2,6,-80%,LD,1109.1,1060.7,5%,N
3,HARYANA,0,3.4,-99%,LD,302.6,385.1,-21%,D
4,CHANDIGARH (UT),0,20.6,-100%,NR,656.9,789.5,-17%,N
5,DELHI (UT),0,6.5,-100%,NR,553.5,491.6,13%,N
6,PUNJAB,0.1,3.9,-98%,LD,243.3,396.6,-39%,D
7,HIMACHAL PRADESH,0.8,6,-86%,LD,600,663.9,-10%,N
8,JAMMU & KASHMIR (UT),0.7,5.1,-86%,LD,495.1,493.8,0%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.4,18.5,167%,LE
10,RAJASTHAN,0,3.2,-98%,LD,304.9,405.7,-25%,D
1,ODISHA,2.3,8.4,-72%,LD,1184.3,1001.1,18%,N
2,MADHYA PRADESH,0.9,7.9,-89%,LD,793.2,856,-7%,N
3,GUJARAT,0,4.5,-99%,LD,518,639.1,-19%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),3.9,14,-72%,LD,2780.6,2001.1,39%,E
5,GOA,5.6,10.7,-47%,D,1872.9,2810.8,-33%,D
6,MAHARASHTRA,1.6,5.7,-73%,LD,738,878.3,-16%,N
7,CHHATTISGARH,1.1,6.9,-84%,LD,950.3,1006.6,-6%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),41,15.9,158%,LE,1425.2,1328.8,7%,N
2,ANDHRA PRADESH,2.4,4,-40%,D,227.5,408.5,-44%,D
3,TELANGANA,0.4,4,-89%,LD,478,622.7,-23%,D
4,TAMILNADU,0,3.5,-99%,LD,182.1,240.6,-24%,D
5,PUDUCHERRY (UT),0,3.3,-100%,NR,199.3,322,-38%,D
6,KARNATAKA,0.9,4.5,-80%,LD,524.7,715.9,-27%,D
7,KERALA,0.4,10.3,-96%,LD,1377.4,1837.1,-25%,D
8,LAKSHADWEEP (UT),0,9,-100%,NR,643.4,915.3,-30%,D
