S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.4,15.7,-91,LD,557.6,929,-40,D
2,ASSAM,1.3,12.5,-90,LD,573.8,814.2,-30,D
3,MEGHALAYA,2.1,30.9,-93,LD,665.1,1524.6,-56,D
4,NAGALAND,5.8,9,-36,D,482.7,524.2,-8,N
5,MANIPUR,2,8.4,-76,LD,324.3,546.1,-41,D
6,MIZORAM,7.8,13.8,-43,D,611.1,789.3,-23,D
7,TRIPURA,3.9,11.1,-65,LD,683.5,752.3,-9,N
8,SIKKIM,3,16,-82,LD,890.7,856,4,N
9,WEST BENGAL,10.1,12,-16,N,666.7,652.6,2,N
10,JHARKHAND,4.9,11.5,-57,D,306.9,467.4,-34,D
11,BIHAR,2.1,11.2,-81,LD,278.6,462.9,-40,D
1,UTTAR PRADESH,1.1,9.7,-89,LD,244.8,322.9,-24,D
2,UTTARAKHAND,2.7,14,-80,LD,487.3,536.1,-9,N
3,HARYANA,0.2,5,-96,LD,134.8,184.9,-27,D
4,CHANDIGARH (UT),24.4,4.5,442,LE,272.2,379.7,-28,D
5,DELHI (UT),0.1,7.7,-98,LD,184.8,227.7,-19,N
6,PUNJAB,0.8,4.7,-83,LD,129.3,193.7,-33,D
7,HIMACHAL PRADESH,4.6,9.2,-50,D,296,321.2,-8,N
8,JAMMU & KASHMIR (UT),0.6,7.9,-93,LD,293.4,234.1,25,E
9,LADAKH (UT),0,0.1,-100,NR,31.4,10.6,196,LE
10,RAJASTHAN,3.1,6.7,-54,D,164.2,194.3,-16,N
1,ODISHA,20.8,12.6,65,LE,599,501.6,19,N
2,MADHYA PRADESH,1.8,11.8,-85,LD,336.3,407,-17,N
3,GUJARAT,5.6,10,-44,D,370.7,331.8,12,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),32.6,17.7,84,LE,2303.8,1128.6,104,LE
5,GOA,53.3,30.7,73,LE,1196.6,1836.3,-35,D
6,MAHARASHTRA,9.1,11,-18,N,471,490.6,-4,N
7,CHHATTISGARH,7.2,12.9,-45,D,411.7,512.7,-20,D
1,ANDAMAN & NICOBAR ISLANDS (UT),16.4,11,49,E,799.7,750.5,7,N
2,ANDHRA PRADESH,3.4,4,-16,N,130.7,207.7,-37,D
3,TELANGANA,8.7,7.2,21,E,228.7,321.1,-29,D
4,TAMILNADU,0.3,2.2,-86,LD,91.7,110.8,-17,N
5,PUDUCHERRY (UT),0.5,3,-84,LD,65.2,144.7,-55,D
6,KARNATAKA,4.5,8,-43,D,315.6,421.8,-25,D
7,KERALA,7.7,20.3,-62,LD,772.2,1224.2,-37,D
8,LAKSHADWEEP (UT),1,7.3,-86,LD,383,599.8,-36,D
