S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,10.6,9.6,11%,N,789,1327.1,-41%,D
2,ASSAM,19.9,10.4,91%,LE,902.5,1198.8,-25%,D
3,MEGHALAYA,7.6,16.2,-53%,D,923.8,2207.8,-58%,D
4,NAGALAND,9.2,5.6,65%,LE,880.8,830.9,6%,N
5,MANIPUR,8.7,6.5,34%,E,481.8,834.8,-42%,D
6,MIZORAM,11.6,9.9,17%,N,1027.2,1264.2,-19%,N
7,TRIPURA,5.8,9.1,-36%,D,998.2,1135.9,-12%,N
8,SIKKIM,7.8,13,-40%,D,1275,1331.3,-4%,N
9,WEST BENGAL,13.9,9.1,53%,E,1073.5,1047.6,2%,N
10,JHARKHAND,21.9,6.4,241%,LE,730.4,798.9,-9%,N
11,BIHAR,9.8,6.9,43%,E,467.9,775.7,-40%,D
1,UTTAR PRADESH,8.3,5,66%,LE,553.9,593.1,-7%,N
2,UTTARAKHAND,19.5,9.2,112%,LE,965.4,980.3,-2%,N
3,HARYANA,0.9,2.2,-57%,D,283.4,349.9,-19%,N
4,CHANDIGARH (UT),0,4.3,-100%,NR,596.3,713.5,-16%,N
5,DELHI (UT),0,3.3,-100%,NR,501,439.2,14%,N
6,PUNJAB,0.3,2.3,-87%,LD,230.5,362.1,-36%,D
7,HIMACHAL PRADESH,10.3,5.1,102%,LE,557.1,613.8,-9%,N
8,JAMMU & KASHMIR (UT),1.1,4.8,-76%,LD,458.7,453.4,1%,N
9,LADAKH (UT),0,0,-100%,NR,49.2,16.7,195%,LE
10,RAJASTHAN,0,3.8,-100%,NR,282.6,372.1,-24%,D
1,ODISHA,25,8,212%,LE,1154.3,914.5,26%,E
2,MADHYA PRADESH,3.6,8.9,-59%,D,708,782.6,-10%,N
3,GUJARAT,0.3,8.6,-97%,LD,516,594.8,-13%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),3.3,19.1,-83%,LD,2735.3,1880.6,45%,E
5,GOA,4.7,18.2,-74%,LD,1792,2689.3,-33%,D
6,MAHARASHTRA,1.1,8.6,-88%,LD,717.4,814.2,-12%,N
7,CHHATTISGARH,18.4,9.2,101%,LE,914.5,921.2,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),2.6,14.4,-82%,LD,1260.4,1202.2,5%,N
2,ANDHRA PRADESH,1,4.6,-79%,LD,214.8,369.5,-42%,D
3,TELANGANA,1.1,7.6,-85%,LD,465.8,576,-19%,N
4,TAMILNADU,0.1,3,-98%,LD,165,209.7,-21%,D
5,PUDUCHERRY (UT),0,4.7,-100%,NR,187.3,287.7,-35%,D
6,KARNATAKA,2.4,5.4,-55%,D,514.2,670.2,-23%,D
7,KERALA,1.7,11.7,-85%,LD,1372.1,1746.9,-21%,D
8,LAKSHADWEEP (UT),3.5,10.7,-68%,LD,635.2,856.9,-26%,D
