S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,5,16,-69%,LD,859.6,1478,-42%,D
2,ASSAM,6.1,9,-33%,D,1000.9,1326.8,-25%,D
3,MEGHALAYA,1.7,19.6,-91%,LD,1004.1,2438.1,-59%,D
4,NAGALAND,4.1,7,-41%,D,1034.3,929.6,11%,N
5,MANIPUR,0.5,8.2,-94%,LD,543.9,936.2,-42%,D
6,MIZORAM,5.8,11.4,-49%,D,1220.7,1425.6,-14%,N
7,TRIPURA,2.7,8.5,-68%,LD,1089.2,1251.5,-13%,N
8,SIKKIM,17.4,13.3,31%,E,1405.4,1492.5,-6%,N
9,WEST BENGAL,8.8,9,-2%,N,1200.1,1178.5,2%,N
10,JHARKHAND,3.2,7.3,-56%,D,852.8,906.9,-6%,N
11,BIHAR,2.1,7.7,-73%,LD,569.3,875.4,-35%,D
1,UTTAR PRADESH,0.3,7,-96%,LD,667.4,679.3,-2%,N
2,UTTARAKHAND,3.8,8.6,-55%,D,1136,1090.3,4%,N
3,HARYANA,0.6,3.4,-84%,LD,307.1,398.8,-23%,D
4,CHANDIGARH (UT),0,2.4,-100%,NR,657.4,810.3,-19%,N
5,DELHI (UT),2.3,6.2,-62%,LD,562.6,510,10%,N
6,PUNJAB,0.4,2.5,-85%,LD,244.9,408,-40%,D
7,HIMACHAL PRADESH,2,4,-50%,D,610.9,682.4,-10%,N
8,JAMMU & KASHMIR (UT),0.4,2.1,-81%,LD,500.6,507.6,-1%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.4,18.9,161%,LE
10,RAJASTHAN,2.6,1.7,55%,E,308.9,414.5,-25%,D
1,ODISHA,7.4,9.1,-19%,N,1260.6,1037.3,22%,E
2,MADHYA PRADESH,9.9,5.8,71%,LE,823.4,880.2,-6%,N
3,GUJARAT,14.5,4.8,201%,LE,534.3,656.3,-19%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),14,6.7,109%,LE,2802.4,2033.4,38%,E
5,GOA,0,9.3,-100%,NR,1873.7,2844.3,-34%,D
6,MAHARASHTRA,13.4,5.4,149%,LE,757.9,900,-16%,N
7,CHHATTISGARH,12.4,7.5,66%,LE,1010.2,1039.5,-3%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),6.8,15.1,-55%,D,1483.1,1380.7,7%,N
2,ANDHRA PRADESH,8.3,4.2,97%,LE,245.7,427,-42%,D
3,TELANGANA,21.8,4.4,396%,LE,509.8,643.4,-21%,D
4,TAMILNADU,4.3,3.2,36%,E,188.7,255.4,-26%,D
5,PUDUCHERRY (UT),3.2,3.9,-18%,N,210.6,340.1,-38%,D
6,KARNATAKA,0.1,4.4,-97%,LD,525.7,735,-28%,D
7,KERALA,0.2,7.8,-97%,LD,1378.8,1871.9,-26%,D
8,LAKSHADWEEP (UT),0,6.9,-100%,NR,652.6,940.1,-31%,D
