S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,0,7.3,-100,NR,235.6,504.9,-53,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,17.8,13.8,29,E,1227.1,862.5,42,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,3.7,8.2,-54,D,637.3,750.1,-15,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,16.7,-100,NR,103.4,875.7,-88,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0,9.4,-100,NR,603.1,729.2,-17,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,9.4,,ND,,702.6,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,11.9,-100,NR,836,651.8,28,E,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,28.6,-100,NR,1466.1,1759,-17,N,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,0,7.7,-100,NR,269.9,590.7,-54,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0,16.6,-100,NR,552.5,867.3,-36,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,15.2,,ND,,1324.2,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0,2.8,-100,NR,215.8,350.5,-38,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,1.3,17.7,-93,LD,941,1237.4,-24,D,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0,8.6,-100,NR,148.3,496.6,-70,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,11.5,26.4,-56,D,1187.4,1082.5,10,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,0,12.1,-100,NR,720.1,957.2,-25,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0,5.5,-100,NR,214.4,512.7,-58,D,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,1.9,13.8,-86,LD,243.4,889.9,-73,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0,20.4,-100,NR,370.2,1072.1,-65,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,1.5,16.7,-91,LD,668.5,1266.2,-47,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,0.3,18.8,-99,LD,716.4,919.3,-22,D,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,0,16.7,-100,NR,799,1266.2,-37,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,15.3,,ND,,772.3,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,,15.8,,ND,618.1,1398.7,-56,D,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,5.9,14.8,-60,LD,877.9,947.8,-7,N,EXACT,1.0
7,ASSAM,CHARAIDEO,27.063,95.046,0,2.8,-100,NR,683,489.7,39,E,EXACT,1.0
8,ASSAM,CHIRANG,26.66,90.599,,30,,ND,798,1376.2,-42,D,EXACT,1.0
9,ASSAM,DARRANG,26.448,92.029,6.3,10.1,-37,D,385.6,745.8,-48,D,EXACT,1.0
10,ASSAM,DHEMAJI,27.59,94.775,0,25.2,-100,NR,1269.7,1114.4,14,N,EXACT,1.0
11,ASSAM,DHUBRI,26.01,90.033,0,19.2,-100,NR,816.9,1226.8,-33,D,EXACT,1.0
12,ASSAM,DIBRUGARH,27.367,95.053,8.5,13.5,-37,D,690.5,779.9,-11,N,EXACT,1.0
13,ASSAM,DIMA HASAO,25.378,93.031,1.5,8.1,-81,LD,211.3,593.4,-64,LD,EXACT,1.0
14,ASSAM,GOALPARA,26.052,90.605,0,15.4,-100,NR,467.8,1145.8,-59,D,EXACT,1.0
15,ASSAM,GOLAGHAT,26.475,93.835,19.3,9.5,103,LE,421.2,529,-20,D,EXACT,1.0
16,ASSAM,HAILAKANDI,24.498,92.588,20.9,12.1,72,LE,655.2,801.6,-18,N,EXACT,1.0
17,ASSAM,HOJAI,25.978,92.98,3.6,5.8,-38,D,209.7,363.9,-42,D,EXACT,1.0
18,ASSAM,JORHAT,26.711,94.264,0.3,11.4,-97,LD,442.9,624.8,-29,D,EXACT,1.0
19,ASSAM,KAMRUP METROPOLITAN,26.13,91.888,2.3,5.9,-62,LD,445.5,581.5,-23,D,EXACT,1.0
20,ASSAM,KAMRUP RURAL,26.1,91.415,10.5,10.4,1,N,241.3,721.3,-67,LD,EXACT,1.0
21,ASSAM,KARBI ANGLONG,26.157,93.405,4.7,6.5,-28,D,265.4,402.9,-34,D,EXACT,1.0
22,ASSAM,KOKRAJHAR,26.494,90.117,0,24.9,-100,NR,1446.1,1511.7,-4,N,EXACT,1.0
23,ASSAM,LAKHIMPUR,27.174,94.141,3.6,22.4,-84,LD,1189.9,1067.2,11,N,EXACT,1.0
24,ASSAM,MAJULI,26.999,94.292,,11.4,,ND,545,624.8,-13,N,EXACT,1.0
