S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,5.7,14.6,-61%,LD,930.7,1616,-42%,D
2,ASSAM,0.8,8.5,-91%,LD,1053,1431.9,-26%,D
3,MEGHALAYA,6.6,15.4,-57%,D,1065.3,2611.9,-59%,D
4,NAGALAND,5.4,8.5,-36%,D,1083.5,1004.8,8%,N
5,MANIPUR,2.2,7.8,-72%,LD,565,1004.1,-44%,D
6,MIZORAM,9.9,12.5,-21%,D,1277.3,1566.5,-18%,N
7,TRIPURA,7.5,7.7,-3%,N,1155.7,1349,-14%,N
8,SIKKIM,40,12.8,212%,LE,1745.2,1616.7,8%,N
9,WEST BENGAL,39,11.8,231%,LE,1302.6,1287.3,1%,N
10,JHARKHAND,35.9,7.4,386%,LE,920.2,984.7,-7%,N
11,BIHAR,20.2,6,237%,LE,610.3,949.4,-36%,D
1,UTTAR PRADESH,5.4,4.3,24%,E,687.7,730.4,-6%,N
2,UTTARAKHAND,1,5.6,-82%,LD,1160,1147.4,1%,N
3,HARYANA,0,3.3,-100%,NR,317.5,421.9,-25%,D
4,CHANDIGARH (UT),0,5.6,-100%,NR,715.4,837.3,-15%,N
5,DELHI (UT),0,2.6,-100%,NR,562.7,539,4%,N
6,PUNJAB,0,5.4,-100%,NR,254.2,430.3,-41%,D
7,HIMACHAL PRADESH,0,5.5,-100%,NR,636.4,723.1,-12%,N
8,JAMMU & KASHMIR (UT),0.3,4.6,-93%,LD,526.3,536.7,-2%,N
9,LADAKH (UT),0,0.5,-100%,NR,49.4,22,125%,LE
10,RAJASTHAN,0,2.3,-100%,NR,335.5,430.6,-22%,D
1,ODISHA,41.4,5.7,627%,LE,1384.9,1120.3,24%,E
2,MADHYA PRADESH,2.9,3.4,-16%,N,872.4,935.1,-7%,N
3,GUJARAT,0.1,4.6,-97%,LD,638.5,693.8,-8%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,13.2,-100%,NR,2991.5,2152.2,39%,E
5,GOA,29.3,9.2,218%,LE,1960.8,2953.3,-34%,D
6,MAHARASHTRA,4.2,5.9,-29%,D,795.1,965,-18%,N
7,CHHATTISGARH,13.6,5.6,143%,LE,1059.9,1108.1,-4%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),42.3,10,323%,LE,1735.7,1541.9,13%,N
2,ANDHRA PRADESH,40.5,5.2,680%,LE,361.2,490.3,-26%,D
3,TELANGANA,27.5,5.1,440%,LE,591.1,707.7,-16%,N
4,TAMILNADU,0.1,4.4,-99%,LD,255.3,300.1,-15%,N
5,PUDUCHERRY (UT),8.7,2,336%,LE,247,385,-36%,D
6,KARNATAKA,6.5,6.1,6%,N,561.5,796.3,-29%,D
7,KERALA,4.3,9.4,-54%,D,1430.3,1967,-27%,D
8,LAKSHADWEEP (UT),0.7,4,-83%,LD,718.7,998.5,-28%,D
