S.No,STATE,DISTRICT,Lat,Lon,ACTUAL_1,NORMAL_1,PCTDEP_1,CAT_1,ACTUAL_2,NORMAL_2,PCTDEP_2,CAT_2,match_type,match_score
1,ANDAMAN & NICOBAR ISLANDS,NICOBAR,7.507,93.597,5.1,9.7,-48%,D,516.9,916.9,-44%,D,EXACT,1.0
2,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,12.833,92.863,0,13.5,-100%,NR,2357.5,1658.8,42%,E,EXACT,1.0
3,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,11.508,92.644,0,16.4,-99%,LD,1129.1,1400.8,-19%,N,EXACT,1.0
1,ARUNACHAL PRADESH,ANJAW,28.066,96.825,0,16.5,-100%,NR,171.9,1459.1,-88%,LD,EXACT,1.0
2,ARUNACHAL PRADESH,CHANGLANG,27.363,96.341,0,6.2,-100%,NR,1010.3,1220.4,-17%,N,EXACT,1.0
3,ARUNACHAL PRADESH,DIBANG VALLEY,28.7,95.88,,18.6,,ND,,1030.2,,ND,EXACT,1.0
4,ARUNACHAL PRADESH,EAST KAMENG,27.586,92.923,0,8.1,-100%,NR,1239.3,1102.5,12%,N,EXACT,1.0
5,ARUNACHAL PRADESH,EAST SIANG,28.044,95.355,0,32.1,-100%,NR,1977.3,2878,-31%,D,EXACT,1.0
6,ARUNACHAL PRADESH,KURUNG KUMEY,28.014,93.202,1.5,12.9,-88%,LD,563.4,1056.6,-47%,D,EXACT,1.0
7,ARUNACHAL PRADESH,LOHIT,27.906,96.276,0.4,21.3,-98%,LD,876,1415.4,-38%,D,EXACT,1.0
8,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,28.25,95.84,,29.7,,ND,,2091.9,,ND,EXACT,1.0
9,ARUNACHAL PRADESH,LOWER SUBANSIRI,27.562,93.787,0.3,0.9,-67%,LD,400.4,672.9,-41%,D,EXACT,1.0
10,ARUNACHAL PRADESH,PAPUMPARA,27.29,93.593,3.5,19.4,-82%,LD,1630.2,1977.6,-18%,N,EXACT,1.0
11,ARUNACHAL PRADESH,TAWANG,27.662,91.95,0,7.7,-100%,NR,323.2,892.7,-64%,LD,EXACT,1.0
12,ARUNACHAL PRADESH,TIRAP,27.028,95.532,47.5,10.7,344%,LE,1787,1786,0%,N,EXACT,1.0
13,ARUNACHAL PRADESH,UPPER SIANG,28.834,94.915,16.1,14.2,13%,N,1059.7,1554.4,-32%,D,EXACT,1.0
14,ARUNACHAL PRADESH,UPPER SUBANSIRI,28.291,93.933,0,4.5,-100%,NR,321.7,844.1,-62%,LD,EXACT,1.0
15,ARUNACHAL PRADESH,WEST KAMENG,27.298,92.39,2,12.8,-84%,LD,502.4,1532.7,-67%,LD,EXACT,1.0
16,ARUNACHAL PRADESH,WEST SIANG,28.159,94.625,0,22.5,-100%,NR,574.8,1795.3,-68%,LD,EXACT,1.0
1,ASSAM,BAJALI,26.47,91.0,3.5,13.1,-73%,LD,1036.5,1910.2,-46%,D,EXACT,1.0
2,ASSAM,BAKSA,26.661,91.353,5.1,6.8,-25%,D,1121.5,1388.5,-19%,N,EXACT,1.0
3,ASSAM,BARPETA,26.34,91.005,2.1,13.1,-84%,LD,1171.6,1910.2,-39%,D,EXACT,1.0
4,ASSAM,BISWANATH,26.829,93.383,,8.2,,ND,,1367.3,,ND,EXACT,1.0
5,ASSAM,BONGAIGAON,26.36,90.62,0,11.9,-100%,NR,856.2,2150.1,-60%,LD,EXACT,1.0
6,ASSAM,CACHAR,24.813,92.855,0.2,12.1,-98%,LD,1562.5,1672.3,-7%,N,EXACT,1.0
