S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.3,12.8,-98%,LD,931.3,1640.6,-43%,D
2,ASSAM,1.8,9.7,-82%,LD,1055.1,1450.5,-27%,D
3,MEGHALAYA,3,19.3,-84%,LD,1070.4,2645.5,-60%,LD
4,NAGALAND,3.8,6.5,-42%,D,1090.7,1018,7%,N
5,MANIPUR,0.2,6.8,-97%,LD,565.2,1016.6,-44%,D
6,MIZORAM,3.7,11.2,-67%,LD,1292.4,1588,-19%,N
7,TRIPURA,7.1,5.9,21%,E,1164.7,1362.6,-15%,N
8,SIKKIM,20.7,12.4,67%,LE,1825.8,1641.7,11%,N
9,WEST BENGAL,16.4,11.9,38%,E,1352.5,1311.7,3%,N
10,JHARKHAND,31.1,7.7,304%,LE,976.5,999.7,-2%,N
11,BIHAR,11.2,9.4,19%,N,655.6,968.8,-32%,D
1,UTTAR PRADESH,53.1,2.7,1866%,LE,754.7,738,2%,N
2,UTTARAKHAND,14,2.7,418%,LE,1174.5,1154.7,2%,N
3,HARYANA,0,0.8,-99%,LD,317.5,424.1,-25%,D
4,CHANDIGARH (UT),0,2.1,-100%,NR,715.4,844.7,-15%,N
5,DELHI (UT),0,1.2,-100%,NR,562.7,541.3,4%,N
6,PUNJAB,0.2,2.9,-93%,LD,255,436.4,-42%,D
7,HIMACHAL PRADESH,1,2.1,-51%,D,637.4,729.5,-13%,N
8,JAMMU & KASHMIR (UT),0,3.7,-99%,LD,526.9,545.2,-3%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.4,22.2,123%,LE
10,RAJASTHAN,0,0.9,-96%,LD,335.6,432.8,-22%,D
1,ODISHA,24.5,5,391%,LE,1477.6,1130.7,31%,E
2,MADHYA PRADESH,23.4,2.5,836%,LE,902.9,940.4,-4%,N
3,GUJARAT,0,3.7,-100%,NR,638.5,701.4,-9%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,9.6,-100%,NR,2991.5,2178.3,37%,E
5,GOA,1,10.5,-91%,LD,1976.3,2971.9,-33%,D
6,MAHARASHTRA,3.1,5.9,-47%,D,801.4,976.8,-18%,N
7,CHHATTISGARH,67.1,4.1,1537%,LE,1186.6,1116.9,6%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),3,17.2,-83%,LD,1743.9,1573.4,11%,N
2,ANDHRA PRADESH,1.9,5.3,-64%,LD,388.8,501,-22%,D
3,TELANGANA,2.3,4.7,-51%,D,605.1,717.4,-16%,N
4,TAMILNADU,0.5,4.4,-90%,LD,256,309.2,-17%,N
5,PUDUCHERRY (UT),0,4.5,-100%,NR,251.3,394.8,-36%,D
6,KARNATAKA,2.3,6.6,-66%,LD,570.1,808.1,-29%,D
7,KERALA,8.1,8.5,-4%,N,1451.6,1985.4,-27%,D
8,LAKSHADWEEP (UT),1.3,5.7,-78%,LD,720,1010.1,-29%,D
