S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,3.7,9.3,-60%,LD,777,1306.2,-41%,D
2,ASSAM,9.3,8.8,6%,N,881.2,1176,-25%,D
3,MEGHALAYA,8.7,16.1,-46%,D,911.1,2176.9,-58%,D
4,NAGALAND,11.5,9.5,21%,E,867.7,818.2,6%,N
5,MANIPUR,2.3,8.3,-72%,LD,468.9,823.2,-43%,D
6,MIZORAM,20.1,12.2,65%,LE,998,1244.3,-20%,D
7,TRIPURA,25.3,11.4,122%,LE,987.7,1119.2,-12%,N
8,SIKKIM,13.7,12.2,12%,N,1261.3,1304.1,-3%,N
9,WEST BENGAL,6.6,9.8,-32%,D,1050.6,1029,2%,N
10,JHARKHAND,14.7,8.2,80%,LE,691,786.5,-12%,N
11,BIHAR,8.5,6,42%,E,445.8,762.5,-42%,D
1,UTTAR PRADESH,5.9,6,-2%,N,536.8,583.3,-8%,N
2,UTTARAKHAND,6.6,9.1,-28%,D,929.4,963.7,-4%,N
3,HARYANA,0.5,3.6,-86%,LD,281.8,344.6,-18%,N
4,CHANDIGARH (UT),0,2.9,-99%,LD,596.3,702.1,-15%,N
5,DELHI (UT),0,5.9,-100%,NR,501,432.1,16%,N
6,PUNJAB,0.6,3.3,-81%,LD,230,357.1,-36%,D
7,HIMACHAL PRADESH,2.3,5.3,-57%,D,545.7,603.7,-10%,N
8,JAMMU & KASHMIR (UT),8.1,3.4,139%,LE,456.1,445,2%,N
9,LADAKH (UT),0,0.2,-100%,NR,49.2,16.4,200%,LE
10,RAJASTHAN,0,3.2,-100%,NR,282.6,364.5,-22%,D
1,ODISHA,4.5,12.2,-63%,LD,1113.7,896.3,24%,E
2,MADHYA PRADESH,10.6,11.4,-7%,N,699.7,762.3,-8%,N
3,GUJARAT,0.1,7.7,-99%,LD,515.7,576.9,-11%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),2.9,28.8,-90%,LD,2731.3,1834.8,49%,E
5,GOA,4.1,18.7,-78%,LD,1743.3,2650.4,-34%,D
6,MAHARASHTRA,3.1,8.6,-64%,LD,711.2,797.2,-11%,N
7,CHHATTISGARH,2.9,13,-77%,LD,878.8,901.8,-3%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),6.8,12.4,-45%,D,1251.7,1174.7,7%,N
2,ANDHRA PRADESH,0.3,4.3,-92%,LD,213.3,360.3,-41%,D
3,TELANGANA,0.4,5.9,-94%,LD,461.6,561.8,-18%,N
4,TAMILNADU,1.2,2.7,-56%,D,164.5,204.3,-19%,N
5,PUDUCHERRY (UT),10,3.9,156%,LE,187.3,279.9,-33%,D
6,KARNATAKA,3.1,5.6,-45%,D,509.6,659.9,-23%,D
7,KERALA,6,10.9,-45%,D,1365.2,1723.2,-21%,D
8,LAKSHADWEEP (UT),0,6,-100%,NR,627.9,837,-25%,D
