S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,13.8,10.3,34,E,640.5,1015.8,-37,D
2,ASSAM,11.3,9.8,15,N,660.2,891.7,-26,D
3,MEGHALAYA,7.7,18.2,-58,D,713.2,1682.8,-58,D
4,NAGALAND,21,8.3,153,LE,607.2,593.3,2,N
5,MANIPUR,0.6,9.8,-94,LD,354.1,612,-42,D
6,MIZORAM,4.9,14.6,-66,LD,670.6,887.7,-24,D
7,TRIPURA,3.8,12.5,-70,LD,713.2,840.4,-15,N
8,SIKKIM,20.3,14.8,37,E,983,959.8,2,N
9,WEST BENGAL,14,12.4,13,N,739.4,737.4,0,N
10,JHARKHAND,5.8,12.4,-53,D,368.7,538.7,-32,D
11,BIHAR,5.4,9.1,-40,D,303.3,531.3,-43,D
1,UTTAR PRADESH,5.7,7.3,-22,D,272.7,380.4,-28,D
2,UTTARAKHAND,12,13,-7,N,601.3,637.2,-6,N
3,HARYANA,1,6.2,-83,LD,149.7,221,-32,D
4,CHANDIGARH (UT),0,14.1,-99,LD,347.1,457.9,-24,D
5,DELHI (UT),3.9,3.7,7,N,244,271.7,-10,N
6,PUNJAB,1.2,6.1,-80,LD,145.3,236.8,-39,D
7,HIMACHAL PRADESH,3.8,10.2,-63,LD,356.1,386.8,-8,N
8,JAMMU & KASHMIR (UT),6.5,6.4,2,N,335.6,291.2,15,N
9,LADAKH (UT),1.6,0.1,1527,LE,36.6,12.9,184,LE
10,RAJASTHAN,5.1,4.2,21,E,191.4,231.3,-17,N
1,ODISHA,2.7,13.7,-80,LD,745.4,586.3,27,E
2,MADHYA PRADESH,2.3,11.5,-80,LD,403.8,482,-16,N
3,GUJARAT,5.7,8.3,-32,D,480.4,397.7,21,E
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),12.4,26.5,-53,D,2453.2,1345.9,82,LE
5,GOA,38.1,36.3,5,N,1290.6,2057.6,-37,D
6,MAHARASHTRA,7.5,11.3,-34,D,608.4,566.1,7,N
7,CHHATTISGARH,2.2,14,-84,LD,567.8,594.7,-5,N
1,ANDAMAN & NICOBAR ISLANDS (UT),11.1,14.1,-21,D,860.1,844,2,N
2,ANDHRA PRADESH,1.1,4.7,-76,LD,153,238.6,-36,D
3,TELANGANA,3,8.2,-64,LD,345.4,372.5,-7,N
4,TAMILNADU,2.9,1.7,69,LE,109.8,126.7,-13,N
5,PUDUCHERRY (UT),1.1,2,-45,D,76.7,168.9,-55,D
6,KARNATAKA,10.1,8.1,24,E,388,478.6,-19,N
7,KERALA,45.2,15.2,197,LE,1041.8,1357.2,-23,D
8,LAKSHADWEEP (UT),0.5,6,-92,LD,446.3,647.3,-31,D
