S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,5,11.7,-57,D,718.9,1179.2,-39,D
2,ASSAM,15.6,9.4,65,LE,798.9,1056,-24,D
3,MEGHALAYA,14.3,17.4,-18,N,829.2,1960.5,-58,D
4,NAGALAND,13.6,8.6,58,E,758.4,724.3,5,N
5,MANIPUR,4.8,9.3,-48,D,443.6,741.8,-40,D
6,MIZORAM,2.9,14.4,-80,LD,846.4,1091,-22,D
7,TRIPURA,9.9,9.4,5,N,850.4,1002.7,-15,N
8,SIKKIM,21.8,13.8,58,E,1160.4,1157.2,0,N
9,WEST BENGAL,38.5,11.9,224,LE,973,914.5,6,N
10,JHARKHAND,50,11.5,335,LE,586.1,689.8,-15,N
11,BIHAR,15.5,9.3,66,LE,401.9,666.9,-40,D
1,UTTAR PRADESH,19.5,8.2,138,LE,418,504.5,-17,N
2,UTTARAKHAND,34,12.4,174,LE,838.5,842.5,0,N
3,HARYANA,1.9,4.2,-56,D,254,295.1,-14,N
4,CHANDIGARH (UT),29,3.8,663,LE,473.6,618.7,-23,D
5,DELHI (UT),0,5.2,-100,NR,413.6,369.7,12,N
6,PUNJAB,3.3,4.1,-20,D,200.4,314.6,-36,D
7,HIMACHAL PRADESH,6.9,8.1,-15,N,479,527.6,-9,N
8,JAMMU & KASHMIR (UT),1.1,4.5,-75,LD,405.3,389.7,4,N
9,LADAKH (UT),1.7,0,17223,LE,47.3,15.6,203,LE
10,RAJASTHAN,0.2,4.4,-94,LD,265.2,317.1,-16,N
1,ODISHA,23.2,12.8,81,LE,996.1,772.8,29,E
2,MADHYA PRADESH,4.8,10.5,-55,D,576.6,651.4,-11,N
3,GUJARAT,1.6,5.3,-71,LD,513,518,-1,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),13.1,11.4,15,N,2665.5,1658.5,61,LE
5,GOA,8.5,20.6,-59,D,1616.3,2472.4,-35,D
6,MAHARASHTRA,4.4,6.2,-28,D,675.2,709.4,-5,N
7,CHHATTISGARH,22.4,10.5,113,LE,738.6,782.1,-6,N
1,ANDAMAN & NICOBAR ISLANDS (UT),5.5,10.8,-49,D,1058.6,1025.8,3,N
2,ANDHRA PRADESH,0.4,4.4,-91,LD,190.6,307.3,-38,D
3,TELANGANA,3.3,6.3,-48,D,416.9,487,-14,N
4,TAMILNADU,0.9,4,-78,LD,144.8,168.3,-14,N
5,PUDUCHERRY (UT),0.3,4.6,-94,LD,160.5,230.9,-30,D
6,KARNATAKA,2.3,6.5,-65,LD,464.2,594.4,-22,D
7,KERALA,4.1,15.3,-73,LD,1231.5,1603.7,-23,D
8,LAKSHADWEEP (UT),2.7,6.5,-58,D,563.3,747.3,-25,D
