S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.4,9.7,-96%,LD,915.2,1554.8,-41%,D
2,ASSAM,0.8,8.4,-90%,LD,1031.6,1386.6,-26%,D
3,MEGHALAYA,2.1,14.6,-85%,LD,1028.7,2522.7,-59%,D
4,NAGALAND,0.1,4.9,-99%,LD,1061.7,967.2,10%,N
5,MANIPUR,3.1,4.5,-30%,D,551.4,972.8,-43%,D
6,MIZORAM,1.3,14,-91%,LD,1247.3,1506.4,-17%,N
7,TRIPURA,0.1,9.5,-99%,LD,1108.8,1302.1,-15%,N
8,SIKKIM,31.3,8.8,256%,LE,1688.3,1561.6,8%,N
9,WEST BENGAL,2.4,9.3,-74%,LD,1233.9,1234.3,0%,N
10,JHARKHAND,2.5,6.4,-60%,LD,869.6,950.9,-9%,N
11,BIHAR,2.4,5.8,-59%,D,584.2,919.9,-36%,D
1,UTTAR PRADESH,0.7,4.6,-84%,LD,678.1,711.7,-5%,N
2,UTTARAKHAND,0.1,5.9,-99%,LD,1157.8,1124.3,3%,N
3,HARYANA,0,1.5,-100%,NR,317.5,409.7,-22%,D
4,CHANDIGARH (UT),0,1,-100%,NR,715.4,820.8,-13%,N
5,DELHI (UT),0,1.6,-100%,NR,562.7,525.2,7%,N
6,PUNJAB,0,1.1,-100%,NR,254.2,417,-39%,D
7,HIMACHAL PRADESH,0,3.4,-100%,NR,636.4,701.7,-9%,N
8,JAMMU & KASHMIR (UT),0.8,2.4,-66%,LD,525.8,522.4,1%,N
9,LADAKH (UT),0,0,-100%,NR,49.4,19.9,148%,LE
10,RAJASTHAN,5.8,1.2,384%,LE,334.5,423.5,-21%,D
1,ODISHA,5.1,7.6,-33%,D,1279.3,1084.2,18%,N
2,MADHYA PRADESH,9.3,4.2,121%,LE,854.8,914,-6%,N
3,GUJARAT,8.6,3.1,176%,LE,627.1,677,-7%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),7.2,14.4,-50%,D,2944.4,2094.8,41%,E
5,GOA,1.6,11,-86%,LD,1895.2,2905.8,-35%,D
6,MAHARASHTRA,4.1,5.9,-31%,D,777.7,933.8,-17%,N
7,CHHATTISGARH,4.3,7.2,-40%,D,1021.9,1080,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),31.9,18.5,73%,LE,1584.7,1476.7,7%,N
2,ANDHRA PRADESH,3.1,6.6,-53%,D,265,461,-43%,D
3,TELANGANA,2.7,6.2,-57%,D,536.7,676.3,-21%,D
4,TAMILNADU,3.5,3.5,0%,N,218.3,281.5,-22%,D
5,PUDUCHERRY (UT),1.6,3.2,-51%,D,214.7,367,-42%,D
6,KARNATAKA,0.3,5.2,-94%,LD,532.4,768.3,-31%,D
7,KERALA,1.6,8.2,-81%,LD,1389.5,1926.2,-28%,D
8,LAKSHADWEEP (UT),4.6,5.2,-12%,N,687.5,974.9,-29%,D
