S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,11.6,13.4,-14,N,705.2,1154.3,-39,D
2,ASSAM,8.9,10.4,-15,N,765.2,1035.9,-26,D
3,MEGHALAYA,9.6,19.1,-50,D,804.9,1926.3,-58,D
4,NAGALAND,7.2,9.8,-27,D,731.6,707.3,3,N
5,MANIPUR,0.1,9.5,-98,LD,435.9,725.9,-40,D
6,MIZORAM,8.1,13.1,-38,D,832.4,1063.8,-22,D
7,TRIPURA,0.6,10.2,-94,LD,830.7,980.7,-15,N
8,SIKKIM,1.5,11.8,-88,LD,1134.6,1129.7,0,N
9,WEST BENGAL,4.7,11.8,-60,LD,911.6,891.3,2,N
10,JHARKHAND,3.7,9.7,-62,LD,529,668.6,-21,D
11,BIHAR,0.1,10.6,-99,LD,383.4,648.3,-41,D
1,UTTAR PRADESH,14,8.8,59,E,380.8,488.9,-22,D
2,UTTARAKHAND,14.7,18.8,-22,D,786.8,817.3,-4,N
3,HARYANA,2,5.4,-62,LD,250.6,286.9,-13,N
4,CHANDIGARH (UT),0.7,8.9,-93,LD,442,603.5,-27,D
5,DELHI (UT),0,5.3,-100,NR,413.6,359.4,15,N
6,PUNJAB,3.4,4.7,-27,D,195.2,307.2,-36,D
7,HIMACHAL PRADESH,6.6,8.6,-24,D,468.3,513.5,-9,N
8,JAMMU & KASHMIR (UT),0.4,6.6,-94,LD,401.2,379.3,6,N
9,LADAKH (UT),0,0.3,-100,NR,45,15.6,188,LE
10,RAJASTHAN,2.6,7.2,-64,LD,264.5,307.2,-14,N
1,ODISHA,17.3,11.9,45,E,951.3,749,27,E
2,MADHYA PRADESH,15.2,11.7,30,E,562.3,630.5,-11,N
3,GUJARAT,1.5,6,-75,LD,509.1,505.7,1,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),10.2,10.8,-6,N,2643.7,1637.9,61,LE
5,GOA,24.1,20.9,15,N,1601.6,2427.9,-34,D
6,MAHARASHTRA,4.5,9.4,-52,D,667.3,694.6,-4,N
7,CHHATTISGARH,10,12.7,-21,D,705,760.2,-7,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.9,10.6,-82,LD,1041.1,1005.2,4,N
2,ANDHRA PRADESH,1.6,4.7,-66,LD,189.6,298.8,-37,D
3,TELANGANA,2.3,7.4,-69,LD,412,474.5,-13,N
4,TAMILNADU,0.5,3.4,-86,LD,143.8,159.6,-10,N
5,PUDUCHERRY (UT),0.8,4.2,-80,LD,159.9,219.5,-27,D
6,KARNATAKA,3,6.8,-57,D,459.2,580.2,-21,D
7,KERALA,5.7,15.8,-64,LD,1223.2,1572.1,-22,D
8,LAKSHADWEEP (UT),4.8,5.8,-17,N,552.1,734.5,-25,D
