S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,7.7,13.7,-44,D,575.9,970.9,-41,D
2,ASSAM,14.7,10.8,36,E,609,850.4,-28,D
3,MEGHALAYA,7.8,21.5,-64,LD,678.2,1606.1,-58,D
4,NAGALAND,2.5,9.9,-75,LD,502.9,556.7,-10,N
5,MANIPUR,1.5,8.8,-83,LD,336.6,577.2,-42,D
6,MIZORAM,7,14.2,-51,D,638.6,834.9,-24,D
7,TRIPURA,9.8,11.4,-14,N,695.6,792.8,-12,N
8,SIKKIM,9.3,14.2,-34,D,911.1,899.9,1,N
9,WEST BENGAL,12.7,12.3,3,N,703.5,691.5,2,N
10,JHARKHAND,7.1,10.1,-30,D,349.9,499.3,-30,D
11,BIHAR,2.8,9,-69,LD,286.9,494.4,-42,D
1,UTTAR PRADESH,1.1,8.1,-86,LD,261.1,350.9,-26,D
2,UTTARAKHAND,14.4,13.8,4,N,552.5,579.8,-5,N
3,HARYANA,0.3,3.4,-90,LD,145,198.6,-27,D
4,CHANDIGARH (UT),25.6,8.2,212,LE,345.2,415.4,-17,N
5,DELHI (UT),0.4,5.9,-94,LD,234.3,245.3,-4,N
6,PUNJAB,3.4,5.4,-37,D,139.8,209.9,-33,D
7,HIMACHAL PRADESH,3.7,8.9,-58,D,327.8,348.6,-6,N
8,JAMMU & KASHMIR (UT),0.9,7.6,-88,LD,309.1,258.9,19,N
9,LADAKH (UT),1.1,0.1,1033,LE,32.4,11.6,180,LE
10,RAJASTHAN,2.7,5.4,-49,D,176.6,211.7,-17,N
1,ODISHA,21.8,12.7,72,LE,731.5,539.1,36,E
2,MADHYA PRADESH,14,9.4,49,E,372.8,438.3,-15,N
3,GUJARAT,0.4,8.8,-95,LD,375.9,362.2,4,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),6.5,37.9,-83,LD,2365.9,1224.4,93,LE
5,GOA,1.6,30.7,-95,LD,1240,1929.3,-36,D
6,MAHARASHTRA,19.6,11.3,74,LE,516,523.6,-1,N
7,CHHATTISGARH,47.4,11.3,320,LE,524.9,546.1,-4,N
1,ANDAMAN & NICOBAR ISLANDS (UT),8,15,-47,D,814.9,792,3,N
2,ANDHRA PRADESH,3.2,3.9,-18,N,143.1,220.9,-35,D
3,TELANGANA,30.4,8.4,261,LE,311,343.7,-10,N
4,TAMILNADU,1.1,2.1,-46,D,95.3,117.7,-19,N
5,PUDUCHERRY (UT),0.1,2.7,-95,LD,69,157.2,-56,D
6,KARNATAKA,7.3,7.3,0,N,335.9,445.5,-25,D
7,KERALA,17.9,18.6,-4,N,833.8,1283.5,-35,D
8,LAKSHADWEEP (UT),0.1,7.1,-99,LD,387.7,618.8,-37,D
