0,1,2,3,4,5,6,7,8,9,10,11
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
8,BANDA,153.1,2.2,6860%,LE,1327.7,759.9,75%,LE,,
9,BARABANKI,94.3,2,4616%,LE,894.7,813.7,10%,N,,
10,BASTI,35.8,3.6,894%,LE,715.3,821.2,-13%,N,,
11,BHADOHI,,2.9,,ND,307.2,792,-61%,LD,,
12,CHANDAULI,12,3.2,275%,LE,559,697.8,-20%,D,,
13,CHITRAKOOT,79.1,2.4,3194%,LE,1368.4,781.2,75%,LE,,
14,DEORIA,11,10.7,3%,N,212.8,770.1,-72%,LD,,
15,FARRUKHABAD,111.6,0.7,15836%,LE,660.6,720.7,-8%,N,,
16,FATEHPUR,96.1,1.8,5239%,LE,751.4,688.3,9%,N,,
17,GHAZIPUR,4.4,5.6,-22%,D,651.7,778.9,-16%,N,,
18,GONDA,33.5,3.9,760%,LE,836.6,854.3,-2%,N,,
19,GORAKHPUR,29.6,15.6,90%,LE,854.7,1233.5,-31%,D,,
20,HARDOI,92.7,0.7,13138%,LE,680.8,659.4,3%,N,,
21,JAUNPUR,7.7,5.4,43%,E,303.8,718.5,-58%,D,,
22,KANNAUJ,136.8,1,13580%,LE,996.6,659.8,51%,E,,
23,KANPUR CITY,107.2,0.7,15214%,LE,1056.5,612.7,72%,LE,,
24,KANPUR DEHAT,53,0.4,13150%,LE,263.9,570,-54%,D,,
25,KAUSHAMBI,15,2.6,477%,LE,363.1,542.2,-33%,D,,
26,KHERI,163.9,2.7,5969%,LE,1142,910.6,25%,E,,
27,KUSHI NAGAR,17,9.2,85%,LE,272.1,735.2,-63%,LD,,
28,LUCKNOW,125.1,2.7,4531%,LE,802,673.6,19%,N,,
29,MAHARAJGANJ,27.2,10.2,166%,LE,821,976.5,-16%,N,,
30,MAU,20,4,400%,LE,379.5,780.9,-51%,D,,
31,MIRZAPUR,8.4,3.1,172%,LE,869.8,871.4,0%,N,,
32,PRATAPGARH,26,3.3,688%,LE,942,762.6,24%,E,,
33,PRAYAGRAJ,14.7,2.2,569%,LE,979.9,716.3,37%,E,,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
34,RAE BAREILLY,24.1,1.1,,2094%,LE,364.3,423.1,-14%,N,
35,SANT KABIR NAGAR,24,6.7,,257%,LE,565.3,990.6,-43%,D,
36,SHRAWASTI,127.1,7.8,,1530%,LE,875.1,1063.6,-18%,N,
37,SIDDHARTH NAGAR,29.4,3.3,,791%,LE,728.8,1025.3,-29%,D,
38,SITAPUR,93.8,2.2,,4161%,LE,685.9,828.8,-17%,N,
39,SONBHADRA,6.8,2.5,,172%,LE,872.6,859.3,2%,N,
40,SULTANPUR,29.7,3.6,,724%,LE,871.8,811.2,7%,N,
41,UNNAO,65,1.4,,4543%,LE,528.7,647.8,-18%,N,
42,VARANASI,15.3,4.5,,239%,LE,953.6,800,19%,N,
,UTTARAKHAND,14,2.7,,418%,LE,1174.5,1154.7,2%,N,
1,ALMORA,17.3,2.8,,517%,LE,980.3,787.3,25%,E,
2,BAGESHWAR,17.1,2.8,,512%,LE,2002.2,787.3,154%,LE,
3,CHAMOLI,5.3,1,,434%,LE,1173.9,715.4,64%,LE,
4,CHAMPAWAT,73.9,2.8,,2538%,LE,1009.5,1303.2,-23%,D,
5,DEHRADUN,0.8,2.6,,-70%,LD,1360.6,1431.5,-5%,N,
6,GARHWAL PAURI,1.2,3.5,,-67%,LD,683.3,1264.2,-46%,D,
7,GARHWAL TEHRI,1.5,2.2,,-34%,D,1173.5,941.3,25%,E,
8,HARDWAR,0.3,3.4,,-92%,LD,1093,984.7,11%,N,
9,NAINITAL,31.4,3.8,,727%,LE,1207.9,1530.6,-21%,D,
10,PITHORAGARH,29.3,4.1,,615%,LE,1508.2,1489.3,1%,N,
11,RUDRAPRAYAG,0.5,3.5,,-86%,LD,1395.7,1543.6,-10%,N,
12,UDHAM SINGH NAGAR,42.8,2.9,,1376%,LE,1160.3,1120.8,4%,N,
13,UTTARKASHI,0,2,,-100%,NR,955,1143,-16%,N,
,DELHI AND HARYANA AND CHANDIGARH,0,0.8,,-99%,LD,324.6,428.7,-24%,D,
,HARYANA,0,0.8,,-99%,LD,317.5,424.1,-25%,D,
1,AMBALA,0,2,,-100%,NR,399.4,813.4,-51%,D,
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
2,BHIWANI,0,,0.4,,-100%,NR,268.6,291.7,-8%,N
3,CHARKHI DADRI,0,,0.5,,-100%,NR,346.3,399.8,-13%,N
4,FARIDABAD,0,,0.4,,-100%,NR,528.5,556.3,-5%,N
5,FATEHABAD,0,,0.5,,-100%,NR,233.7,260.6,-10%,N
6,GURGAON,0,,0.5,,-100%,NR,477.6,487.2,-2%,N
7,HISAR,0,,0.4,,-100%,NR,230.2,298.1,-23%,D
8,JHAJJAR,0,,0.8,,-100%,NR,309.1,380.3,-19%,N
9,JIND,0,,0.1,,-100%,NR,159,393.3,-60%,LD
10,KAITHAL,0,,0.9,,-100%,NR,182,364.2,-50%,D
11,KARNAL,0,,0.6,,-100%,NR,273.4,519.6,-47%,D
12,KURUKSHETRA,0,,0.7,,-100%,NR,358.5,412.3,-13%,N
13,MAHENDRAGARH,0,,0.6,,-100%,NR,301,394.2,-24%,D
14,NUH,0,,0.6,,-100%,NR,459.6,476.2,-3%,N
15,PALWAL,0,,0.7,,-100%,NR,476.6,398.3,20%,E
16,PANCHKULA,0.3,,1.2,,-72%,LD,670.2,855.3,-22%,D
17,PANIPAT,0,,1.1,,-100%,NR,316.6,454.2,-30%,D
18,REWARI,0,,0.3,,-100%,NR,373.6,430.3,-13%,N
19,ROHTAK,0,,0.6,,-100%,NR,240.8,465.5,-48%,D
20,SIRSA,0,,2.2,,-100%,NR,96,210.2,-54%,D
21,SONEPAT,0,,0.9,,-100%,NR,315.9,479,-34%,D
22,YAMUNA NAGAR,0,,0.9,,-100%,NR,740.4,890,-17%,N
,DELHI (UT),0,,1.2,,-100%,NR,562.7,541.3,4%,N
1,CENTRAL DELHI,0,,2.3,,-100%,NR,766.6,662,16%,N
2,EAST DELHI,0,,2.3,,-100%,NR,560.3,662,-15%,N
3,NEW DELHI,0,,0.8,,-100%,NR,598.8,635.9,-6%,N
4,NORTH DELHI,,,0.4,,,ND,,554.7,,ND
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
5,NORTH EAST DELHI,0,,2.3,,-100%,NR,582.4,662,-12%,N
6,NORTH WEST DELHI,0,,1.3,,-100%,NR,410.8,399.4,3%,N
7,SOUTH DELHI,0,,2.3,,-100%,NR,595.9,662,-10%,N
8,SOUTH EAST DELHI,0,,2.3,,-100%,NR,694.4,662,5%,N
9,SOUTH WEST DELHI,0,,0.1,,-100%,NR,412.5,549.4,-25%,D
10,WEST DELHI,0,,0.5,,-100%,NR,701,593.2,18%,N
,CHANDIGARH (UT),0,,2.1,,-100%,NR,715.4,844.7,-15%,N
1,CHANDIGARH,0,,2.1,,-100%,NR,715.4,844.7,-15%,N
,PUNJAB,0.2,,2.9,,-93%,LD,255,436.4,-42%,D
1,AMRITSAR,0.5,,4.9,,-90%,LD,370.6,453.6,-18%,N
2,BARNALA,0,,3.5,,-100%,NR,132.4,358.2,-63%,LD
3,BHATINDA,0,,2.7,,-100%,NR,133.9,292.7,-54%,D
4,FARIDKOT,0,,0.8,,-100%,NR,232.7,293.5,-21%,D
5,FATEHGARH SAHIB,0,,1.3,,-100%,NR,153.3,474.5,-68%,LD
6,FAZILKA,0,,0.4,,-100%,NR,115.8,244,-53%,D
7,FEROZEPUR,0,,1.8,,-100%,NR,135.6,254.8,-47%,D
8,GURDASPUR,0.7,,5.3,,-87%,LD,751.9,587.2,28%,E
9,HOSHIARPUR,0,,5.9,,-100%,NR,273.9,609.1,-55%,D
10,JALANDHAR,0,,4.6,,-99%,LD,245.2,524,-53%,D
11,KAPURTHALA,0,,3.5,,-100%,NR,135.3,464.5,-71%,LD
12,LUDHIANA,0.6,,2.6,,-76%,LD,235.7,456.9,-48%,D
13,MANSA,0,,3.8,,-100%,NR,75.3,267.4,-72%,LD
14,MOGA,0,,0.1,,-100%,NR,167.3,289.4,-42%,D
15,MUKTSAR,0,,0.1,,-100%,NR,99.5,312.7,-68%,LD
16,PATHANKOT,0.1,,9.4,,-99%,LD,1278.1,945.8,35%,E
17,PATIALA,0,,1.9,,-100%,NR,276.7,535.1,-48%,D
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
18,RUPNAGAR,2.1,,1.7,,26%,E,576.7,804.4,-28%,D
19,SANGRUR,0,,3.3,,-100%,NR,183.3,390.1,-53%,D
20,SAS NAGAR (MOHALI),0,,0.6,,-100%,NR,235.3,615,-62%,LD
21,SBS NAGAR,0,,4.3,,-100%,NR,351.8,755.1,-53%,D
22,TARN TARAN,0.3,,1.5,,-81%,LD,124,270.9,-54%,D
,HIMACHAL PRADESH,1,,2.1,,-51%,D,637.4,729.5,-13%,N
1,BILASPUR,0.7,,1.1,,-35%,D,885.7,814.5,9%,N
2,CHAMBA,0,,3.8,,-100%,NR,703.5,847.6,-17%,N
3,HAMIRPUR,4.7,,1.9,,147%,LE,642.2,966.3,-34%,D
4,KANGRA,6.9,,3.4,,103%,LE,1504.7,1613.7,-7%,N
5,KINNAUR,0,,1.2,,-100%,NR,252.1,245.3,3%,N
6,KULLU,0,,1.5,,-100%,NR,539.3,543.9,-1%,N
7,LAHAUL & SPITI,0,,2.5,,-100%,NR,112.6,379,-70%,LD
8,MANDI,0.9,,2.2,,-61%,LD,1016.8,1092.7,-7%,N
9,SHIMLA,0,,0.9,,-100%,NR,767,623.4,23%,E
10,SIRMAUR,0,,1.6,,-100%,NR,1274.8,1178.6,8%,N
11,SOLAN,0,,2,,-100%,NR,824.5,869,-5%,N
12,UNA,5,,0.9,,456%,LE,792,945.9,-16%,N
,JAMMU & KASHMIR AND LADAKH,0,,3.7,,-99%,LD,526.9,545.2,-3%,N
,JAMMU & KASHMIR (UT),0,,3.7,,-99%,LD,526.9,545.2,-3%,N
1,ANANTNAG,0,,0.4,,-100%,NR,323.3,317.2,2%,N
2,BADGAM,0,,0.2,,-100%,NR,144.2,216.1,-33%,D
3,BANDIPORA,0,,0.1,,-100%,NR,208.8,207.5,1%,N
4,BARAMULA,0,,0.7,,-100%,NR,315.8,213.9,48%,E
5,DODA,0,,5.2,,-100%,NR,379.6,428.8,-11%,N
6,GANDERBAL,0,,1.8,,-100%,NR,344.5,272.9,26%,E
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
7,JAMMU,,0.3,,1,-75%,LD,800.5,930.3,-14%,N
8,KATHUA,,0,,21.6,-100%,NR,1152.8,1267.6,-9%,N
9,KISTWAR,,0,,5.2,-100%,NR,195.3,428.8,-54%,D
10,KULGAM,,0,,1.7,-100%,NR,292.1,332.2,-12%,N
11,KUPWARA,,0,,0.6,-100%,NR,224.3,247.4,-9%,N
12,POONCH,,0,,1.5,-100%,NR,856.5,681.4,26%,E
13,PULWAMA,,0,,0.3,-100%,NR,266,191.4,39%,E
14,RAJOURI,,0,,1.7,-100%,NR,700.8,715.4,-2%,N
15,RAMBAN,,0,,1.4,-100%,NR,473.1,417.8,13%,N
16,REASI,,0,,3.2,-100%,NR,1337.5,1548.6,-14%,N
17,SAMBA,,0,,0,-100%,NR,953.5,804,19%,N
18,SHOPIAN,,0,,1.4,-100%,NR,138.2,280.7,-51%,D
19,SRINAGAR,,0,,0.6,-100%,NR,247.2,235.9,5%,N
20,UDHAMPUR,,0,,5.9,-100%,NR,1553.5,1005.2,55%,E
,LADAKH (UT),,0,,0.2,-100%,NR,49.4,22.2,123%,LE
1,KARGIL,,0,,0,-100%,NR,21.6,10.1,96%,LE
2,LADAKH (LEH),,0,,0.2,-100%,NR,58.1,25.9,121%,LE
,RAJASTHAN,,0,,0.9,-96%,LD,335.6,432.8,-22%,D
,EAST RAJASTHAN,,0.1,,0.9,-94%,LD,511.8,622.7,-18%,N
1,AJMER,,0,,0.4,-100%,NR,374.3,454.4,-18%,N
2,ALWAR,,0,,0.8,-100%,NR,506,544.4,-7%,N
3,BANSWARA,,0,,2.1,-100%,NR,521.5,876.3,-40%,D
4,BARAN,,0,,0.3,-100%,NR,679.8,828.8,-18%,N
5,BHARATPUR,,0,,0.9,-100%,NR,675.2,540.8,25%,E
6,BHILWARA,,0,,0.8,-100%,NR,426,600.7,-29%,D
7,BUNDI,,0,,0.2,-100%,NR,554.6,642.7,-14%,N
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
8,CHITTORGARH,0,,1,,-100%,NR,552.9,722.6,-23%,D
9,DAUSA,0,,1.3,,-100%,NR,642.6,592.5,8%,N
10,DHOLPUR,0.3,,1.3,,-74%,LD,737.7,582.5,27%,E
11,DUNGARPUR,0,,1.8,,-100%,NR,509.7,698.5,-27%,D
12,JAIPUR,0,,0.3,,-100%,NR,407.3,522.1,-22%,D
13,JHALAWAR,0,,1.4,,-100%,NR,809.5,879.5,-8%,N
14,JHUNJHUNU,0,,0.8,,-100%,NR,410,406.9,1%,N
15,KARAULI,0,,1.3,,-100%,NR,545,593.3,-8%,N
16,KOTA,0,,0.3,,-100%,NR,558.8,730,-23%,D
17,PRATAPGARH,0,,1.7,,-100%,NR,802.7,907.4,-12%,N
18,RAJSAMAND,0,,1.1,,-100%,NR,355.9,533.7,-33%,D
19,SAWAI MADHOPUR,0,,0.2,,-100%,NR,564.1,658.5,-14%,N
20,SIKAR,0,,0.7,,-100%,NR,368.8,405.1,-9%,N
21,SIROHI,0,,2.2,,-100%,NR,471.9,863.9,-45%,D
22,TONK,0,,0.1,,-100%,NR,469.5,564,-17%,N
23,UDAIPUR,0.5,,2.1,,-76%,LD,451.3,610.9,-26%,D
,WEST RAJASTHAN,0,,0.7,,-96%,LD,195.2,281.5,-31%,D
1,BARMER,0,,0.9,,-100%,NR,200.4,269.7,-26%,D
2,BIKANER,0,,0.3,,-100%,NR,222.7,245.7,-9%,N
3,CHURU,0,,1,,-100%,NR,292,331.9,-12%,N
4,HANUMANGARH,0,,1.5,,-100%,NR,149.2,251.8,-41%,D
5,JAISALMER,0,,0.1,,-100%,NR,89.1,176.3,-49%,D
6,JALORE,0,,1,,-100%,NR,173.4,413.8,-58%,D
7,JODHPUR,0,,1.6,,-100%,NR,195.5,290,-33%,D
8,NAGAUR,0.3,,0.9,,-67%,LD,319,366.6,-13%,N
9,PALI,0,,0.6,,-100%,NR,225.6,488.3,-54%,D
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
10,SRI GANGANAGAR,0,0.5,,-100%,NR,177.4,203.3,-13%,N,
,MADHYA PRADESH,23.4,2.5,,836%,LE,902.9,940.4,-4%,N,
,WEST MADHYA PRADESH,3.9,2.1,,88%,LE,773,869.1,-11%,N,
1,AGAR-MALWA,0,2,,-100%,NR,974.8,895.1,9%,N,
2,ALIRAJPUR,0,5.5,,-100%,NR,475.9,861.5,-45%,D,
3,ASHOKNAGAR,1.3,1.4,,-11%,N,779.5,850.4,-8%,N,
4,BARWANI,1.2,3.1,,-63%,LD,598.2,656.4,-9%,N,
5,BETUL,2.5,2.9,,-14%,N,718.3,1029.7,-30%,D,
6,BHIND,57,0.8,,7031%,LE,819.7,609.8,34%,E,
7,BHOPAL,0,3.4,,-100%,NR,1046.3,948.4,10%,N,
8,BURHANPUR,0,1.3,,-100%,NR,776.7,728.6,7%,N,
9,DATIA,28.6,1.2,,2283%,LE,800.8,739.9,8%,N,
10,DEWAS,0,3,,-100%,NR,787,894.4,-12%,N,
11,DHAR,3.8,3.7,,4%,N,492.9,805.2,-39%,D,
12,GUNA,0,0.9,,-100%,NR,1051.7,932.8,13%,N,
13,GWALIOR,9.5,0.6,,1480%,LE,758.1,717.2,6%,N,
14,HARDA,0,2.5,,-100%,NR,706.9,1067.9,-34%,D,
15,INDORE,0,3.9,,-100%,NR,633.1,857.4,-26%,D,
16,JHABUA,0.2,3.9,,-96%,LD,576.4,872.2,-34%,D,
17,KHANDWA,0,3.2,,-100%,NR,708.2,777.8,-9%,N,
18,KHARGONE,11,3.1,,256%,LE,756.1,705.8,7%,N,
19,MANDSAUR,0,1.4,,-100%,NR,750.9,820.6,-8%,N,
20,MORENA,3.5,0.7,,400%,LE,584.1,641.4,-9%,N,
21,NARMADAPURAM,6.9,2.5,,177%,LE,831.9,1248.7,-33%,D,
22,NEEMUCH,0,0.8,,-100%,NR,686.4,770.4,-11%,N,
23,RAISEN,0.9,1.9,,-55%,D,888,1076.2,-17%,N,
,,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,
S.No,,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.
24,RAJGARH,,0,1.7,,-100%,NR,1052.7,887.7,19%,N
25,RATLAM,,4.8,2.9,,64%,LE,598.3,904.7,-34%,D
26,SEHORE,,0,3.7,,-100%,NR,883.6,1060.3,-17%,N
27,SHAJAPUR,,0,1.7,,-100%,NR,712.4,897.1,-21%,D
28,SHEOPUR,,0,0.9,,-100%,NR,776,664.9,17%,N
29,SHIVPURI,,3.3,0.2,,1550%,LE,971.8,783.1,24%,E
30,UJJAIN,,0,2.3,,-100%,NR,644.6,877.6,-27%,D
31,VIDISHA,,1.5,2.2,,-31%,D,836.6,1016.8,-18%,N
,EAST MADHYA PRADESH,,48.7,2.9,,1580%,LE,1071.9,1033.1,4%,N
1,ANUPPUR,,67.4,5.9,,1042%,LE,1151,985.8,17%,N
2,BALAGHAT,,64.4,3.4,,1794%,LE,1162.3,1224.4,-5%,N
3,CHHATARPUR,,83,1,,8198%,LE,1076.4,934.6,15%,N
4,CHHINDWARA,,14.9,2.9,,412%,LE,815.4,1021.7,-20%,D
5,DAMOH,,41.4,2.1,,1871%,LE,1049,1079.1,-3%,N
6,DINDORI,,92.9,2.2,,4122%,LE,1171.2,1169.3,0%,N
7,JABALPUR,,45.3,2.3,,1869%,LE,991.4,1119.5,-11%,N
8,KATNI,,70.2,0.9,,7695%,LE,941.6,927.3,2%,N
9,MANDLA,,91.5,2.2,,4057%,LE,1209.1,1185.4,2%,N
10,NARSINGHPUR,,22.2,3.5,,534%,LE,1022.8,1045,-2%,N
11,NIWARI,,43.7,0.7,,6138%,LE,1227.3,773.9,59%,E
12,PANNA,,106.4,2.1,,4966%,LE,1233.3,1080.5,14%,N
13,REWA,,25.5,2.4,,963%,LE,858,982.9,-13%,N
14,SAGAR,,9.8,3.1,,216%,LE,928.9,1059.1,-12%,N
15,SATNA,,64.8,4,,1520%,LE,1411.2,932.9,51%,E
16,SEONI,,36.4,3.7,,884%,LE,857.3,1006.3,-15%,N
17,SHAHDOL,,35.4,2.6,,1263%,LE,1204.9,980.6,23%,E
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
18,SIDHI,16.3,4.9,232%,LE,1199,1034.4,16%,N,,
19,SINGRAULI,14.6,2.9,405%,LE,1139.1,1021.7,11%,N,,
20,TIKAMGARH,28.4,3.1,815%,LE,956.6,904.1,6%,N,,
21,UMARIA,85.4,3.6,2272%,LE,1285.1,1065.6,21%,E,,
22,MAIHAR,40.4,1.5,2592%,LE,1166.4,965.1,21%,E,,
23,MAUGANJ,17.7,2.2,703%,LE,1486.8,971,53%,E,,
24,PANDHURNA,0,3.6,-100%,NR,623.5,791.1,-21%,D,,
,GUJARAT,0,3.7,-100%,NR,638.5,701.4,-9%,N,,
,GUJARAT REGION,0,4.5,-100%,NR,920.1,917.1,0%,N,,
,GUJARAT,0,3.7,-100%,NR,638.5,701.4,-9%,N,,
1,AHMEDABAD,0,3.6,-100%,NR,668.3,655.1,2%,N,,
2,ANAND,0,3.2,-100%,NR,901.7,823.3,10%,N,,
3,ARAVALLI,0,2.8,-100%,NR,538.7,835.5,-36%,D,,
4,BANASKANTHA,0,1.4,-100%,NR,446.1,589.9,-24%,D,,
5,BHARUCH,0,7.2,-100%,NR,944.4,733,29%,E,,
6,CHHOTA UDEPUR,0,4.7,-100%,NR,697,987.2,-29%,D,,
7,DAHOD,0,3.4,-100%,NR,457.5,776.4,-41%,D,,
8,DANGS,0,12.3,-100%,NR,2538.9,2207.9,15%,N,,
9,GANDHINAGAR,0,2.2,-100%,NR,607.4,743.7,-18%,N,,
10,KHEDA,0,3.8,-100%,NR,1044.7,811.3,29%,E,,
11,MAHISAGAR,0,2.4,-100%,NR,778.9,799.3,-3%,N,,
12,MEHSANA,0,3,-100%,NR,576.3,693.7,-17%,N,,
13,NARMADA,0,6.4,-100%,NR,1022.9,1046.1,-2%,N,,
14,NAVSARI,0,10.7,-100%,NR,2385.8,1808.1,32%,E,,
15,PANCHMAHAL,0,2.4,-100%,NR,825.1,923.2,-11%,N,,
16,PATAN,0,1.2,-100%,NR,501.4,546.5,-8%,N,,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
17,SABARKANTHA,0,,1.6,-100%,NR,541.3,820,-34%,D,
18,SURAT,0,,12.5,-100%,NR,1606.5,1283.7,25%,E,
19,TAPI,0,,8,-100%,NR,1447.2,1385.5,4%,N,
20,VADODARA,0,,5.3,-100%,NR,633.9,888.2,-29%,D,
21,VALSAD,0,,7.9,-100%,NR,2875.1,2040.1,41%,E,
,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,,9.6,-100%,NR,2991.5,2178.3,37%,E,
1,DADARA & NAGAR HAVELI,0,,9.8,-100%,NR,3182.5,2279.5,40%,E,
2,DAMAN,0,,9.8,-100%,NR,2847,2279.5,25%,E,
,SAURASHTRA & KUTCH,0,,3,-100%,NR,416.3,529.2,-21%,D,
,GUJARAT,0,,3.7,-100%,NR,638.5,701.4,-9%,N,
1,AMRELI,0,,6,-100%,NR,588.4,575.2,2%,N,
2,BHAVNAGAR,0,,6,-100%,NR,627.2,562.7,11%,N,
3,BOTAD,0,,6.5,-100%,NR,576.5,552.3,4%,N,
4,DEVBHOOMI DWARKA,0,,3.5,-100%,NR,150.9,552,-73%,LD,
5,GIR SOMNATH,0,,4.5,-100%,NR,633.3,868.5,-27%,D,
6,JAMNAGAR,0,,3.9,-100%,NR,320.3,619.8,-48%,D,
7,JUNAGADH,0,,3.3,-100%,NR,709.4,870.3,-18%,N,
8,KUTCH,0,,0.9,-100%,NR,263.4,399.2,-34%,D,
9,MORBI,0,,2.9,-100%,NR,589.4,524.5,12%,N,
10,PORBANDAR,0,,2.4,-100%,NR,267.4,676.4,-60%,LD,
11,RAJKOT,0,,5.8,-100%,NR,464.1,630.6,-26%,D,
12,SURENDRANAGAR,0,,3.8,-100%,NR,575.4,514.7,12%,N,
,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0,,9.6,-100%,NR,2991.5,2178.3,37%,E,
1,DIU,0,,7.5,-100%,NR,906.6,755.1,20%,E,
,KONKAN & GOA,0.4,,10.7,-97%,LD,2448.2,2833,-14%,N,
,MAHARASHTRA,3.1,,5.9,-47%,D,801.4,976.8,-18%,N,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
1,MUMBAI CITY,0,,13.8,-100%,NR,1929.3,2060.3,-6%,N,
2,MUMBAI SUBURBAN,0,,13.3,-100%,NR,2527.5,2288.2,10%,N,
3,PALGHAR,0,,9.4,-100%,NR,2670.2,2233.5,20%,E,
4,RAIGAD,0.4,,12.5,-97%,LD,2940.2,3086.4,-5%,N,
5,RATNAGIRI,0,,11.3,-99%,LD,2614.8,3149.9,-17%,N,
6,SINDHUDURG,1,,9.2,-89%,LD,1865.2,2911.9,-36%,D,
7,THANE,0,,10,-100%,NR,2179.2,2401.9,-9%,N,
,GOA,1,,10.5,-91%,LD,1976.3,2971.9,-33%,D,
1,NORTH GOA,0.2,,10.5,-98%,LD,1856.7,3049.5,-39%,D,
2,SOUTH GOA,1.7,,10.4,-83%,LD,2082,2903.4,-28%,D,
,MADHYA MAHARASHTRA,0,,7.4,-100%,NR,688.6,727.3,-5%,N,
1,AHMEDNAGAR,0,,7.2,-100%,NR,241.9,438.4,-45%,D,
2,DHULE,0,,5.3,-100%,NR,442.8,529.5,-16%,N,
3,JALGAON,0,,3.8,-100%,NR,554.6,614.9,-10%,N,
4,KOLHAPUR,0,,6,-100%,NR,1448.2,1684.1,-14%,N,
5,NANDURBAR,0,,5.3,-100%,NR,514.6,826.3,-38%,D,
6,NASHIK,0,,8.1,-100%,NR,1188.3,874.9,36%,E,
7,PUNE,0,,10.2,-100%,NR,1070.3,923.5,16%,N,
8,SANGLI,0,,7.4,-100%,NR,343.3,464.2,-26%,D,
9,SATARA,0,,8.1,-100%,NR,964.4,820.8,17%,N,
10,SHOLAPUR,0,,9,-100%,NR,184.8,435.2,-58%,D,
,MARATHWADA,0,,5.1,-99%,LD,386.7,628.2,-38%,D,
1,BEED,0,,5.5,-100%,NR,273.6,540.3,-49%,D,
2,CHHATRAPATI SAMBHAJINAGAR,0,,6.2,-100%,NR,454.5,548.6,-17%,N,
3,DHARASHIV,0.4,,5.3,-93%,LD,308.6,561.6,-45%,D,
4,HINGOLI,0,,3.5,-100%,NR,384,746.6,-49%,D,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
5,JALNA,0,4.2,,-100%,NR,310.1,580.4,-47%,D,
