0,1,2,3,4,5,6,7,8,9,10,11
9,WEST GARO HILLS,0.9,7.7,-89%,LD,528.2,1824.4,-71%,LD,,
10,WEST JAINTIA HILLS,1.2,38.5,-97%,LD,911.6,4395.3,-79%,LD,,
11,WEST KHASI HILLS,5.5,8.4,-35%,D,873.3,2593,-66%,LD,,
,NMMT,3.3,8,-59%,D,1020.7,1273.3,-20%,D,,
,MIZORAM,3.7,11.2,-67%,LD,1292.4,1588,-19%,N,,
1,AIZAWL,5.8,11.6,-50%,D,1374.4,1573.4,-13%,N,,
2,CHAMPHAI,0,9.4,-100%,NR,946.4,1316.6,-28%,D,,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
,S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
3,,KOLASIB,3.7,13.6,-73%,LD,1688.5,1705,-1%,N,
4,,LAWNGTLAI,0.5,11.2,-96%,LD,1382.9,1653.5,-16%,N,
5,,LUNGLEI,1.7,13,-87%,LD,1307.2,1727.2,-24%,D,
6,,MAMIT,6.4,8.5,-24%,D,1104.2,1557.8,-29%,D,
7,,SAIHA,3.7,11.4,-67%,LD,1487.3,1702.4,-13%,N,
8,,SERCHHIP,13.5,11.6,16%,N,1461.6,1459.1,0%,N,
,,MANIPUR,0.2,6.8,-97%,LD,565.2,1016.6,-44%,D,
1,,BISHNUPUR,3.4,7.3,-53%,D,426.7,1129.7,-62%,LD,
2,,CHANDEL,0,7.3,-100%,NR,521.3,1129.7,-54%,D,
3,,CHURACHANDPUR,0.5,7.3,-93%,LD,232.5,1129.7,-79%,LD,
4,,IMPHAL EAST,0,9.5,-100%,NR,470.5,719,-35%,D,
5,,IMPHAL WEST,0,6.1,-100%,NR,721.9,1688.1,-57%,D,
6,,SENAPATI,0,6.1,-100%,NR,626.9,747.5,-16%,N,
7,,TAMENGLONG,0,7,-100%,NR,1551.8,3974.1,-61%,LD,
8,,THOUBAL,0,9.5,-100%,NR,331.3,719,-54%,D,
9,,UKHRUL,0,4.9,-100%,NR,926.2,1000.2,-7%,N,
,,TRIPURA,7.1,5.9,21%,E,1164.7,1362.6,-15%,N,
1,,DHALAI,6.5,5.9,10%,N,1159.1,1307.7,-11%,N,
2,,GOMATI,7.4,4.8,55%,E,1083.9,1379.9,-21%,D,
3,,KHOWAI,18.7,5.5,239%,LE,1268.3,1265,0%,N,
4,,NORTH TRIPURA,4.1,6.6,-38%,D,1126.8,1387.1,-19%,N,
5,,SIPAHIJALA,0.9,5.3,-83%,LD,1086.8,1295.2,-16%,N,
6,,SOUTH TRIPURA,8.8,5.7,54%,E,1157.8,1626.1,-29%,D,
7,,UNAKOTI,10.3,7.8,32%,E,1317.9,1395,-6%,N,
8,,WEST TRIPURA,3,7.5,-60%,LD,1257.9,1167.5,8%,N,
,,NAGALAND,3.8,6.5,-42%,D,1090.7,1018,7%,N,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
1,DIMAPUR,0,1.3,-100%,NR,775.2,805.3,-4%,N,,
2,KIPHIRE,0,3.6,-100%,NR,752.4,596.5,26%,E,,
3,KOHIMA,2,9.8,-80%,LD,1053.3,1212.6,-13%,N,,
4,LONGLENG,,5.3,,ND,,1039.2,,ND,,
5,MOKOKCHUNG,28,7.4,278%,LE,1683.2,1363,23%,E,,
6,MON,0.2,4.9,-97%,LD,901,1030.1,-13%,N,,
7,PEREN,1,7.8,-87%,LD,920.1,921.4,0%,N,,
8,PHEK,0,7.6,-100%,NR,758,822.4,-8%,N,,
9,TUENSANG,,5.3,,ND,,1039.2,,ND,,
10,WOKHA,0.1,7.7,-99%,LD,1268.7,1218.6,4%,N,,
11,ZUNHEBOTO,0,7.5,-100%,NR,1568.4,1058.4,48%,E,,
,SHWB & SIKKIM,8,17,-53%,D,1690.2,1847.4,-9%,N,,
,WEST BENGAL,16.4,11.9,38%,E,1352.5,1311.7,3%,N,,
1,ALIPURDUAR,0,14.2,-100%,NR,2600.6,2972.3,-13%,N,,
2,COOCH BEHAR,0.1,12.6,-99%,LD,2007.2,2305.1,-13%,N,,
3,DARJEELING,8.5,15.9,-47%,D,2144.2,2665.1,-20%,D,,
4,JALPAIGURI,7.2,15.4,-53%,D,2129.1,2839,-25%,D,,
5,KALIMPONG,6.4,14.9,-57%,D,1945.4,2363.8,-18%,N,,
6,MALDA,3.7,27.9,-87%,LD,832.8,1130.5,-26%,D,,
7,NORTH DINAJPUR,4,30.1,-87%,LD,1001.6,1453.5,-31%,D,,
8,SOUTH DINAJPUR,2.6,6.7,-61%,LD,796.5,1031.2,-23%,D,,
,SIKKIM,20.7,12.4,67%,LE,1825.8,1641.7,11%,N,,
1,GANGTOK,3.1,15.4,-80%,LD,2009.8,2134.9,-6%,N,,
2,GYALSHING,55.2,10,452%,LE,2450.4,1763.4,39%,E,,
3,MANGAN,19.1,12.4,54%,E,1652.2,1516.1,9%,N,,
4,NAMCHI,18.1,10.8,68%,LE,1938.8,1647.2,18%,N,,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
5,Pakyong,3.2,14.1,-77%,LD,1585.7,1575.4,1%,N,,
6,Soreng,11.5,10,15%,N,2107.5,1763.4,20%,E,,
,GANGETIC WEST BENGAL,20.5,9.9,108%,LE,1256.1,1138.1,10%,N,,
1,BANKURA,42,7.7,445%,LE,1263.7,1131.7,12%,N,,
2,BIRBHUM,17.6,11.8,49%,E,975.7,1109.7,-12%,N,,
3,EAST MIDNAPORE,18,12.2,48%,E,1913,1266.5,51%,E,,
4,HOOGHLY,11.1,5.8,91%,LE,1070.7,1026.6,4%,N,,
5,HOWRAH,15.5,13.8,12%,N,1299.9,1138.8,14%,N,,
6,JHARGRAM,26.7,9.1,193%,LE,1173.6,1143,3%,N,,
7,KOLKATA,38.1,12.9,195%,LE,1715.8,1299.5,32%,E,,
8,MURSHIDABAD,15.2,7.7,97%,LE,841.7,967.4,-13%,N,,
9,NADIA,1.5,8.2,-81%,LD,752.1,930.2,-19%,N,,
10,NORTH 24 PARGANAS,41.6,8.7,379%,LE,1492.2,1124.9,33%,E,,
11,PASCHIM BARDHAMAN,49.6,9.5,422%,LE,1291,1070,21%,E,,
12,PURBA BARDHAMAN,18,9.9,82%,LE,989.7,1010.2,-2%,N,,
13,PURULIA,20.6,12.4,66%,LE,981.3,1087.6,-10%,N,,
14,SOUTH 24 PARGANAS,11.1,12.2,-9%,N,1583,1407.2,12%,N,,
15,WEST MIDNAPORE,15.6,9.1,72%,LE,1599.9,1143,40%,E,,
,ODISHA,24.5,5,391%,LE,1477.6,1130.7,31%,E,,
1,ANGUL,4.8,4.4,10%,N,1356.5,1106.8,23%,E,,
2,BALANGIR,11.9,2.1,467%,LE,1383.8,1081.2,28%,E,,
3,BALASORE,26.9,9.3,190%,LE,1885.9,1200.6,57%,E,,
4,BARGARH,22.6,2.3,883%,LE,1704.2,1181.9,44%,E,,
5,BHADRAK,20.4,7.5,172%,LE,1488.4,1069.8,39%,E,,
6,BOUDH,9.8,3.1,215%,LE,1764.8,1022.2,73%,LE,,
7,CUTTACK,36.2,5.4,571%,LE,1568.6,1128,39%,E,,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
8,DEOGARH,21.4,4.5,,376%,LE,1589,1160.1,37%,E,
9,DHENKANAL,37.3,5.8,,543%,LE,1611,1077.1,50%,E,
10,GAJAPATI,5.2,5.7,,-10%,N,884.5,879.2,1%,N,
11,GANJAM,16,6.4,,151%,LE,923.5,856.2,8%,N,
12,JAGATSINGHPUR,7.7,7.6,,1%,N,1381.1,1036.8,33%,E,
13,JAJPUR,16.6,7.9,,111%,LE,1513,1219.9,24%,E,
14,JHARSUGUDA,34.5,4.8,,619%,LE,1236.5,1174.8,5%,N,
15,KALAHANDI,21.9,4,,447%,LE,1339.8,1358.3,-1%,N,
16,KANDHAMAL,18.7,6.2,,202%,LE,1487.8,1136.3,31%,E,
17,KENDRAPARA,13,7.7,,69%,LE,1687.6,1084.3,56%,E,
18,KEONJHARGARH,42.1,5.8,,626%,LE,1760,1118,57%,E,
19,KHURDA,42.6,6.9,,517%,LE,1424.2,1062.1,34%,E,
20,KORAPUT,28.4,3.5,,713%,LE,1569.6,1222.4,28%,E,
21,MALKANGIRI,14.7,3.7,,297%,LE,1467.3,1249.2,17%,N,
22,MAYURBHANJ,36.9,7.4,,399%,LE,1854.9,1184.3,57%,E,
23,NAWAPARA,34,2.7,,1159%,LE,1327.3,994.4,33%,E,
24,NAWARANGPUR,56.4,3.8,,1385%,LE,1482.7,1343.2,10%,N,
25,NAYAGARH,25.4,6.5,,290%,LE,1369.4,1056.3,30%,E,
26,PURI,23.4,6.6,,254%,LE,1432.2,1002.9,43%,E,
27,RAYAGADA,17.8,3.3,,438%,LE,1006.6,952.6,6%,N,
28,SAMBALPUR,21.6,4.2,,414%,LE,1625,1247.7,30%,E,
29,SONEPUR,9.2,2,,358%,LE,1732.4,1180.8,47%,E,
30,SUNDARGARH,29.1,4.5,,546%,LE,1438.5,1179.1,22%,E,
,JHARKHAND,31.1,7.7,,304%,LE,976.5,999.7,-2%,N,
1,BOKARO,18.8,9.5,,98%,LE,871.9,886.2,-2%,N,
2,CHATRA,,7.9,,,ND,688.4,923.2,-25%,D,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
3,DEOGHAR,24.2,10.2,138%,LE,692,962.3,-28%,D,,
4,DHANBAD,36.6,11.1,230%,LE,1079.3,1044.7,3%,N,,
5,DUMKA,37.7,12.1,212%,LE,1065.8,1028.6,4%,N,,
6,EAST SINGHBHUM,49.1,11.1,342%,LE,1191.7,1075.8,11%,N,,
7,GARHWA,6.8,4.2,61%,LE,642.6,894.3,-28%,D,,
8,GIRIDIH,32.2,10.2,216%,LE,780.4,942.4,-17%,N,,
9,GODDA,41,7.6,439%,LE,770,877.9,-12%,N,,
10,GUMLA,29.4,4.7,526%,LE,759.8,1039.9,-27%,D,,
11,HAZARIBAG,25.5,10,155%,LE,841.4,1029.9,-18%,N,,
12,JAMTARA,41.9,9.8,328%,LE,1047.5,1035.2,1%,N,,
13,KHUNTI,34.6,7.4,367%,LE,1094.8,1093.2,0%,N,,
14,KODERMA,13.8,6.8,103%,LE,676,865.7,-22%,D,,
15,LATEHAR,27.5,5.6,391%,LE,1217.1,1003.4,21%,E,,
16,LOHARDAGA,30,6.2,384%,LE,991.7,965.6,3%,N,,
17,PAKUR,8.5,11.9,-28%,D,546.9,1177.5,-54%,D,,
18,PALAMU,21,4.8,337%,LE,747.8,833.1,-10%,N,,
19,RAMGARH,44.3,5.8,664%,LE,1036.7,1004.9,3%,N,,
20,RANCHI,45.3,5.6,708%,LE,1129.6,1013.9,11%,N,,
21,SAHIBGANJ,,17.4,,ND,493.5,1156,-57%,D,,
22,SERAIKELA-KHARSAWAN,35.8,7.9,353%,LE,1281.5,989.7,29%,E,,
23,SIMDEGA,52.3,6.3,731%,LE,1275.1,1272.2,0%,N,,
24,WEST SINGHBHUM,25.8,6.1,324%,LE,1381.2,985.8,40%,E,,
,BIHAR,11.2,9.4,19%,N,655.6,968.8,-32%,D,,
1,ARARIA,2.7,13,-79%,LD,886.9,1341.5,-34%,D,,
2,ARWAL,12,6.4,88%,LE,523.3,693.4,-25%,D,,
3,AURANGABAD,10.3,6.9,49%,E,877.9,845,4%,N,,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,,,
4,BANKA,21.1,8.4,152%,LE,652.3,845.7,-23%,,,
5,BEGUSARAI,19.2,5.7,237%,LE,678.3,983.3,-31%,,,
6,BHABUA,18,5.2,246%,LE,547.7,876.3,-38%,,,
7,BHAGALPUR,18.6,6.7,178%,LE,501,933.7,-46%,,,
8,BHOJPUR,5.2,8.7,-40%,D,574,876.2,-34%,,,
9,BUXAR,5.5,6.6,-17%,N,725.6,776.1,-7%,,,
10,DARBHANGA,7.5,13.4,-44%,D,493.9,876.7,-44%,,,
11,EAST CHAMPARAN,10,13.1,-24%,D,589.3,1032,-43%,,,
12,GAYA,9.4,6.8,38%,E,654.3,811.5,-19%,,,
13,GOPALGANJ,15.4,8.6,79%,LE,585,952.8,-39%,,,
14,JAHANABAD,5.9,6.7,-11%,N,369.3,812.5,-55%,,,
15,JAMUI,12.2,9.4,30%,E,569.8,907.8,-37%,,,
16,KATIHAR,9.6,13.5,-29%,D,690.8,1035.6,-33%,,,
17,KHAGARIA,36.2,6.3,474%,LE,945.7,944.4,0%,,,
18,KISHANGANJ,3.9,17,-77%,LD,1211.2,1705.4,-29%,,,
19,LAKHISARAI,24.7,6.9,257%,LE,777,830.8,-6%,,,
20,MADHEPURA,13,9.2,41%,E,697.6,1012,-31%,,,
21,MADHUBANI,8.1,10,-19%,N,591.2,951.6,-38%,,,
22,MUNGER,29,6.6,339%,LE,770.4,992.5,-22%,,,
23,MUZAFFARPUR,7.3,15.7,-54%,D,529.2,946,-44%,,,
24,NALANDA,7.4,5.8,27%,E,569.2,833.9,-32%,,,
25,NAWADA,5.4,5.6,-4%,N,649.3,805.1,-19%,,,
26,PATNA,7.8,6.5,20%,E,525.6,865.5,-39%,,,
27,PURNEA,4.4,15.1,-71%,LD,814.9,1368,-40%,,,
28,ROHTAS,10.5,4.1,155%,LE,648.5,830.6,-22%,,,
29,SAHARSA,17.2,12.8,34%,E,610.8,1055,-42%,,,
,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,,
MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,,
BANKA,21.1,8.4,152%,LE,652.3,845.7,-23%,D,,,
BEGUSARAI,19.2,5.7,237%,LE,678.3,983.3,-31%,D,,,
BHABUA,18,5.2,246%,LE,547.7,876.3,-38%,D,,,
BHAGALPUR,18.6,6.7,178%,LE,501,933.7,-46%,D,,,
BHOJPUR,5.2,8.7,-40%,D,574,876.2,-34%,D,,,
BUXAR,5.5,6.6,-17%,N,725.6,776.1,-7%,N,,,
DARBHANGA,7.5,13.4,-44%,D,493.9,876.7,-44%,D,,,
EAST CHAMPARAN,10,13.1,-24%,D,589.3,1032,-43%,D,,,
GAYA,9.4,6.8,38%,E,654.3,811.5,-19%,N,,,
GOPALGANJ,15.4,8.6,79%,LE,585,952.8,-39%,D,,,
JAHANABAD,5.9,6.7,-11%,N,369.3,812.5,-55%,D,,,
JAMUI,12.2,9.4,30%,E,569.8,907.8,-37%,D,,,
KATIHAR,9.6,13.5,-29%,D,690.8,1035.6,-33%,D,,,
KHAGARIA,36.2,6.3,474%,LE,945.7,944.4,0%,N,,,
KISHANGANJ,3.9,17,-77%,LD,1211.2,1705.4,-29%,D,,,
LAKHISARAI,24.7,6.9,257%,LE,777,830.8,-6%,N,,,
MADHEPURA,13,9.2,41%,E,697.6,1012,-31%,D,,,
MADHUBANI,8.1,10,-19%,N,591.2,951.6,-38%,D,,,
MUNGER,29,6.6,339%,LE,770.4,992.5,-22%,D,,,
MUZAFFARPUR,7.3,15.7,-54%,D,529.2,946,-44%,D,,,
NALANDA,7.4,5.8,27%,E,569.2,833.9,-32%,D,,,
NAWADA,5.4,5.6,-4%,N,649.3,805.1,-19%,N,,,
PATNA,7.8,6.5,20%,E,525.6,865.5,-39%,D,,,
PURNEA,4.4,15.1,-71%,LD,814.9,1368,-40%,D,,,
ROHTAS,10.5,4.1,155%,LE,648.5,830.6,-22%,D,,,
SAHARSA,17.2,12.8,34%,E,610.8,1055,-42%,D,,,
,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,,
30,SAMASTIPUR,10.9,12.9,-16%,N,551.4,915.3,-40%,D,,
31,SARAN,8.6,10,-14%,N,486.6,884.6,-45%,D,,
32,SHEIKHPURA,6,4.6,31%,E,572.8,799.3,-28%,D,,
33,SHEOHAR,4.4,16.1,-72%,LD,397.7,988.1,-60%,LD,,
34,SITAMARHI,4.4,11.6,-62%,LD,476.8,1037.5,-54%,D,,
35,SIWAN,10.1,6.8,48%,E,811,886,-8%,N,,
36,SUPAUL,7.4,9.1,-19%,N,782.2,1054.8,-26%,D,,
37,VAISHALI,9.8,8.4,16%,N,551.5,880.6,-37%,D,,
38,WEST CHAMPARAN,16.8,11.5,46%,E,766.2,1212.6,-37%,D,,
,UTTAR PRADESH,53.1,2.7,1866%,LE,754.7,738,2%,N,,
,WEST UTTAR PRADESH,43.4,1.4,3003%,LE,726.8,668.1,9%,N,,
1,AGRA,2.8,1.1,157%,LE,516.7,526.8,-2%,N,,
2,ALIGARH,1.1,1.1,-5%,N,315.7,585.9,-46%,D,,
3,AMROHA,11.3,1,1033%,LE,658.9,807.8,-18%,N,,
4,AURAIYA,72.6,0.6,12000%,LE,617.7,511.8,21%,E,,
5,BADAUN,48,1.8,2567%,LE,704.8,669.5,5%,N,,
6,BAGHPAT,0,0.1,-100%,NR,493,497.9,-1%,N,,
7,BAREILLY,90,2.7,3232%,LE,843.4,785.6,7%,N,,
8,BIJNOR,6.6,4.2,58%,E,1125.3,899.6,25%,E,,
9,BULANDSHAHAR,7,0.2,3420%,LE,462,529.6,-13%,N,,
10,ETAH,66,1,6500%,LE,756.5,503,50%,E,,
11,ETAWAH,61.2,1.8,3298%,LE,711.3,560.2,27%,E,,
12,FIROZABAD,45.7,2.2,1979%,LE,761.2,578.7,32%,E,,
13,GAUTAM BUDDHA NAGAR,111.2,0,1111900%,LE,792.6,452.8,75%,LE,,
14,GHAZIABAD,0,0.1,-100%,NR,182.8,456,-60%,LD,,
15,HAMIRPUR,164.8,1.3,12574%,LE,1270,701.2,81%,LE,,
,,,,DAY: 26-09-2026,,,,PERIOD: 01-06-2026 to 26-09-2026,,,
S.No,MET.SUBDIVISION/UT/STATE/DISTRICT,ACTUAL(mm),,NORMAL(mm),%DEP.,CAT.,ACTUAL(mm),NORMAL(mm),%DEP.,CAT.,
16,HAPUR,1,0,,9900%,LE,313.5,670.9,-53%,D,
17,HATHRAS,3.3,1.7,,96%,LE,469.3,546.7,-14%,N,
18,JALAUN,85.1,1,,8405%,LE,815.4,637.3,28%,E,
19,JHANSI,28.5,0.8,,3467%,LE,599.1,716.8,-16%,N,
20,KASGANJ,46,0.8,,5650%,LE,614.3,663.8,-7%,N,
21,LALITPUR,7.4,1.5,,393%,LE,992.5,799.8,24%,E,
22,MAHOBA,132.3,1.5,,8722%,LE,1113.5,589,89%,LE,
