S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.3,9.8,-97,LD,665.5,1053.6,-37,D
2,ASSAM,3.6,9.6,-63,LD,712.3,931.4,-24,D
3,MEGHALAYA,5.2,12.8,-60,LD,759,1744.8,-57,D
4,NAGALAND,18.4,10.3,79,LE,670.1,626.4,7,N
5,MANIPUR,2.7,10.1,-73,LD,411.4,647.3,-36,D
6,MIZORAM,17.9,12.2,47,E,747.9,941.7,-21,D
7,TRIPURA,11.6,10.5,10,N,754.3,883.1,-15,N
8,SIKKIM,1.3,15.4,-91,LD,1071.1,1012.6,6,N
9,WEST BENGAL,13.7,11.9,15,N,820.5,782.2,5,N
10,JHARKHAND,15.2,10.8,40,E,430,581.9,-26,D
11,BIHAR,3.6,7.8,-54,D,361.2,560.4,-36,D
1,UTTAR PRADESH,15.3,7.1,115,LE,332.4,409,-19,N
2,UTTARAKHAND,25.3,11.5,120,LE,682.9,689.3,-1,N
3,HARYANA,6.8,4.8,42,E,188.8,243,-22,D
4,CHANDIGARH (UT),19.5,5.2,276,LE,394.6,497.9,-21,D
5,DELHI (UT),26.5,4.7,465,LE,303.6,296.4,2,N
6,PUNJAB,3.9,5.9,-34,D,173.3,262,-34,D
7,HIMACHAL PRADESH,16.5,10.1,64,LE,402.6,425.4,-5,N
8,JAMMU & KASHMIR (UT),1.6,9.6,-84,LD,360.6,322,12,N
9,LADAKH (UT),0,0.1,-100,NR,38.2,13.4,185,LE
10,RAJASTHAN,5.9,6.2,-5,N,210.6,255.8,-18,N
1,ODISHA,31.1,14.3,118,LE,812,643.6,26,E
2,MADHYA PRADESH,7.5,13.8,-45,D,427.3,533.6,-20,D
3,GUJARAT,0.1,8.3,-99,LD,484.5,433.6,12,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),1.8,25.8,-93,LD,2514.5,1442.2,74,LE
5,GOA,32.3,25.1,29,E,1417.6,2179.4,-35,D
6,MAHARASHTRA,4.3,11.4,-62,LD,633.5,612.5,3,N
7,CHHATTISGARH,11.7,14.7,-20,D,610.1,651.2,-6,N
1,ANDAMAN & NICOBAR ISLANDS (UT),40,14.5,176,LE,959.5,893,7,N
2,ANDHRA PRADESH,6.6,4.2,57,E,171.5,256.4,-33,D
3,TELANGANA,9.3,6.6,40,E,383.6,404.2,-5,N
4,TAMILNADU,2.2,2.5,-11,N,119.5,135.6,-12,N
5,PUDUCHERRY (UT),9.3,3.3,183,LE,120.6,183.8,-34,D
6,KARNATAKA,7.2,8,-10,N,416.1,511.9,-19,N
7,KERALA,32.6,18.5,76,LE,1126.5,1426.3,-21,D
8,LAKSHADWEEP (UT),21.5,4.9,339,LE,512.1,674.4,-24,D
