S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,14.4,9.5,52%,E,914.8,1545.1,-41%,D
2,ASSAM,7.4,9.7,-24%,D,1030.7,1378.2,-25%,D
3,MEGHALAYA,3.3,10.6,-69%,LD,1026.6,2508.1,-59%,D
4,NAGALAND,10.8,5.9,83%,LE,1061.6,962.3,10%,N
5,MANIPUR,1.8,5.6,-68%,LD,548.2,968.3,-43%,D
6,MIZORAM,2.9,13,-78%,LD,1246,1492.4,-17%,N
7,TRIPURA,7.3,7.9,-8%,N,1108.7,1292.6,-14%,N
8,SIKKIM,23.9,9.6,149%,LE,1657,1552.8,7%,N
9,WEST BENGAL,15.7,9.9,59%,E,1231.5,1225,1%,N
10,JHARKHAND,4.1,9.2,-56%,D,867.1,944.5,-8%,N
11,BIHAR,2.1,7.3,-71%,LD,581.8,914.1,-36%,D
1,UTTAR PRADESH,2.5,4,-36%,D,677.4,707.1,-4%,N
2,UTTARAKHAND,1.6,5,-69%,LD,1157.7,1118.4,4%,N
3,HARYANA,0.1,1.2,-94%,LD,317.5,408.2,-22%,D
4,CHANDIGARH (UT),0,0.6,-100%,NR,715.4,819.8,-13%,N
5,DELHI (UT),0,0.9,-100%,NR,562.7,523.6,7%,N
6,PUNJAB,0.1,1.3,-94%,LD,254.2,415.9,-39%,D
7,HIMACHAL PRADESH,3.6,3.3,8%,N,636.4,698.3,-9%,N
8,JAMMU & KASHMIR (UT),1.2,2.9,-59%,D,524.9,520,1%,N
9,LADAKH (UT),0,0.5,-100%,NR,49.4,19.9,148%,LE
10,RAJASTHAN,11.9,1,1086%,LE,328.7,422.3,-22%,D
1,ODISHA,2.9,9.2,-69%,LD,1274.2,1076.6,18%,N
2,MADHYA PRADESH,4.4,4.5,-3%,N,845.5,909.8,-7%,N
3,GUJARAT,12.3,3.9,214%,LE,618.6,673.9,-8%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),8.5,7.4,15%,N,2937.2,2080.4,41%,E
5,GOA,2.7,11.2,-76%,LD,1893.6,2894.8,-35%,D
6,MAHARASHTRA,5.1,5.7,-10%,N,773.6,927.9,-17%,N
7,CHHATTISGARH,2.1,7.5,-72%,LD,1017.6,1072.8,-5%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),34.8,17.3,101%,LE,1552.8,1458.2,6%,N
2,ANDHRA PRADESH,5,6.5,-23%,D,261.9,454.4,-42%,D
3,TELANGANA,5.8,6,-3%,N,533.9,670.1,-20%,D
4,TAMILNADU,3,3.8,-20%,D,214.8,278,-23%,D
5,PUDUCHERRY (UT),0,5.6,-100%,NR,213.1,363.8,-41%,D
6,KARNATAKA,2,5.6,-63%,LD,532.1,763.1,-30%,D
7,KERALA,2.7,9.5,-72%,LD,1387.9,1918,-28%,D
8,LAKSHADWEEP (UT),1.8,7.5,-76%,LD,682.9,969.7,-30%,D
