S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,1.4,11.3,-88%,LD,778.3,1317.5,-41%,D
2,ASSAM,1.7,12.4,-86%,LD,882.9,1188.4,-26%,D
3,MEGHALAYA,5.1,14.7,-65%,LD,916.2,2191.6,-58%,D
4,NAGALAND,3.9,7.1,-46%,D,871.5,825.3,6%,N
5,MANIPUR,4.2,5.1,-17%,N,473.1,828.3,-43%,D
6,MIZORAM,17.5,10,75%,LE,1015.6,1254.3,-19%,N
7,TRIPURA,4.7,7.6,-38%,D,992.4,1126.8,-12%,N
8,SIKKIM,5.9,14.2,-58%,D,1267.3,1318.3,-4%,N
9,WEST BENGAL,9,9.5,-5%,N,1059.6,1038.5,2%,N
10,JHARKHAND,19.4,6,223%,LE,710,792.5,-10%,N
11,BIHAR,12.3,6.3,95%,LE,458,768.8,-40%,D
1,UTTAR PRADESH,8.8,4.8,84%,LE,545.6,588.1,-7%,N
2,UTTARAKHAND,16.5,7.4,123%,LE,946,971.1,-3%,N
3,HARYANA,0.6,3.1,-79%,LD,282.5,347.7,-19%,N
4,CHANDIGARH (UT),0,7.1,-100%,NR,596.3,709.2,-16%,N
5,DELHI (UT),0,3.8,-100%,NR,501,435.9,15%,N
6,PUNJAB,0.2,2.7,-91%,LD,230.2,359.8,-36%,D
7,HIMACHAL PRADESH,1.1,5,-77%,LD,546.8,608.7,-10%,N
8,JAMMU & KASHMIR (UT),1.4,3.6,-60%,LD,457.5,448.6,2%,N
9,LADAKH (UT),0,0.3,-100%,NR,49.2,16.7,195%,LE
10,RAJASTHAN,0,3.8,-100%,NR,282.6,368.3,-23%,D
1,ODISHA,15.5,10.2,52%,E,1129.3,906.5,25%,E
2,MADHYA PRADESH,4.7,11.4,-59%,D,704.4,773.7,-9%,N
3,GUJARAT,0.1,9.3,-99%,LD,515.8,586.2,-12%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),0.6,26.7,-98%,LD,2731.9,1861.5,47%,E
5,GOA,44,20.7,113%,LE,1787.3,2671.1,-33%,D
6,MAHARASHTRA,5.2,8.4,-39%,D,716.4,805.6,-11%,N
7,CHHATTISGARH,17.3,10.2,70%,LE,896.1,912,-2%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),6.2,13.1,-53%,D,1257.8,1187.8,6%,N
2,ANDHRA PRADESH,0.6,4.6,-88%,LD,213.8,364.9,-41%,D
3,TELANGANA,2.8,6.6,-57%,D,464.7,568.4,-18%,N
4,TAMILNADU,0.5,2.4,-81%,LD,165,206.7,-20%,D
5,PUDUCHERRY (UT),0,3.1,-100%,NR,187.3,283,-34%,D
6,KARNATAKA,2.2,4.9,-55%,D,511.8,664.8,-23%,D
7,KERALA,5.2,12,-57%,D,1370.4,1735.2,-21%,D
8,LAKSHADWEEP (UT),3.8,9.2,-59%,D,631.7,846.2,-25%,D
