S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,3.4,11.7,-71%,LD,818.7,1358.9,-40%,D
2,ASSAM,2.5,9.6,-74%,LD,940.9,1225.8,-23%,D
3,MEGHALAYA,7.8,16.6,-53%,D,949.8,2260.1,-58%,D
4,NAGALAND,9.3,7.9,17%,N,927.3,853.4,9%,N
5,MANIPUR,0.3,8.1,-96%,LD,506.2,861.6,-41%,D
6,MIZORAM,19.3,11.8,63%,LE,1079.7,1296.5,-17%,N
7,TRIPURA,7.2,7.6,-5%,N,1021.7,1161.7,-12%,N
8,SIKKIM,7.5,13.3,-43%,D,1335,1371.2,-3%,N
9,WEST BENGAL,11.9,10.2,17%,N,1121.9,1077,4%,N
10,JHARKHAND,5.3,8.1,-34%,D,802.7,823.7,-3%,N
11,BIHAR,10.1,6.3,60%,LE,512,795.9,-36%,D
1,UTTAR PRADESH,13,6.5,101%,LE,606.8,614,-1%,N
2,UTTARAKHAND,16,9.7,65%,LE,1036.9,1009.5,3%,N
3,HARYANA,2.7,3.4,-21%,D,287.6,360.7,-20%,D
4,CHANDIGARH (UT),1.7,5.1,-67%,LD,598,724.6,-17%,N
5,DELHI (UT),2.2,5.4,-60%,LD,509.8,457.5,11%,N
6,PUNJAB,1.4,4.6,-69%,LD,235.3,374.1,-37%,D
7,HIMACHAL PRADESH,6.6,6.3,4%,N,584.5,630.2,-7%,N
8,JAMMU & KASHMIR (UT),1.9,4.8,-60%,LD,482.4,465.9,4%,N
9,LADAKH (UT),0,0.3,-87%,LD,49.4,17.1,189%,LE
10,RAJASTHAN,0.2,4.1,-95%,LD,282.8,384.1,-26%,D
1,ODISHA,1.4,9.2,-85%,LD,1170.7,941.1,24%,E
2,MADHYA PRADESH,21.1,8.3,154%,LE,740.6,808.2,-8%,N
3,GUJARAT,0.2,4.9,-97%,LD,516.8,610,-15%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),1,18.8,-95%,LD,2750.6,1930.9,42%,E
5,GOA,14,13.7,2%,N,1840.3,2735.6,-33%,D
6,MAHARASHTRA,4.9,7.6,-35%,D,725,838.5,-14%,N
7,CHHATTISGARH,11.8,10.6,11%,N,941.8,951,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.2,13,-91%,LD,1265.7,1242.5,2%,N
2,ANDHRA PRADESH,1.2,4.6,-74%,LD,216.6,383.2,-43%,D
3,TELANGANA,2,5.7,-65%,LD,469,592.9,-21%,D
4,TAMILNADU,1.7,3.6,-53%,D,167.3,220.3,-24%,D
5,PUDUCHERRY (UT),0,3.6,-100%,NR,188.3,298.8,-37%,D
6,KARNATAKA,1.9,5.3,-64%,LD,519.6,686.2,-24%,D
7,KERALA,0.4,9.7,-96%,LD,1374.6,1777.6,-23%,D
8,LAKSHADWEEP (UT),3.8,6.4,-41%,D,641.8,876.6,-27%,D
