S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,0.7,11.4,-94%,LD,765,1287.9,-41%,D
2,ASSAM,4.7,10.6,-55%,D,867.5,1157.3,-25%,D
3,MEGHALAYA,5.6,21.1,-74%,LD,895.9,2146.9,-58%,D
4,NAGALAND,22.6,8.6,162%,LE,853.2,801,7%,N
5,MANIPUR,7.5,8.4,-11%,N,466.3,809.5,-42%,D
6,MIZORAM,13.1,12.4,5%,N,949.3,1219.2,-22%,D
7,TRIPURA,0.6,10.7,-94%,LD,925.7,1097.9,-16%,N
8,SIKKIM,3.9,14.8,-74%,LD,1238.5,1279.6,-3%,N
9,WEST BENGAL,10.3,11.8,-13%,N,1034.8,1008.7,3%,N
10,JHARKHAND,4.8,9.4,-49%,D,664,768.5,-14%,N
11,BIHAR,5.8,8.1,-29%,D,433,749.2,-42%,D
1,UTTAR PRADESH,16.6,6.7,148%,LE,517.6,571,-9%,N
2,UTTARAKHAND,8.6,11.2,-24%,D,917,944.8,-3%,N
3,HARYANA,0.3,5.1,-93%,LD,280.6,335.3,-16%,N
4,CHANDIGARH (UT),1.8,15.4,-88%,LD,596.2,689.5,-14%,N
5,DELHI (UT),0.9,4.8,-81%,LD,499.5,420.6,19%,N
6,PUNJAB,0.5,4.2,-88%,LD,229.2,349,-34%,D
7,HIMACHAL PRADESH,3.6,7.6,-53%,D,540.7,591.8,-9%,N
8,JAMMU & KASHMIR (UT),2.3,5.4,-58%,D,446.4,434.2,3%,N
9,LADAKH (UT),0,0.1,-100%,NR,49.2,16.1,206%,LE
10,RAJASTHAN,2.9,3.8,-23%,D,282.2,357.5,-21%,D
1,ODISHA,4.9,13.8,-64%,LD,1103,870.5,27%,E
2,MADHYA PRADESH,13.4,7.6,77%,LE,679.7,742.3,-8%,N
3,GUJARAT,0.1,4.9,-98%,LD,515.5,563.2,-8%,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),1.8,18.3,-90%,LD,2724.2,1780.4,53%,E
5,GOA,5.2,16.4,-69%,LD,1733.7,2613.9,-34%,D
6,MAHARASHTRA,1.9,8.3,-77%,LD,705.8,780.7,-10%,N
7,CHHATTISGARH,6.1,10.6,-42%,D,867.8,875.1,-1%,N
1,ANDAMAN & NICOBAR ISLANDS (UT),29.4,16.9,74%,LE,1229.9,1147.3,7%,N
2,ANDHRA PRADESH,1,5.4,-81%,LD,212.6,352.1,-40%,D
3,TELANGANA,3.6,6.8,-47%,D,460.8,549.8,-16%,N
4,TAMILNADU,1.9,3.3,-44%,D,163.1,198.9,-18%,N
5,PUDUCHERRY (UT),0.1,7,-99%,LD,177.5,273.2,-35%,D
6,KARNATAKA,2,5.7,-64%,LD,504.2,648.7,-22%,D
7,KERALA,9.3,10.6,-13%,N,1356,1702.3,-20%,D
8,LAKSHADWEEP (UT),6.5,7.9,-18%,N,626.9,825.7,-24%,D
